"sample","sample_short","sample_short10","condition","group","gene","expr"
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","AR",9.80320098990323
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","AR",10.3334137017145
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","AR",9.6142971001397
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","AR",10.2762241586179
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","AR",9.91171096777756
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","AR",10.2995766434934
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","NKX3-1",4.74300583880508
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","NKX3-1",5.1794538168259
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","NKX3-1",5.21452782819507
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","NKX3-1",5.02255519579148
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","NKX3-1",4.74300583880508
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","NKX3-1",4.74300583880508
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","TMPRSS2",4.74300583880508
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","TMPRSS2",4.74300583880508
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","TMPRSS2",4.74300583880508
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","TMPRSS2",4.74300583880508
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","TMPRSS2",4.74300583880508
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","TMPRSS2",5.12231174203096
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","AMACR",8.80811695438403
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","AMACR",8.96557962676263
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","AMACR",8.70196450154606
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","AMACR",8.85961390798663
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","AMACR",9.00845948868674
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","AMACR",9.02090123772979
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","ERG",8.54878217584015
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","ERG",8.57656495546822
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","ERG",8.38476189377395
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","ERG",7.48923583163833
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","ERG",8.07179369682568
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","ERG",8.78168443507942
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","MKI67",12.0940619541302
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","MKI67",12.0161419907917
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","MKI67",12.1969525963154
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","MKI67",11.5625369089388
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","MKI67",12.3591496425361
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","MKI67",12.7938159305042
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","CDH1",5.88657609561585
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","CDH1",6.21670038402733
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","CDH1",6.28612014517381
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","CDH1",6.50889446762946
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","CDH1",6.8128294228298
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","CDH1",6.20167329018691
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","VIM",17.4842397117957
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","VIM",16.9645337577004
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","VIM",16.8818963113465
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","VIM",16.6535278136077
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","VIM",17.1672776220526
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","VIM",17.1216608693016
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","AURKA",10.2841120885775
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","AURKA",10.4960785347588
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","AURKA",10.6679786113869
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","AURKA",9.62188136129695
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","AURKA",10.3178394504921
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","AURKA",10.7869854785121
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","BRCA1",9.26630172038046
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","BRCA1",9.6661593526347
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","BRCA1",9.93694812209841
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","BRCA1",9.24818689568243
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","BRCA1",9.22593920296273
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","BRCA1",9.93659140614791
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","BRCA2",9.12593247027237
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","BRCA2",9.06230354720427
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","BRCA2",9.10733270594814
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","BRCA2",9.06972621762849
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","BRCA2",9.08919056412623
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","BRCA2",9.118592904048
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","MYC",14.4874232643283
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","MYC",13.667087449594
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","MYC",13.3889695494504
