"gene","condition","n","mean_expr","median_expr","sd_expr"
"ACP3","control",3,11.1057020355283,11.2099658534806,0.309890750731414
"ACP3","treated",3,10.1864891613175,10.1964302941925,0.625908081202401
"AMACR","control",3,8.82522036089757,8.80811695438403,0.132637206116956
"AMACR","treated",3,8.96299154480105,9.00845948868674,0.0897435297100189
"AR","control",3,9.91697059725247,9.80320098990323,0.372813377351735
"AR","treated",3,10.1625039232963,10.2762241586179,0.217506699990657
"AURKA","control",3,10.4827230782411,10.4960785347588,0.192281442155906
"AURKA","treated",3,10.2422354301004,10.3178394504921,0.586219990202023
"BRCA1","control",3,9.62313639837119,9.6661593526347,0.337386840258302
"BRCA1","treated",3,9.47023916826436,9.24818689568243,0.404026047789105
"BRCA2","control",3,9.09852290780826,9.10733270594814,0.0327164999679132
"BRCA2","treated",3,9.09250322860091,9.08919056412623,0.0246011904152424
"CDH1","control",3,6.129798874939,6.21670038402733,0.213477788295796
"CDH1","treated",3,6.50779906021539,6.50889446762946,0.305579538835317
"CHGA","control",3,7.20443699601736,7.47076048578308,0.850348332235379
"CHGA","treated",3,6.09885638279268,6.3877344083975,0.640990303583573
"CHGB","control",3,5.00179685116051,5.01604480744752,0.251969341989847
"CHGB","treated",3,4.86944113988037,4.74300583880508,0.21899236533268
"ERG","control",3,8.50336967502744,8.54878217584015,0.103652424194383
"ERG","treated",3,8.11423798784781,8.07179369682568,0.647268867252616
"FOLH1","control",3,4.83401882835256,4.74300583880508,0.157639122044971
"FOLH1","treated",3,5.15257719593941,5.20689693978366,0.113108767792863
"INSM1","control",3,5.35009760799871,5.3579275267403,0.161415076995295
"INSM1","treated",3,5.0656626851501,5.22570276440214,0.279431995662711
"MKI67","control",3,12.1023855137458,12.0940619541302,0.0906922267946294
"MKI67","treated",3,12.2385008273263,12.3591496425361,0.624443039592364
"MYC","control",3,13.8478267544576,13.667087449594,0.571095581469652
"MYC","treated",3,13.8632092173348,13.925259856372,0.120210843902933
"NCAM1","control",3,10.2438587461484,10.2597366471618,0.130127139261958
"NCAM1","treated",3,10.4862658485186,10.5237108315433,0.141974474572645
"NKX3-1","control",3,5.04566249460868,5.1794538168259,0.262694375739275
"NKX3-1","treated",3,4.83618895780055,4.74300583880508,0.161397896507889
"PTEN","control",3,11.6684271963887,11.6649962976683,0.0486708579278347
"PTEN","treated",3,11.378369057053,11.4441472131335,0.125930379817545
"RB1","control",3,9.12203165449838,9.18824687260761,0.125201874354977
"RB1","treated",3,9.26005260460328,9.3022967299106,0.0942218424668893
"SCG2","control",3,4.83401882835256,4.74300583880508,0.157639122044971
"SCG2","treated",3,4.83253745729795,4.74300583880508,0.155073312113536
"SYP","control",3,5.46264579504035,5.60629662045504,0.659651690316966
"SYP","treated",3,5.66690892403839,5.621486505014,0.120351942784162
"TFRC","control",3,12.2620395139928,12.1832714699143,0.775417566801571
"TFRC","treated",3,11.5366233509239,11.5579058662653,0.364071338461853
"TMPRSS2","control",3,4.74300583880508,4.74300583880508,0
"TMPRSS2","treated",3,4.86944113988037,4.74300583880508,0.21899236533268
"TTF1","control",3,9.02813877708346,9.03305580894658,0.145841955403022
"TTF1","treated",3,9.06674222947199,9.11777616641954,0.239545564112894
"VIM","control",3,17.1102232602809,16.9645337577004,0.326532489023351
"VIM","treated",3,16.9808221016539,17.1216608693016,0.284361363890514
