"sample","sample_short","sample_short10","PC1","PC2","wtko","condition","group"
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK",-25.6967055906924,2.35428432292,"KO","MTK","KO_MTK"
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK",-33.3524833760398,-12.160423456819,"KO","control","KO_control"
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK",-24.1080972657593,9.11525713475433,"KO","control","KO_control"
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK",-27.3911249649807,6.49197768616444,"KO","MTK","KO_MTK"
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK",-23.2014789033284,-5.79390854000291,"KO","MTK","KO_MTK"
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK",-29.7576003072256,0.768336413763385,"KO","control","KO_control"
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK",28.953417253925,16.2229326319495,"WT","control","WT_control"
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK",24.2217160121294,9.21278788794061,"WT","MTK","WT_MTK"
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK",27.8350879078088,-15.1135596836865,"WT","control","WT_control"
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK",25.2290361695944,9.01744314727637,"WT","control","WT_control"
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK",30.9569939848181,-6.34802487676936,"WT","MTK","WT_MTK"
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK",26.3112390797491,-13.76710266749,"WT","MTK","WT_MTK"
