"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000029417",134.519536306829,1.71489786055825,0.314494102686894,5.45287764033395,4.95611731597323e-08,0.000442223510534175,"Cxcl9","17329","C-X-C motif chemokine ligand 9","Up_in_KO_MTK"
"ENSMUSG00000029223",1514.17941186688,1.03096075959548,0.189993946542043,5.42628214403315,5.753997925108e-08,0.000442223510534175,"Uchl1","22223","ubiquitin carboxy-terminal hydrolase L1","Up_in_KO_MTK"
"ENSMUSG00000033491",56.2811196323536,2.02522992017705,0.383987580018869,5.27420683782932,1.33331465505054e-07,0.000512359489069546,"Prss35","244954","serine protease 35","Up_in_KO_MTK"
"ENSMUSG00000009073",1812.84358710286,-0.61391527549053,0.116353525691607,-5.27629284838092,1.31823370858152e-07,0.000512359489069546,"Nf2","18016","neurofibromin 2","Down_in_KO_MTK"
"ENSMUSG00000023008",2164.55573811142,-0.635782562941625,0.123578883023336,-5.14475084567296,2.6787609587107e-07,0.000823504693926842,"Fmnl3","22379","formin-like 3","Down_in_KO_MTK"
"ENSMUSG00000071723",76.299979568675,1.3786787756247,0.29431138904864,4.68442210164299,2.8075091328243e-06,0.00431542228806424,"Gspt2","14853","G1 to S phase transition 2","Up_in_KO_MTK"
"ENSMUSG00000047261",585.673209980039,1.15077470439885,0.245451736861664,4.68839503485536,2.7535608952307e-06,0.00431542228806424,"Gap43","14432","growth associated protein 43","Up_in_KO_MTK"
"ENSMUSG00000022947",135.51974906682,1.04439689735472,0.234565153722073,4.4524810304611,8.48837413376595e-06,0.0118613453463742,"Cbr3","109857","carbonyl reductase 3","Up_in_KO_MTK"
"ENSMUSG00000060044",47.4039832748093,2.17769693002338,0.514327732780575,4.23406476304562,2.29504803484095e-05,0.0235181222290269,"Tmem26","327766","transmembrane protein 26","Up_in_KO_MTK"
"ENSMUSG00000040856",1650.10152903609,0.908363619084978,0.213997234885197,4.24474465556663,2.18842480564051e-05,0.0235181222290269,"Dlk1","13386","delta like non-canonical Notch ligand 1","Up_in_KO_MTK"
"ENSMUSG00000038418",2908.96185431221,0.826536688344484,0.198665759899779,4.16043856153898,3.17637058503867e-05,0.0305149951641434,"Egr1","13653","early growth response 1","Up_in_KO_MTK"
"ENSMUSG00000021250",1355.46917352851,1.88164694121173,0.459375586872264,4.09609695200225,4.20174021077688e-05,0.0358805270999175,"Fos","14281","Fos proto-oncogene, AP-1 transcription factor subunit","Up_in_KO_MTK"
"ENSMUSG00000022044",16.1149254902823,5.59476982622656,1.37498308146922,4.06897357620454,4.72207016377169e-05,0.0373811322392761,"Stmn4","56471","stathmin-like 4","Up_in_KO_MTK"
"ENSMUSG00000073293",40.9076391642978,2.48542341080042,0.611860594499361,4.06207465089993,4.86385169986027e-05,0.0373811322392761,"Nudt10","102954","nudix hydrolase 10","Up_in_KO_MTK"
"ENSMUSG00000040213",226.663561118447,0.823682384720818,0.204265620695233,4.03240830207921,5.52081595061092e-05,0.0385729372622002,"Kyat3","229905","kynurenine aminotransferase 3","Up_in_KO_MTK"
"ENSMUSG00000029864",118.112937347924,0.988297201908071,0.25082161610569,3.94023935118745,8.14003515208661e-05,0.0499713666478264,"Gstk1","76263","glutathione S-transferase kappa 1","Up_in_KO_MTK"
"ENSMUSG00000029869",368.729893477088,-0.860959925255709,0.219360571399659,-3.92486179153455,8.67795464701129e-05,0.0499713666478264,"Ephb6","13848","Eph receptor B6","Down_in_KO_MTK"
