"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000039168",99606.554779912,3.95183158106471,0.116586482700648,33.8961386390873,7.59412698016103e-252,1.42108898179753e-247,"Dap","223453","death-associated protein","Up_in_WT_MTK"
"ENSMUSG00000022237",5630.53191151636,4.40474684663894,0.161067672430631,27.3471813441396,1.16655388568632e-164,1.0914861431424e-160,"Ankrd33b","67434","ankyrin repeat domain 33B","Up_in_WT_MTK"
"ENSMUSG00000039100",17204.8382445568,4.10282983386421,0.155863217672802,26.3232717450831,1.03866235227873e-152,6.47882953273062e-149,"Marchf6","223455","membrane associated ring-CH-type finger 6","Up_in_WT_MTK"
"ENSMUSG00000117458",1959.75578057697,3.46218567557752,0.137629848964526,25.155776175195,1.22181504558838e-139,5.71595623702384e-136,"Gm6552","625074","eukaryotic translation initiation factor 3, subunit H pseudogene","Up_in_WT_MTK"
"ENSMUSG00000022236",934.877466711639,4.85795164420912,0.193702137754265,25.0794942199969,8.32603419992626e-139,3.1161015596644e-135,"Ropn1l","252967","ropporin 1-like","Up_in_WT_MTK"
"ENSMUSG00000022312",79737.8258362995,3.36927852939723,0.152605262616899,22.0783901657145,5.09929437663668e-108,1.59038492783337e-104,"Eif3h","68135","eukaryotic translation initiation factor 3, subunit H","Up_in_WT_MTK"
"ENSMUSG00000022403",37610.408684926,3.20499528017399,0.150414034036529,21.3078207808431,9.60635746252944e-101,2.56805381709019e-97,"St13","70356","suppression of tumorigenicity 13","Up_in_WT_MTK"
"ENSMUSG00000004631",2176.88108400414,2.35294830461186,0.122113032374064,19.2686092456059,9.85488663689836e-83,2.30518117045349e-79,"Sgce","20392","sarcoglycan, epsilon","Up_in_WT_MTK"
"ENSMUSG00000061731",11602.9033825339,2.51277934412579,0.13563168366971,18.5264923072467,1.26253653091341e-76,2.62509401144252e-73,"Ext1","14042","exostosin glycosyltransferase 1","Up_in_WT_MTK"
"ENSMUSG00000022404",7528.48938200304,2.86099254621106,0.155060179000815,18.4508528536912,5.13286223371089e-76,9.6051250979432e-73,"Slc25a17","20524","solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17","Up_in_WT_MTK"
"ENSMUSG00000040856",1650.10152903609,-3.84567106552057,0.219924933303555,-17.4862895614137,1.82243300992472e-68,3.10028990133831e-65,"Dlk1","13386","delta like non-canonical Notch ligand 1","Down_in_WT_MTK"
"ENSMUSG00000022314",37185.2885479934,2.68239217829883,0.156204640727069,17.1722950471471,4.28151114317941e-66,6.67665983519302e-63,"Rad21","19357","RAD21 cohesin complex component","Up_in_WT_MTK"
"ENSMUSG00000033060",1912.34224259912,-2.07654686780319,0.12230455140863,-16.9784921647377,1.18491344652374e-64,1.70563733267682e-61,"Lmo7","380928","LIM domain only 7","Down_in_WT_MTK"
"ENSMUSG00000039065",1572.46323238953,3.50964868630415,0.207417397872271,16.9207054099937,3.16615538445995e-64,4.23201897924279e-61,"Atpsckmt","68073","ATP synthase C subunit lysine N-methyltransferase","Up_in_WT_MTK"
"ENSMUSG00000022313",2164.10165207377,3.23441626526882,0.192279096075538,16.8214659382326,1.69902097973096e-63,2.11958530624703e-60,"Utp23","78581","UTP23 small subunit processome component","Up_in_WT_MTK"
"ENSMUSG00000028126",1702.1511141606,1.5114447124547,0.090433171927711,16.7133882427887,1.04712952312797e-62,1.22468342289336e-59,"Pip5k1a","18720","phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha","Up_in_WT_MTK"
"ENSMUSG00000028989",484.908822865778,-4.77153386213477,0.285821952783223,-16.694077609055,1.44738752797093e-62,1.59323310652471e-59,"Angptl7","654812","angiopoietin-like 7","Down_in_WT_MTK"
"ENSMUSG00000033585",346.645915519379,-5.95478546935327,0.369229773742384,-16.1275874613189,1.63274990279532e-58,1.6974249406116e-55,"Ndn","17984","necdin, MAGE family member","Down_in_WT_MTK"
"ENSMUSG00000022401",1144.93490179639,2.45845971277475,0.155133014114125,15.8474308438703,1.46446697735541e-56,1.44234581827641e-53,"Xpnpep3","321003","X-prolyl aminopeptidase 3, mitochondrial","Up_in_WT_MTK"
"ENSMUSG00000092035",7305.014168762,2.95049043527856,0.189437237705985,15.5750288116946,1.07604559018974e-54,1.00680205646103e-51,"Peg10","170676","paternally expressed 10","Up_in_WT_MTK"
"ENSMUSG00000063632",248.309092736689,-5.52099198908399,0.358535732506426,-15.3987217689245,1.66936667182067e-53,1.48756469189429e-50,"Sox11","20666","SRY (sex determining region Y)-box 11","Down_in_WT_MTK"
"ENSMUSG00000052560",426.43330168645,3.07175338327122,0.20129904637588,15.2596519386159,1.42003752774064e-52,1.20787101166412e-49,"Cpne8","66871","copine VIII","Up_in_WT_MTK"
"ENSMUSG00000020950",2499.13526278303,2.17188517417658,0.142768867670767,15.2125964827645,2.91738723385137e-52,2.37361162204612e-49,"Foxg1","15228","forkhead box G1","Up_in_WT_MTK"
"ENSMUSG00000039683",250.407354653601,-6.21502092737492,0.425822461068872,-14.5953337261129,3.00737467659211e-48,2.34487509679451e-45,"Sdk1","330222","sidekick cell adhesion molecule 1","Down_in_WT_MTK"
"ENSMUSG00000023945",214.202274007313,3.23132982317264,0.225377190408101,14.3374305861277,1.27696281136132e-46,9.55832203560175e-44,"Slc5a7","63993","solute carrier family 5 (choline transporter), member 7","Up_in_WT_MTK"
"ENSMUSG00000114995",258.587593980629,4.43865297958667,0.318369110417659,13.9418455947681,3.5270030254291e-44,2.53849260057134e-41,NA,NA,NA,"Up_in_WT_MTK"
"ENSMUSG00000022235",228.95161516111,2.76569161532662,0.201811696317438,13.7043177664804,9.56622323424742e-43,6.63010131046192e-40,"Cmbl","69574","carboxymethylenebutenolidase homolog","Up_in_WT_MTK"
"ENSMUSG00000059878",666.939916446675,-2.68608929021396,0.196097547121221,-13.6977199850108,1.04762560157001e-42,7.00150638649268e-40,"Zfp422","67255","zinc finger protein 422","Down_in_WT_MTK"
"ENSMUSG00000035357",840.929545406016,-2.30409086072488,0.16875711665496,-13.653295969946,1.9295018054645e-42,1.24506094088473e-39,"Pdzrn3","55983","PDZ domain containing RING finger 3","Down_in_WT_MTK"
"ENSMUSG00000022054",178.592457454215,4.08180672854424,0.30472121367564,13.3952168255969,6.4487435716632e-41,4.02251128188445e-38,"Nefm","18040","neurofilament, medium polypeptide","Up_in_WT_MTK"
"ENSMUSG00000022464",534.276710885832,5.84834149825425,0.443578612517727,13.1844532924151,1.07832869245521e-39,6.5092789748111e-37,"Slc38a4","69354","solute carrier family 38, member 4","Up_in_WT_MTK"
"ENSMUSG00000024810",558.115594153733,3.64921402403846,0.280542284430477,13.0077147958164,1.10600252572387e-38,6.46769539495963e-36,"Il33","77125","interleukin 33","Up_in_WT_MTK"
"ENSMUSG00000021214",168.364473501175,4.37817876381237,0.348651785829395,12.557454003562,3.61787918500814e-36,2.05155676330476e-33,"Akr1c18","105349","aldo-keto reductase family 1, member C18","Up_in_WT_MTK"
"ENSMUSG00000015579",149.00160218436,4.6722227765666,0.375117770276632,12.455349084425,1.3077800310606e-35,7.19779050624615e-33,"Nkx2-5","18091","NK2 homeobox 5","Up_in_WT_MTK"
"ENSMUSG00000021306",870.111865721844,1.72999850377438,0.143108114776775,12.0887519654136,1.21112500761825e-33,6.47536636216009e-31,"Gpr137b","83924","G protein-coupled receptor 137B","Up_in_WT_MTK"
"ENSMUSG00000029810",2827.44173688097,-2.43804415284083,0.202129341386545,-12.0618022901405,1.68064336904559e-33,8.73607760137505e-31,"Tmem176b","65963","transmembrane protein 176B","Down_in_WT_MTK"
"ENSMUSG00000022120",389.364401944592,-1.77757229411742,0.147714310000796,-12.0338530106382,2.35889602869427e-33,1.19302760499881e-30,"Obi1","72486","ORC ubiquitin ligase 1","Down_in_WT_MTK"
"ENSMUSG00000029377",1039.77622810383,2.57057216242152,0.219774531460275,11.6964060637124,1.32966479464474e-31,6.54789929004919e-29,"Ereg","13874","epiregulin","Up_in_WT_MTK"
"ENSMUSG00000028972",119.182710655484,4.76771954574184,0.409585277436197,11.6403586954722,2.56932768351656e-31,1.23281612670885e-28,"Car6","12353","carbonic anhydrase 6","Up_in_WT_MTK"
"ENSMUSG00000025555",1832.87453579143,-1.21456894726057,0.104552833504483,-11.6167960881566,3.38597268298981e-31,1.58404267041971e-28,"Farp1","223254","FERM, ARH/RhoGEF and pleckstrin domain protein 1","Down_in_WT_MTK"
"ENSMUSG00000032816",393.405730276042,-2.09181183423924,0.18028719181579,-11.6026646883299,3.99443736938186e-31,1.82311967056689e-28,"Igdcc4","56741","immunoglobulin superfamily, DCC subclass, member 4","Down_in_WT_MTK"
"ENSMUSG00000074934",6773.13039816876,1.46699980148868,0.126467956491505,11.5997746953967,4.13164535341008e-31,1.84084474996102e-28,"Grem1","23892","gremlin 1, DAN family BMP antagonist","Up_in_WT_MTK"
"ENSMUSG00000047996",372.825435926248,-2.55551808989718,0.222359194934706,-11.4927475369192,1.43474841247669e-30,6.24382489364566e-28,"Prrg1","546336","proline rich Gla (G-carboxyglutamic acid) 1","Down_in_WT_MTK"
"ENSMUSG00000051339",620.347816410771,1.58352583525217,0.137834516114058,11.488601548409,1.50528953269792e-30,6.40192796031276e-28,"2900026A02Rik","243219","RIKEN cDNA 2900026A02 gene","Up_in_WT_MTK"
"ENSMUSG00000032572",177.822439120443,-3.47343735922851,0.302689102466734,-11.4752639950434,1.75640793021433e-30,7.30392479957794e-28,"Col6a4","68553","collagen, type VI, alpha 4","Down_in_WT_MTK"
"ENSMUSG00000036111",127.44398916218,3.41992215619692,0.298929117804419,11.4405788948084,2.6213059567039e-30,1.06635866016957e-27,"Lmo1","109594","LIM domain only 1","Up_in_WT_MTK"
"ENSMUSG00000024846",457.445301050556,2.22108283043159,0.196055090713219,11.3288709941253,9.44138470848831e-30,3.75907727765834e-27,"Cst6","73720","cystatin E/M","Up_in_WT_MTK"
"ENSMUSG00000048078",976.147409183378,-2.85820100347252,0.252743328506679,-11.3087099879552,1.18823639340468e-29,4.60559468304763e-27,"Tenm4","23966","teneurin transmembrane protein 4","Down_in_WT_MTK"
"ENSMUSG00000056004",128.530344087018,2.46884599290296,0.218338778240976,11.3074095806204,1.20597520156754e-29,4.60559468304763e-27,"Elapor2","231014","endosome-lysosome associated apoptosis and autophagy regulator family member 2","Up_in_WT_MTK"
"ENSMUSG00000058665",132.331504004781,-5.72498737355667,0.508143872093587,-11.266469376024,1.92120105431187e-29,7.19028706586761e-27,"En1","13798","engrailed 1","Down_in_WT_MTK"
"ENSMUSG00000022234",62815.4479981202,3.64946765823879,0.328123849534674,11.1222261454455,9.78007404182623e-29,3.58852010871949e-26,"Cct5","12465","chaperonin containing TCP1 subunit 5","Up_in_WT_MTK"
"ENSMUSG00000039209",1085.018868112,8.01085431128758,0.72188747493929,11.0970955853768,1.29586801891167e-28,4.66338043036426e-26,"Rpl39l","68172","ribosomal protein L39-like","Up_in_WT_MTK"
"ENSMUSG00000067276",1961.61865156523,-1.86578011514752,0.168221234728771,-11.0912282754064,1.38374590107646e-28,4.88566736732902e-26,"Capn6","12338","calpain 6","Down_in_WT_MTK"
"ENSMUSG00000096225",318.067421137956,-3.53458330126425,0.319037089851415,-11.0789103013396,1.5879337921962e-28,5.50277871358657e-26,"Lhx8","16875","LIM homeobox protein 8","Down_in_WT_MTK"
"ENSMUSG00000037337",174.331401793508,-2.21410198462601,0.200191159239833,-11.0599388755898,1.96231205560275e-28,6.67649918118076e-26,"Map4k1","26411","mitogen-activated protein kinase kinase kinase kinase 1","Down_in_WT_MTK"
"ENSMUSG00000022865",334.412360819054,2.69951052209674,0.245249607143764,11.0071961114877,3.52813349175486e-28,1.17896360770016e-25,"Cxadr","13052","coxsackie virus and adenovirus receptor","Up_in_WT_MTK"
"ENSMUSG00000099759",92.614225744345,5.46319424611263,0.502210791696015,10.8782892292356,1.46282567877107e-27,4.80243103979702e-25,"1700030C10Rik","69513","RIKEN cDNA 1700030C10 gene","Up_in_WT_MTK"
"ENSMUSG00000022136",1436.16089408099,-1.12404446771042,0.103884672381073,-10.8201185213075,2.76419687655981e-27,8.91834761225237e-25,"Dnajc3","100037258","DnaJ heat shock protein family (Hsp40) member C3","Down_in_WT_MTK"
"ENSMUSG00000031965",92.0372655502116,4.15986177248338,0.385650625235669,10.7866071005105,3.98221064471579e-27,1.26303572533164e-24,"Tbx20","57246","T-box 20","Up_in_WT_MTK"
"ENSMUSG00000004655",4297.17467199771,-1.78682681601753,0.165683923601135,-10.7845515556423,4.07224638415785e-27,1.27006577644577e-24,"Aqp1","11826","aquaporin 1","Down_in_WT_MTK"
"ENSMUSG00000021996",7621.17427594005,1.27096830158161,0.118879352358109,10.6912451689086,1.11859016131972e-26,3.43150453914361e-24,"Esd","13885","esterase D/formylglutathione hydrolase","Up_in_WT_MTK"
"ENSMUSG00000027358",1619.30125058683,1.78475072886462,0.168853548197925,10.569814776842,4.11306167831006e-26,1.24141489010026e-23,"Bmp2","12156","bone morphogenetic protein 2","Up_in_WT_MTK"
