"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0002886","regulation of myeloid leukocyte mediated immunity",67,0.647050276661963,1.77712842561566,0.000133037172962406,0.427182362382284,0.427182362382284,3746,"tags=39%, list=18%, signal=32%","14126/16415/380795/18976/16016/14125/21333/237625/13421/14460/14825/68891/12921/378460/14191/12266/56792/20311/14129/14127/20343/16409/12772/19354/16414/20375",0.518848077743792
"GO:0046189","phenol-containing compound biosynthetic process",45,0.678308362739039,1.74876516997063,0.00120622736233863,1,1,2298,"tags=31%, list=11%, signal=28%","22293/12922/13195/18976/12560/53626/22063/11607/50518/13162/12705/15186/13603/317750",0.45505986738723
"GO:0001562","response to protozoan",45,0.671183159484132,1.73039549038887,0.00158058907417943,1,1,4136,"tags=60%, list=20%, signal=48%","100124677/15978/16159/626578/16160/16153/16193/53314/100039796/384059/60440/16145/20737/56744/21939/74481/55932/17472/27027/78317/76074/54396/72310/21822/100702/12493/15937",0.45505986738723
"GO:0002888","positive regulation of myeloid leukocyte mediated immunity",27,0.730091145626778,1.69334423218607,0.00229501336482428,1,1,4700,"tags=67%, list=23%, signal=52%","16415/380795/18976/16016/14825/68891/12266/56792/14129/14127/20343/16409/16414/20375/12229/22177/19204/228607",0.431707695803346
"GO:0009084","L-glutamine family amino acid biosynthetic process",17,-0.822015203947985,-1.67905247854771,0.00241226259753605,1,1,201,"tags=12%, list=1%, signal=12%","53320/217214",0.431707695803346
"GO:0099538","synaptic signaling via neuropeptide",12,0.853571097228688,1.66847642108948,0.0023771391807667,1,1,2052,"tags=83%, list=10%, signal=75%","230899/12424/14803/14804/20983/109648/18619/18166/14816/381677",0.431707695803346
"GO:0043302","positive regulation of leukocyte degranulation",31,0.693641978356415,1.66508947584897,0.00318629957506628,1,1,3196,"tags=35%, list=15%, signal=30%","14126/16415/14125/21333/237625/14460/68891/12921/14191/14127/16409",0.431707695803346
"GO:0051346","negative regulation of hydrolase activity",65,-0.629394707272036,-1.65695360051035,0.0013917529827779,1,1,3487,"tags=28%, list=17%, signal=23%","13853/57875/69601/18787/140571/232345/18762/16847/18125/11806/11516/380839/19733/282663/66968/208213/72432/20704",0.45505986738723
"GO:0051970","negative regulation of transmission of nerve impulse",8,0.940704023232023,1.65057714965335,0.000121921263909889,0.427182362382284,0.427182362382284,433,"tags=25%, list=2%, signal=24%","99738/15171",0.538434096309916
"GO:2000020","positive regulation of male gonad development",9,0.906378196700319,1.64401081258348,0.000607568926405525,1,1,613,"tags=22%, list=3%, signal=22%","26908/22431",0.477270815362862
"GO:0042359","vitamin D metabolic process",17,0.787525549495757,1.6432909652479,0.00374813296341333,1,1,3164,"tags=47%, list=15%, signal=40%","14186/15978/14581/244209/13115/21926/13113/14725",0.431707695803346
"GO:0070944","neutrophil-mediated killing of bacterium",15,-0.828727267928708,-1.63754269679248,0.00499301549538769,1,1,1035,"tags=27%, list=5%, signal=25%","14061/101613/17523/50701",0.407017918923954
"GO:0044550","secondary metabolite biosynthetic process",22,0.727508421144596,1.63416078520768,0.00607832188989339,1,1,3255,"tags=45%, list=16%, signal=38%","22293/18976/12560/22063/50518/12705/13603/317750/26570/73822",0.407017918923954
"GO:0001711","endodermal cell fate commitment",14,-0.815890322116333,-1.63196605089912,0.00366381703391951,1,1,1669,"tags=29%, list=8%, signal=26%","21410/71950/20674/17292",0.431707695803346
"GO:0002089","lens morphogenesis in camera-type eye",26,-0.712443294503084,-1.62938449260833,0.00960820951535125,1,1,3128,"tags=31%, list=15%, signal=26%","20666/15258/110380/19130/18742/20674/235435/20473",0.380730400722792
"GO:0034393","positive regulation of smooth muscle cell apoptotic process",17,0.776379513102346,1.62003307740497,0.00602745727156793,1,1,1370,"tags=24%, list=7%, signal=22%","15978/16159/271639/16160",0.407017918923954
"GO:0042438","melanin biosynthetic process",21,0.735407738651493,1.61697096877114,0.00980933836607603,1,1,3255,"tags=48%, list=16%, signal=40%","22293/18976/12560/22063/50518/12705/13603/317750/26570/73822",0.380730400722792
"GO:0042832","defense response to protozoan",41,0.646536312426373,1.61401105934986,0.00718734697138956,1,1,4097,"tags=59%, list=20%, signal=47%","15978/16159/626578/16160/16153/16193/53314/100039796/384059/60440/16145/56744/21939/74481/55932/17472/27027/78317/76074/54396/72310/21822/100702/12493",0.407017918923954
"GO:0015669","gas transport",17,-0.786392454071306,-1.60628926664377,0.00904393886135944,1,1,2901,"tags=65%, list=14%, signal=56%","544763/64242/114886/11831/56315/15129/15122/19743/101488143/15132/216635",0.380730400722792
"GO:0072170","metanephric tubule development",21,-0.750500442528262,-1.60616242120389,0.00568393861407137,1,1,3867,"tags=48%, list=19%, signal=39%","18763/11826/16878/22422/12765/20681/22417/22412/20517/242316",0.407017918923954
"GO:0048821","erythrocyte development",54,-0.627737377697103,-1.60417516981106,0.00495260764972752,1,1,3163,"tags=26%, list=15%, signal=22%","16596/11733/544763/27260/105463053/15129/15122/19743/101488143/20533/13828/15132/14380/216635",0.407017918923954
"GO:0072207","metanephric epithelium development",24,-0.718512508481208,-1.60054147341332,0.00677899893089694,1,1,3867,"tags=42%, list=19%, signal=34%","18763/11826/16878/22422/12765/20681/22417/22412/20517/242316",0.407017918923954
"GO:0001709","cell fate determination",32,-0.686602242966705,-1.59748579693532,0.00418122240104064,1,1,2948,"tags=38%, list=14%, signal=32%","15228/16450/13592/19130/54713/11921/18205/19207/16814/17927/17292/22408",0.407017918923954
"GO:0010466","negative regulation of peptidase activity",22,-0.730817272541201,-1.5973955367183,0.00978399997569347,1,1,923,"tags=18%, list=4%, signal=17%","380839/282663/72432/20704",0.380730400722792
"GO:0043306","positive regulation of mast cell degranulation",21,0.725192484457718,1.59451027302127,0.0120514113729843,1,1,3059,"tags=38%, list=15%, signal=33%","14126/14125/21333/237625/14460/12921/14191/14127",0.380730400722792
"GO:0006582","melanin metabolic process",23,0.711678001874496,1.5923716983495,0.0163212958547788,1,1,3255,"tags=43%, list=16%, signal=37%","22293/18976/12560/22063/50518/12705/13603/317750/26570/73822",0.352487857583619
"GO:0021516","dorsal spinal cord development",13,-0.812543294338375,-1.58984235322839,0.0064607578199383,1,1,1044,"tags=23%, list=5%, signal=22%","107751/22408/238057",0.407017918923954
"GO:0060391","positive regulation of SMAD protein signal transduction",38,-0.657048625900868,-1.58701543860131,0.00412810342316898,1,1,874,"tags=13%, list=4%, signal=13%","12160/18119/14563/242316/238057",0.407017918923954
"GO:0034390","smooth muscle cell apoptotic process",37,0.647115947488809,1.5860653588322,0.00367142099419612,1,1,1435,"tags=19%, list=7%, signal=18%","15978/16159/271639/11607/12638/16160/11818",0.431707695803346
