"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",129,0.553653278353289,1.6767087256525,0.000160361176443173,0.437533238551197,0.437533238551197,5363,"tags=53%, list=26%, signal=40%","381417/17329/626578/15007/667373/16153/23960/16912/100038882/269346/21354/16913/667823/15945/12362/67775/15018/16186/246728/246730/246727/21939/14129/58203/13178/74481/231655/15959/108670/20343/20304/27007/55932/54123/17472/80861/71586/22169/99899/76074/319236/19264/12934/69550/24110/21899/67138/20846/12774/56791/109032/22035/15958/20296/16168/60533/19188/667034/57444/20821/15040/14469/71982/56045/53331/66141/70110/22778/21857",0.518848077743792
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",98,0.579955350469401,1.67474668898083,0.000345534640514272,0.437533238551197,0.437533238551197,4552,"tags=45%, list=22%, signal=35%","15978/13206/17329/626578/667373/23960/16491/16912/100038882/21354/12642/16913/667823/17879/15945/67775/246728/246730/21939/58203/13178/74481/15959/55932/17472/80861/16178/71586/22169/99899/76074/434341/17768/319236/24110/229003/67138/20846/56791/109032/22035/15958/60533/19188",0.49849310876659
"GSE29615_DAY3_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN","GSE29615_DAY3_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN",46,0.649472862416425,1.66096014738708,0.00197340435015369,0.747517075103714,0.747517075103714,3597,"tags=37%, list=17%, signal=31%","58242/76257/20297/102954/15978/20310/330122/14825/21930/21926/18563/21824/20339/21664/13874/56177/13371",0.431707695803346
"GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP","GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP",63,0.617132082779611,1.65812508728885,0.000823855944574732,0.69547172654517,0.69547172654517,3650,"tags=38%, list=17%, signal=32%","13195/14945/15978/14581/626578/231507/20198/13162/14103/12477/223920/14590/14190/15894/108670/20304/74318/27007/55932/17472/13011/12766/76074/434341",0.477270815362862
"GSE13306_RA_VS_UNTREATED_TREG_DN","GSE13306_RA_VS_UNTREATED_TREG_DN",45,0.639448951785481,1.65007460495638,0.00491106881885114,0.88837727026718,0.88837727026718,3650,"tags=36%, list=17%, signal=29%","381738/53883/209588/12739/80796/22113/54167/18213/19329/16008/16182/22115/79221/14221/12581/434341",0.407017918923954
"GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP","GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP",118,0.552920288637732,1.6285857113572,0.000182104847245191,0.437533238551197,0.437533238551197,6941,"tags=65%, list=33%, signal=44%","13195/381738/231507/12335/12516/15242/192156/14190/17749/97165/20304/27007/20193/12028/13011/108907/66929/56452/215387/20878/13361/20195/52276/15354/16590/170439/20194/100678/20639/12235/26410/17252/16906/16765/56378/106795/11799/14630/20619/12525/17345/66397/16407/12534/54124/67005/54215/56086/18968/66197/16592/66495/114663/107995/72776/68988/16881/218977/66427/17858/21335/23834/69241/26446/12349/12442/21781/21936/17118/69263/16551/22137/14939/22166/17220/68202/18972",0.518848077743792
"GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN",112,0.554659633466536,1.62679588634159,0.000326278868018019,0.437533238551197,0.437533238551197,4421,"tags=40%, list=21%, signal=32%","381417/14945/17329/626578/54167/12500/12501/16162/16912/100038882/16182/269346/12515/12265/16913/667823/15945/12362/18566/246727/15894/74481/15959/108670/27007/17472/13011/99899/76074/434341/319236/12977/24110/12721/30955/16408/227659/109032/21838/24088/22035/15170/14360/17210/15958",0.49849310876659
"GSE37301_HEMATOPOIETIC_STEM_CELL_VS_PRO_BCELL_UP","GSE37301_HEMATOPOIETIC_STEM_CELL_VS_PRO_BCELL_UP",67,0.585346806363546,1.60102940283465,0.00242869461815756,0.747517075103714,0.747517075103714,2041,"tags=15%, list=10%, signal=14%","333883/16678/16424/20297/77647/54390/16160/22113/19329/26415",0.431707695803346
"GSE15324_NAIVE_VS_ACTIVATED_CD8_TCELL_UP","GSE15324_NAIVE_VS_ACTIVATED_CD8_TCELL_UP",46,0.624661743036313,1.59750825757431,0.00446904783761111,0.838360270277789,0.838360270277789,3889,"tags=46%, list=19%, signal=37%","69787/21673/14945/242653/14282/18213/15446/12265/14960/246728/83671/21939/15959/20304/16409/16477/22169/321019/22354/21953/24110",0.407017918923954
"GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_DN","GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_DN",100,0.543042284902025,1.58011045967032,0.00272802601260233,0.747517075103714,0.747517075103714,5547,"tags=43%, list=27%, signal=32%","11468/77647/667277/15978/98932/20198/116903/12477/16182/12227/12362/14590/97165/12772/17082/66471/19264/56351/20195/68041/12044/15937/16765/11991/229279/106795/12040/14793/14679/110052/20135/17345/58810/15251/54124/12631/53331/94176/14782/59029/12282/230484/18973",0.431707695803346
