"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045765","regulation of angiogenesis","62/1166","323/25615",0.191950464396285,4.216819164246,12.7055581898635,3.41334350427541e-22,2.19273186714652e-18,2.19273186714652e-18,"Hmox1/Fgf18/Gadd45a/Adm/Hif1a/Ecm1/Dcn/Lgals3/Pgk1/Egln1/Plk2/Thbs1/F3/Ptk2b/Cxcr4/Rgcc/Epha2/Mmp9/Gata4/Gata6/Adamts1/Hgf/Sfrp2/Adgrg6/Sulf1/Krit1/Tafa5/Tnfrsf12a/Cldn5/Serpine1/Angpt2/Stard13/Rhob/Id1/Klf2/Rock2/Foxc1/Flt1/Ctnnd1/Gpr4/Emp2/Pparg/Itgb8/Sphk1/Hc/Efna1/Grem1/Pgf/Hspb6/Ppp1r15a/Prkd1/Pde3b/Fgf2/Hspb1/Bmper/Vegfa/Fyn/Ism1/Btg1/Adm2/Sars1/Ccr3",62
"GO:1901342","regulation of vasculature development","62/1166","330/25615",0.187878787878788,4.12737148500442,12.4871230255579,1.09483627716942e-21,3.51661412226818e-18,3.51661412226818e-18,"Hmox1/Fgf18/Gadd45a/Adm/Hif1a/Ecm1/Dcn/Lgals3/Pgk1/Egln1/Plk2/Thbs1/F3/Ptk2b/Cxcr4/Rgcc/Epha2/Mmp9/Gata4/Gata6/Adamts1/Hgf/Sfrp2/Adgrg6/Sulf1/Krit1/Tafa5/Tnfrsf12a/Cldn5/Serpine1/Angpt2/Stard13/Rhob/Id1/Klf2/Rock2/Foxc1/Flt1/Ctnnd1/Gpr4/Emp2/Pparg/Itgb8/Sphk1/Hc/Efna1/Grem1/Pgf/Hspb6/Ppp1r15a/Prkd1/Pde3b/Fgf2/Hspb1/Bmper/Vegfa/Fyn/Ism1/Btg1/Adm2/Sars1/Ccr3",62
"GO:0036293","response to decreased oxygen levels","62/1166","369/25615",0.168021680216802,3.69114523049176,11.3713350831775,4.02400376212301e-19,8.61673338929274e-16,8.61673338929274e-16,"Hmox1/Jund/Vldlr/Cited2/Pdk1/Scn2a/Stc1/Hif1a/Ndrg1/Pgk1/Egln1/Ptgs2/Nos2/Plod1/Rgcc/Slc2a8/Mgarp/Bnip3l/Cpeb4/Penk/Aqp3/Gata6/Ak4/Bbc3/Slc2a1/Abcc9/Itpr2/Angptl4/Cpeb2/Angpt2/Alas2/Eno1/Rock2/Flt1/Lcn2/Map1lc3a/Acot2/Clca1/Epha4/Pparg/Mmp14/Fam162a/Mapk8/Pgf/Car9/Cd24a/Kcnj8/Ero1a/Hilpda/Sox2/Egln3/Vegfa/Fosl2/Ada/Higd1a/Bnip3/Bmp2/Mmp2/Rad21/Mt3/Nr4a2/Ece1",62
"GO:0001666","response to hypoxia","58/1166","332/25615",0.174698795180723,3.83782987869144,11.3657611198871,8.58099726612982e-19,1.37810816094045e-15,1.37810816094045e-15,"Hmox1/Jund/Vldlr/Cited2/Pdk1/Scn2a/Stc1/Hif1a/Ndrg1/Pgk1/Egln1/Ptgs2/Nos2/Plod1/Rgcc/Slc2a8/Mgarp/Bnip3l/Penk/Aqp3/Gata6/Ak4/Bbc3/Slc2a1/Abcc9/Itpr2/Angptl4/Cpeb2/Angpt2/Alas2/Eno1/Rock2/Flt1/Lcn2/Acot2/Clca1/Epha4/Pparg/Mmp14/Fam162a/Pgf/Car9/Cd24a/Kcnj8/Ero1a/Hilpda/Egln3/Vegfa/Fosl2/Ada/Higd1a/Bnip3/Bmp2/Mmp2/Rad21/Mt3/Nr4a2/Ece1",58
"GO:0070482","response to oxygen levels","64/1166","433/25615",0.147806004618938,3.24704185961757,10.2983448090942,8.11559847843494e-17,1.04269209250932e-13,1.04269209250932e-13,"Hmox1/Jund/Vldlr/Cited2/Pdk1/Scn2a/Stc1/Hif1a/Ndrg1/Pgk1/Egln1/Ptgs2/Nos2/Plod1/Rgcc/Slc2a8/Mgarp/Bnip3l/Cpeb4/Penk/Aqp3/Gata6/Ak4/Bbc3/Slc2a1/Abcc9/Itpr2/Angptl4/Cpeb2/Angpt2/Alas2/Eno1/Rock2/Flt1/Lcn2/Map1lc3a/Acot2/Clca1/Epha4/Pparg/Atp6v1g1/Mmp14/Fam162a/Mapk8/Pgf/Car9/Cd24a/Kcnj8/Ero1a/Hilpda/Sox2/Egln3/Vegfa/Fosl2/Ada/Higd1a/Bnip3/Bmp2/Mmp2/Rad21/Atp6v1a/Mt3/Nr4a2/Ece1",64
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","59/1166","379/25615",0.155672823218997,3.41986223563861,10.3647162034159,1.17391341961979e-16,1.25686996793959e-13,1.25686996793959e-13,"Msx1/Atf3/Pals1/Elapor2/Bmp4/Inhbb/Appl2/Cdkn2b/Cited2/Zfp703/Magi2/Hes1/Smad6/Thbs1/Gdnf/Tbx20/Gdf15/Dact2/Rgcc/Ext1/Dand5/Gata4/Gata6/Tnfaip6/Tgif1/Dlx5/Ptprk/Hspa1a/Gcnt2/Sfrp2/Lrrc32/Sulf1/Fzd1/Cldn5/Adamtsl2/Zic2/Fgf10/Fermt2/Acvr2b/Id1/Bmp6/Cdkn1c/Comp/Pparg/Itgb8/Grem1/Peg10/Dlx3/Lrp2/Ero1a/Bmper/Cav2/Runx2/Msx2/Fst/Bmp2/Sap30/Il13ra2/Itga3",59
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","62/1166","417/25615",0.148681055155875,3.26626520396033,10.1895064824263,1.86637508785882e-16,1.7127990806293e-13,1.7127990806293e-13,"Msx1/Atf3/Pals1/Elapor2/Bmp4/Inhbb/Appl2/Cdkn2b/Cited2/Zfp703/Magi2/Hes1/Smad6/Thbs1/Gdnf/Tbx20/Gdf15/Dact2/Rgcc/Ext1/Bmp3/Dand5/Gata4/Gata6/Tnfaip6/Tgif1/Dlx5/Ptprk/Hspa1a/Gcnt2/Sfrp2/Lrrc32/Sulf1/Fzd1/Cldn5/Adamtsl2/Zic2/Fgf10/Fermt2/Acvr2b/Id1/Bmp6/Cdkn1c/Map1lc3a/Comp/Pparg/Itgb8/Grem1/Peg10/Dlx3/Mapk8/Lrp2/Ero1a/Bmper/Cav2/Runx2/Msx2/Fst/Bmp2/Sap30/Il13ra2/Itga3",62
"GO:0050673","epithelial cell proliferation","66/1166","485/25615",0.136082474226804,2.98949620696363,9.65995643971681,1.74702055269257e-15,1.40285750381214e-12,1.40285750381214e-12,"Gpr15lg/Hmox1/Fgf18/Has2/Ereg/Bmp4/Jund/Cdkn2b/Zfp703/Hes1/Ecm1/Ar/Ednrb/Ctsl/Thbs1/Cdh13/F3/Bnc1/Rgcc/Cebpb/Epha2/Six1/Sox9/Esr1/Prdm1/Errfi1/Gata6/Ptprn/Dlx5/Ptprk/Egr3/Pold4/Hgf/Sfrp2/Sulf1/Krit1/Ptprv/Fgf10/Id1/Bmp6/Flt1/Cdkn1c/Apln/Htr2b/Fabp7/Cxadr/Pparg/Mmp14/Pgf/Prkd1/Il6/Fgf2/Agap2/Dll4/Bmper/Cav2/Rap1gap/Fgf7/Atp5if1/Osr1/Vegfa/Igfbp3/Fst/Tnfsf11/Ccr3/Tbx2",66
"GO:2001233","regulation of apoptotic signaling pathway","62/1166","444/25615",0.13963963963964,3.06764096858436,9.59784664637369,3.79212386924427e-15,2.70673374844724e-12,2.70673374844724e-12,"Eya4/Msx1/Ghitm/Atf3/Hmox1/Bmp4/Inhbb/Ripk3/S100a9/Hif1a/Ar/Sh3rf1/Lgals3/Ptgs2/Thbs1/Gdnf/Pmaip1/Marchf7/Gclm/Mmp9/Gata4/Cth/Wfs1/Bbc3/Tnfrsf22/Hgf/Hspa1a/Tpd52l1/Sfrp2/Septin4/Ddit3/Plaur/Bdkrb2/Tnfrsf12a/Mif/Fzd1/Serpine1/Fgf10/Eno1/Ier3/Pycr1/Pparg/S100a8/Faim2/Mapk8/Fgf2/Agap2/Hspb1/Bdnf/Mapk8ip1/Tpt1/Vegfa/Fyn/Higd1a/Prkra/Tnfsf11/Grina/Mmp2/Styxl1/Peli3/Nr4a2/Ckmt1",62
"GO:0048771","tissue remodeling","42/1166","236/25615",0.177966101694915,3.90960694246591,9.80642024165232,2.89813631383868e-14,1.86176276800997e-11,1.86176276800997e-11,"Siglec15/Npr3/Acp5/Sema3c/Hif1a/Pth1r/Nos2/Lepr/Car2/Ptk2b/Epha2/Mmp9/Timp1/Snx10/Ext1/Rspo3/Gata4/Rufy4/Oscar/Gpr137b/F2r/Pdk4/Tcirg1/Ctsk/Spp1/Angpt2/Fgf10/Acvr2b/Rock2/Foxc1/Bbln/Pparg/Grem1/Mmp14/Dcstamp/Il6/Dll4/Vegfa/Fosl2/Tnfsf11/Mmp2/Ppp3ca",42
"GO:0060348","bone development","44/1166","261/25615",0.168582375478927,3.70346273404178,9.58682557126608,5.24747653281812e-14,3.06452629516579e-11,3.06452629516579e-11,"Msx1/Alpl/Siglec15/Fgf18/Has2/Bmp4/Ttc9/Ranbp3l/Cited2/Acp5/Stc1/Por/Ecm1/Thbs1/Lepr/Sox9/Snx10/Ext1/Cadm1/Atg9b/Dlx5/Pappa2/Sulf1/Map2k6/Pthlh/Bmp6/Foxc1/Bbln/Comp/Grem1/Mmp14/Phex/Csgalnact1/Runx2/Nab2/Msx2/Col10a1/Fosl2/Bmp2/Tnfsf11/Hoxb4/Slc9b2/Phospho1/Tmem38b",44
"GO:0051402","neuron apoptotic process","55/1166","389/25615",0.141388174807198,3.10605325702091,9.140656352875,8.2332209643141e-14,4.40751762289615e-11,4.40751762289615e-11,"Hmox1/Scn2a/Hif1a/Ar/Egln1/Nmnat1/Gdnf/Pmaip1/Ptk2b/Optn/Cebpb/Gclm/Six1/Esr1/Cpeb4/Ptpn5/Gapdh/Wfs1/Bbc3/Star/F2r/Ddit3/Gba1/Fzd1/Glp1r/Retreg1/Lcn2/Pycr1/Epha4/Aars1/Nqo1/Gch1/Faim2/Fam162a/Mapk8/Kcnj8/Il6/Fgf2/Agap2/Clcf1/Bdnf/Snca/Bbs10/Mt1/Egln3/Vegfa/Fyn/Bnip3/Nefl/Grina/Mmp2/Rad21/Mt3/Usp53/Nr4a2",55
"GO:2001234","negative regulation of apoptotic signaling pathway","43/1166","256/25615",0.16796875,3.6899824453259,9.4462795582358,1.15776571207538e-13,5.72114379567096e-11,5.72114379567096e-11,"Eya4/Ghitm/Hmox1/Bmp4/Hif1a/Ar/Sh3rf1/Lgals3/Ptgs2/Gdnf/Marchf7/Gclm/Mmp9/Gata4/Cth/Wfs1/Tnfrsf22/Hgf/Hspa1a/Sfrp2/Plaur/Bdkrb2/Mif/Fzd1/Serpine1/Fgf10/Eno1/Ier3/Pycr1/Faim2/Fgf2/Agap2/Hspb1/Bdnf/Mapk8ip1/Tpt1/Vegfa/Fyn/Higd1a/Grina/Peli3/Nr4a2/Ckmt1",43
"GO:0060485","mesenchyme development","49/1166","327/25615",0.149847094801223,3.29188107489994,9.10890433336933,2.0657893836041e-13,9.21138023062327e-11,9.21138023062327e-11,"Msx1/Has2/Lama5/Bmp4/Nfatc1/Ranbp3l/Cited2/Zfp703/Sema3c/Hes1/Hif1a/Ednrb/Adamts5/Thbs1/Gdnf/Tbx20/Rgcc/Six1/Sox9/Heyl/Sema4g/Ext1/Dand5/Gata4/Nkx2-5/Tiam1/Gcnt2/Sfrp2/Frzb/Plaur/Zic2/Fgf10/Fermt2/Rock2/Foxc1/Htr2b/Emp2/Epha4/Efna1/Grem1/Trip10/Sema3a/Il6/Msx2/Osr1/Vegfa/Bmp2/Pdpn/Tbx2",49
"GO:0006936","muscle contraction","54/1166","386/25615",0.139896373056995,3.07328095699393,8.96312019272043,2.1508515482464e-13,9.21138023062327e-11,9.21138023062327e-11,"Kcne3/Stc1/Pde4b/Tmem38a/Ednrb/Ptgs2/Gdnf/Ptgs1/Tbx20/Kcnh2/Nedd4l/Adra2a/Cxcr4/Rpl10a/Stac2/Gata4/Rpl13a/Snta1/Nkx2-5/F2r/Abcc9/Ddit3/Sulf1/Rpl6/Map2k6/Bdkrb2/Rpl9/Aldoa/Rpl18a/Eno1/Calcrl/Rock2/Flt1/Htr2b/Rpl17/Nmu/Comp/Ppp1r13l/Sphk1/Gsto1/Arg2/Cacna1g/Kcnj8/Prkd1/Sstr2/Ada/Pde4d/Kcnj2/Akap6/Tmem38b/Rpl36a/Tbx2/Rpl12/Myl6b",54
"GO:0071453","cellular response to oxygen levels","38/1166","209/25615",0.181818181818182,3.99423046935911,9.49177968411099,2.4324188629395e-13,9.76616173470209e-11,9.76616173470209e-11,"Jund/Vldlr/Cited2/Pdk1/Scn2a/Stc1/Hif1a/Ndrg1/Pgk1/Egln1/Ptgs2/Rgcc/Mgarp/Bnip3l/Cpeb4/Aqp3/Gata6/Ak4/Bbc3/Cpeb2/Eno1/Rock2/Lcn2/Map1lc3a/Clca1/Epha4/Pparg/Atp6v1g1/Fam162a/Mapk8/Ero1a/Hilpda/Egln3/Vegfa/Higd1a/Bnip3/Atp6v1a/Mt3",38
"GO:0071456","cellular response to hypoxia","33/1166","161/25615",0.204968944099379,4.50281260986757,9.73664307860939,2.78638517376418e-13,1.05292578566242e-10,1.05292578566242e-10,"Jund/Vldlr/Cited2/Pdk1/Scn2a/Stc1/Hif1a/Ndrg1/Pgk1/Egln1/Ptgs2/Rgcc/Mgarp/Bnip3l/Aqp3/Gata6/Ak4/Bbc3/Cpeb2/Eno1/Rock2/Lcn2/Clca1/Epha4/Pparg/Fam162a/Ero1a/Hilpda/Egln3/Vegfa/Higd1a/Bnip3/Mt3",33
"GO:0036294","cellular response to decreased oxygen levels","36/1166","191/25615",0.18848167539267,4.14061587923091,9.51408426118417,3.3690383382282e-13,1.20237234915433e-10,1.20237234915433e-10,"Jund/Vldlr/Cited2/Pdk1/Scn2a/Stc1/Hif1a/Ndrg1/Pgk1/Egln1/Ptgs2/Rgcc/Mgarp/Bnip3l/Cpeb4/Aqp3/Gata6/Ak4/Bbc3/Cpeb2/Eno1/Rock2/Lcn2/Map1lc3a/Clca1/Epha4/Pparg/Fam162a/Mapk8/Ero1a/Hilpda/Egln3/Vegfa/Higd1a/Bnip3/Mt3",36
"GO:0043523","regulation of neuron apoptotic process","49/1166","332/25615",0.147590361445783,3.24230455268759,8.98062921080883,3.70433138371015e-13,1.25245393731337e-10,1.25245393731337e-10,"Hmox1/Hif1a/Ar/Egln1/Nmnat1/Gdnf/Pmaip1/Ptk2b/Optn/Cebpb/Gclm/Six1/Esr1/Cpeb4/Ptpn5/Wfs1/Bbc3/Star/F2r/Ddit3/Gba1/Fzd1/Glp1r/Retreg1/Lcn2/Pycr1/Epha4/Aars1/Nqo1/Gch1/Faim2/Mapk8/Il6/Fgf2/Agap2/Clcf1/Bdnf/Snca/Bbs10/Mt1/Egln3/Vegfa/Fyn/Nefl/Grina/Mmp2/Rad21/Mt3/Nr4a2",49
"GO:0048762","mesenchymal cell differentiation","42/1166","262/25615",0.16030534351145,3.52163068099983,8.95931641823771,1.12076159011772e-12,3.59988622745811e-10,3.59988622745811e-10,"Msx1/Has2/Lama5/Bmp4/Nfatc1/Ranbp3l/Cited2/Zfp703/Sema3c/Hes1/Hif1a/Ednrb/Gdnf/Tbx20/Rgcc/Six1/Sox9/Heyl/Sema4g/Ext1/Tiam1/Gcnt2/Sfrp2/Frzb/Plaur/Fgf10/Fermt2/Rock2/Foxc1/Htr2b/Emp2/Epha4/Efna1/Grem1/Trip10/Sema3a/Il6/Msx2/Osr1/Vegfa/Bmp2/Pdpn",42
"GO:0043524","negative regulation of neuron apoptotic process","38/1166","223/25615",0.170403587443946,3.74347160581191,8.98590605952573,1.96290334291742e-12,5.58098437216874e-10,5.58098437216874e-10,"Hmox1/Hif1a/Nmnat1/Gdnf/Ptk2b/Optn/Cebpb/Gclm/Six1/Esr1/Cpeb4/Wfs1/Star/F2r/Gba1/Fzd1/Glp1r/Retreg1/Lcn2/Pycr1/Epha4/Aars1/Faim2/Il6/Fgf2/Agap2/Clcf1/Bdnf/Snca/Bbs10/Mt1/Vegfa/Fyn/Nefl/Grina/Rad21/Mt3/Nr4a2",38
"GO:0060349","bone morphogenesis","27/1166","117/25615",0.230769230769231,5.06960021110964,9.63494072467378,2.10266421800722e-12,5.58098437216874e-10,5.58098437216874e-10,"Msx1/Alpl/Fgf18/Has2/Bmp4/Cited2/Acp5/Stc1/Por/Thbs1/Sox9/Ext1/Atg9b/Dlx5/Pappa2/Pthlh/Bmp6/Foxc1/Comp/Mmp14/Csgalnact1/Runx2/Nab2/Msx2/Col10a1/Fosl2/Phospho1",27
"GO:0072001","renal system development","53/1166","396/25615",0.133838383838384,2.94019742883379,8.49741862712351,2.10396238209358e-12,5.58098437216874e-10,5.58098437216874e-10,"Irx1/Has2/Lama5/Bmp4/Magi2/Hes1/Smad6/Ednrb/Adamts6/Cys1/Pbx1/Gdnf/Car2/Fmn1/Dact2/Cxcr4/Slit2/Six1/Mmp9/Sox9/Heyl/Irx2/Ext1/Prdm1/Adamts1/Wfs1/Sulf1/Spp1/Angpt2/Fgf10/Acvr2b/Bmp6/Foxc1/Cdkn1c/Ctnnd1/Gpr4/Epha4/Mecom/Grem1/Pgf/Lrp2/Cd24a/Arg2/Kcnj8/Fgf2/Bdnf/Ift25/Bmper/Osr1/Vegfa/Bmp2/Itga3/Ppp3ca",53
"GO:0001822","kidney development","52/1166","384/25615",0.135416666666667,2.97486956832476,8.51518769997981,2.15869928628704e-12,5.58098437216874e-10,5.58098437216874e-10,"Irx1/Has2/Lama5/Bmp4/Magi2/Hes1/Smad6/Ednrb/Adamts6/Cys1/Pbx1/Gdnf/Car2/Fmn1/Dact2/Cxcr4/Slit2/Six1/Mmp9/Sox9/Heyl/Irx2/Ext1/Prdm1/Adamts1/Wfs1/Sulf1/Spp1/Angpt2/Fgf10/Acvr2b/Bmp6/Foxc1/Cdkn1c/Ctnnd1/Gpr4/Epha4/Grem1/Pgf/Lrp2/Cd24a/Arg2/Kcnj8/Fgf2/Bdnf/Ift25/Bmper/Osr1/Vegfa/Bmp2/Itga3/Ppp3ca",52
"GO:0090287","regulation of cellular response to growth factor stimulus","48/1166","336/25615",0.142857142857143,3.13832394021073,8.61629618733768,2.17192729302955e-12,5.58098437216874e-10,5.58098437216874e-10,"Msx1/Pals1/Fgf18/Elapor2/Bmp4/Cdkn2b/Cited2/Zfp703/Hes1/Smad6/Hif1a/Dcn/Thbs1/Tbx20/Gdf15/Slit2/Dand5/Gata4/Gata6/Tnfaip6/Hspa1a/Sfrp2/Lrrc32/Tmem204/Sulf1/Fzd1/Cadm4/Adamtsl2/Fgf10/Cdkn1c/Apln/Fgfbp3/Pparg/Grem1/Peg10/Lrp2/Ppp2r5b/Fgf2/Bmper/Cav2/Runx2/Msx2/Vegfa/Fst/Bmp2/Sap30/Mt3/Itga3",48
"GO:0050678","regulation of epithelial cell proliferation","53/1166","399/25615",0.132832080200501,2.91809068124858,8.43286043707874,2.83129265732586e-12,6.99547078102359e-10,6.99547078102359e-10,"Gpr15lg/Hmox1/Fgf18/Has2/Bmp4/Jund/Cdkn2b/Zfp703/Hes1/Ecm1/Ar/Ednrb/Ctsl/Thbs1/Cdh13/F3/Bnc1/Rgcc/Six1/Sox9/Esr1/Errfi1/Gata6/Ptprn/Dlx5/Ptprk/Egr3/Pold4/Sfrp2/Sulf1/Krit1/Fgf10/Id1/Bmp6/Flt1/Cdkn1c/Apln/Htr2b/Cxadr/Pparg/Pgf/Prkd1/Il6/Fgf2/Agap2/Dll4/Cav2/Rap1gap/Fgf7/Atp5if1/Osr1/Vegfa/Ccr3",53
"GO:0003018","vascular process in circulatory system","42/1166","271/25615",0.154981549815498,3.40467615653858,8.69082670523225,3.52186425304534e-12,8.37942813391232e-10,8.37942813391232e-10,"Npr3/Adm/Dusp5/Smad6/Hif1a/Ednrb/Ptgs2/Ptgs1/Mgll/Adra2a/Slit2/Gclm/Ext1/Abcb1a/Snta1/Slc2a1/F2r/Ocln/Abcc9/Slc16a2/Ccl4/Bdkrb2/Cldn5/Fermt2/Klf2/Rock2/Bmp6/Foxc1/Apln/Htr2b/Gpr4/Fgfbp3/Comp/Slc27a1/Gch1/Cacna1g/Kcnj8/Kng2/F2rl1/Vegfa/Mmp2/Ece1",42
"GO:0001649","osteoblast differentiation","39/1166","243/25615",0.160493827160494,3.52577134023675,8.63927391756147,6.91060369103935e-12,1.58548993254417e-09,1.58548993254417e-09,"Bmp4/Jund/Nfatc1/Ranbp3l/Smad6/Pth1r/Cebpb/Epha2/Sox9/Penk/Bmp3/Tnfaip6/Dlx5/Tcirg1/Sfrp2/Map2k6/Spp1/Fzd1/Cebpd/Pthlh/Fermt2/Acvr2b/Id1/Bmp6/Pparg/Grem1/Smoc1/Igfbp2/Prkd1/Fgf2/Rorb/Runx2/Sox2/Msx2/Vegfa/Igfbp3/Fosl2/Bmp2/Ppp3ca",39
"GO:0045766","positive regulation of angiogenesis","34/1166","191/25615",0.178010471204188,3.91058166371809,8.81722574887213,8.12914814728695e-12,1.80074647235074e-09,1.80074647235074e-09,"Hmox1/Fgf18/Adm/Hif1a/Ecm1/Lgals3/Thbs1/F3/Ptk2b/Cxcr4/Mmp9/Gata4/Gata6/Hgf/Sfrp2/Serpine1/Angpt2/Rhob/Flt1/Emp2/Itgb8/Sphk1/Hc/Grem1/Pgf/Hspb6/Prkd1/Fgf2/Hspb1/Bmper/Vegfa/Btg1/Adm2/Ccr3",34
"GO:0048705","skeletal system morphogenesis","41/1166","270/25615",0.151851851851852,3.335922114224,8.42658333277668,1.23943615101587e-11,2.64117949925473e-09,2.64117949925473e-09,"Msx1/Alpl/Fgf18/Has2/Lama5/Bmp4/Cited2/Acp5/Stc1/Por/Thbs1/Fmn1/Hoxa1/Six1/Sox9/Ext1/Atg9b/Hoxb2/Dlx5/Pappa2/Col28a1/Sulf1/Pthlh/Acvr2b/Bmp6/Foxc1/Comp/Grem1/Mmp14/Csgalnact1/Runx2/Nab2/Msx2/Osr1/Vegfa/Col10a1/Fosl2/Prkra/Mmp2/Hoxb4/Phospho1",41
"GO:1904018","positive regulation of vasculature development","34/1166","194/25615",0.175257731958763,3.85010875139255,8.70208675889715,1.27454178824559e-11,2.64117949925473e-09,2.64117949925473e-09,"Hmox1/Fgf18/Adm/Hif1a/Ecm1/Lgals3/Thbs1/F3/Ptk2b/Cxcr4/Mmp9/Gata4/Gata6/Hgf/Sfrp2/Serpine1/Angpt2/Rhob/Flt1/Emp2/Itgb8/Sphk1/Hc/Grem1/Pgf/Hspb6/Prkd1/Fgf2/Hspb1/Bmper/Vegfa/Btg1/Adm2/Ccr3",34
"GO:0016525","negative regulation of angiogenesis","26/1166","117/25615",0.222222222222222,4.88183724032781,9.19040440662636,1.34455909919284e-11,2.69920239162963e-09,2.69920239162963e-09,"Gadd45a/Dcn/Pgk1/Plk2/Thbs1/Rgcc/Epha2/Adamts1/Sulf1/Krit1/Tafa5/Cldn5/Serpine1/Angpt2/Stard13/Klf2/Rock2/Foxc1/Flt1/Ctnnd1/Gpr4/Pparg/Pde3b/Fyn/Ism1/Sars1",26
"GO:2000181","negative regulation of blood vessel morphogenesis","26/1166","119/25615",0.218487394957983,4.79978955561641,9.07307347100383,2.02196402391803e-11,3.93608996656043e-09,3.93608996656043e-09,"Gadd45a/Dcn/Pgk1/Plk2/Thbs1/Rgcc/Epha2/Adamts1/Sulf1/Krit1/Tafa5/Cldn5/Serpine1/Angpt2/Stard13/Klf2/Rock2/Foxc1/Flt1/Ctnnd1/Gpr4/Pparg/Pde3b/Fyn/Ism1/Sars1",26
