"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002697","regulation of immune effector process","70/1116","461/25615",0.151843817787419,3.48519658837341,11.4922298685433,5.84776158513687e-20,3.75660204229193e-16,3.75660204229193e-16,"Hfe/Xcl1/Sectm1a/H2-M3/Sash3/Lgals1/Tap1/Rigi/Cd74/H2-DMb1/Pkp3/Tnfrsf4/Inava/Gimap3/Cd55/Scimp/Serpinb9/Tlr8/Fgl2/Irf1/Loxl3/Clnk/H2-D1/Ccr7/Tlr7/Gata2/H2-Q7/Tril/Ccr2/Shld1/Klrb1b/Cd86/Cgas/Klrk1/H2-Q6/Tnfrsf14/H2-DMb2/Clec7a/Myo18a/Fcgr1/Dpp4/Ptpn22/Gata3/H2-Q4/Klrb1a/Fgr/Mr1/Stap1/Sh2d1b1/Raet1a/Cx3cr1/Laptm5/Clec2d/Slamf8/Atad5/Sell/Spn/Ighm/Fzd5/P2rx7/Inpp5d/Masp1/Nectin4/Klrb1c/Il18/Klre1/H2-K1/Klrd1/Calhm6/Klri2",70
"GO:0022409","positive regulation of cell-cell adhesion","54/1116","338/25615",0.159763313609467,3.66696888719221,10.5344085225306,1.18674924437382e-16,2.5412257152858e-13,2.5412257152858e-13,"Ephb4/Gli3/Xcl1/H2-DMa/Sash3/Lgals1/Cdh1/Cd74/H2-DMb1/Pkp3/Gimap3/Cd55/Efnb1/Kif26b/Itga4/Sirpb1b/Irf1/Cd276/Il2ra/H2-Aa/Cd209a/Cd6/Alox5/Ccr7/Blm/Ccr2/Gpr65/Lck/Cd86/H2-Ab1/Tnfrsf14/H2-DMb2/Dpp4/Ptpn22/Gata3/Emilin1/Cd244a/Sirpb1a/Skap1/H2-Eb1/Tespa1/Il6ra/Ccl5/Lef1/Cd83/Ccr5/Sell/Itgal/Spn/Icosl/Ikzf1/Pawr/Il18/Itpkb",54
"GO:0051251","positive regulation of lymphocyte activation","54/1116","338/25615",0.159763313609467,3.66696888719221,10.5344085225306,1.18674924437382e-16,2.5412257152858e-13,2.5412257152858e-13,"Ephb4/Gli3/Xcl1/H2-DMa/Sash3/Lgals1/Il15ra/Cd74/H2-DMb1/Tnfrsf4/Gimap3/Cd55/Efnb1/Sirpb1b/Nfatc2/Irf1/Cd276/Il2ra/H2-Aa/Cd209a/Cd6/Ccr7/Blm/Bcl2/Ccr2/Gpr65/Lck/Shld1/Cd86/H2-Ab1/Tnfrsf14/H2-DMb2/Clec7a/Dpp4/Ptpn22/Gata3/Slc39a10/Cd244a/Sirpb1a/H2-Eb1/Tespa1/Ccl5/Lef1/Cd83/Atad5/Itgal/Spn/Ighm/Inpp5d/Icosl/Ikzf1/Il18/Tacr1/Itpkb",54
"GO:0002699","positive regulation of immune effector process","50/1116","302/25615",0.165562913907285,3.80008426499561,10.447187374983,3.68709974742551e-16,5.23862709703518e-13,5.23862709703518e-13,"Xcl1/Sectm1a/H2-M3/Sash3/Rigi/Cd74/H2-DMb1/Tnfrsf4/Inava/Gimap3/Cd55/Scimp/Irf1/Clnk/H2-D1/Ccr7/Gata2/H2-Q7/Ccr2/Shld1/Cd86/Klrk1/H2-Q6/Tnfrsf14/H2-DMb2/Clec7a/Myo18a/Fcgr1/Dpp4/Ptpn22/Gata3/H2-Q4/Fgr/Mr1/Stap1/Sh2d1b1/Raet1a/Laptm5/Atad5/Sell/Ighm/Fzd5/P2rx7/Masp1/Klrb1c/Il18/Klre1/H2-K1/Klrd1/Klri2",50
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","48/1116","281/25615",0.170818505338078,3.92071327440401,10.5071957285541,4.07738721749314e-16,5.23862709703518e-13,5.23862709703518e-13,"Ephb4/Gli3/Xcl1/H2-DMa/Sash3/Lgals1/Cd74/H2-DMb1/Gimap3/Cd55/Efnb1/Itga4/Sirpb1b/Irf1/Cd276/Il2ra/H2-Aa/Cd209a/Cd6/Alox5/Ccr7/Blm/Ccr2/Gpr65/Lck/Cd86/H2-Ab1/Tnfrsf14/H2-DMb2/Dpp4/Ptpn22/Gata3/Cd244a/Sirpb1a/Skap1/H2-Eb1/Tespa1/Ccl5/Lef1/Cd83/Sell/Itgal/Spn/Icosl/Ikzf1/Pawr/Il18/Itpkb",48
"GO:0002696","positive regulation of leukocyte activation","56/1116","376/25615",0.148936170212766,3.41845878136201,10.0830788093199,7.811995843209e-16,7.3087362940244e-13,7.3087362940244e-13,"Ephb4/Gli3/Xcl1/H2-DMa/Sash3/Lgals1/Il15ra/Cd74/H2-DMb1/Tnfrsf4/Gimap3/Cd55/Efnb1/Sirpb1b/Nfatc2/Irf1/Cd276/Il2ra/H2-Aa/Cd209a/Cd6/Ccr7/Blm/Bcl2/Ccr2/Gpr65/Lck/Shld1/Cd86/H2-Ab1/Klrk1/Tnfrsf14/H2-DMb2/Clec7a/Dpp4/Ptpn22/Gata3/Slc39a10/Stap1/Cd244a/Sirpb1a/H2-Eb1/Tespa1/Ccl5/Lef1/Cd83/Atad5/Itgal/Spn/Ighm/Inpp5d/Icosl/Ikzf1/Il18/Tacr1/Itpkb",56
"GO:0019882","antigen processing and presentation","33/1116","139/25615",0.237410071942446,5.44915680358939,11.2257693076364,8.86802527734135e-16,7.3087362940244e-13,7.3087362940244e-13,"Hfe/H2-M3/H2-DMa/Tap1/Cd74/Psmb9/H2-DMb1/Tapbp/Fgl2/H2-Aa/Wdfy4/H2-D1/Ccr7/Clec4a3/H2-Q7/Mpeg1/H2-Ab1/H2-Q6/H2-DMb2/Psmb8/Fcgr1/Erap1/H2-Q4/Rab8b/Mr1/Raet1a/Tapbpl/H2-Eb1/Clec4a1/Ighm/Ctss/Fcgr4/H2-K1",33
"GO:0050867","positive regulation of cell activation","58/1116","401/25615",0.144638403990025,3.31981426362409,9.99312103440653,9.10178866005529e-16,7.3087362940244e-13,7.3087362940244e-13,"Ephb4/Gli3/Xcl1/H2-DMa/Sash3/Lgals1/Il15ra/Cd74/H2-DMb1/Tnfrsf4/Gimap3/Cd55/Efnb1/Sirpb1b/Nfatc2/Irf1/Cd276/Il2ra/H2-Aa/Cd209a/Cd6/Ccr7/Blm/Bcl2/Ccr2/Gpr65/Lck/Shld1/Cd86/H2-Ab1/Klrk1/Tnfrsf14/H2-DMb2/Clec7a/Dpp4/Ptpn22/Gata3/Slc39a10/Stap1/Cd244a/Sirpb1a/Pear1/H2-Eb1/Tespa1/Ccl5/Lef1/Cd83/Atad5/Itgal/Spn/Ighm/Smo/Inpp5d/Icosl/Ikzf1/Il18/Tacr1/Itpkb",58
"GO:1903037","regulation of leukocyte cell-cell adhesion","57/1116","393/25615",0.145038167938931,3.32898984924348,9.9304912082471,1.4287666497647e-15,1.01982188423205e-12,1.01982188423205e-12,"Ephb4/Ass1/Gli3/Hfe/Xcl1/H2-DMa/Sash3/Lgals1/Cd74/H2-DMb1/Gimap3/Cd55/Efnb1/Itga4/Fgl2/Sirpb1b/Irf1/Cd276/Il2ra/H2-Aa/Loxl3/Cxcl12/Cd209a/Cd6/Alox5/Ccr7/Blm/Csk/Fut9/Ccr2/Gpr65/Slfn1/Lck/Cd86/H2-Ab1/Tnfrsf14/H2-DMb2/Dpp4/Ptpn22/Gata3/Cd244a/Sirpb1a/Skap1/H2-Eb1/Laptm5/Tespa1/Ccl5/Lef1/Cd83/Sell/Itgal/Spn/Icosl/Ikzf1/Pawr/Il18/Itpkb",57
"GO:0007159","leukocyte cell-cell adhesion","60/1116","438/25615",0.136986301369863,3.1441793096676,9.66034835100799,3.65170909015886e-15,2.34585791951805e-12,2.34585791951805e-12,"Ephb4/Ass1/Gli3/Hfe/Xcl1/H2-DMa/Sash3/Lgals1/Cd74/H2-DMb1/Gimap3/Cd55/Efnb1/Selplg/Itga4/Fgl2/Sirpb1b/Irf1/Cd276/Il2ra/H2-Aa/Loxl3/Cxcl12/Cd209a/Cd6/Alox5/Ccr7/Blm/Csk/Fut9/Ccr2/Gpr65/Slfn1/Lck/Cd86/H2-Ab1/Tnfrsf14/H2-DMb2/Dpp4/Ptpn22/Gata3/Cd244a/Sirpb1a/Skap1/Cx3cr1/H2-Eb1/Laptm5/Tespa1/Ccl5/Lef1/Cd83/Itgax/Sell/Itgal/Spn/Icosl/Ikzf1/Pawr/Il18/Itpkb",60
