"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",203,0.480143562924747,1.76336310460114,6.25321115391592e-07,3.12660557695796e-05,3.12660557695796e-05,5166,"tags=44%, list=25%, signal=33%","20304/626578/14962/209588/14969/14960/16149/16963/667277/12265/76074/16185/71939/14938/50908/434341/27007/15061/246727/246728/17329/14190/15930/15018/21354/16364/231655/19039/110168/16912/667373/12183/547253/14964/109032/14998/16913/236573/20821/14747/20849/66892/17069/54123/17858/22169/20306/327959/16196/672511/14129/230073/14991/16169/67775/16154/667977/16068/18854/22035/16362/12524/14102/21356/74735/66307/56045/27056/16651/217845/69550/12258/72925/242248/20846/243771/12370/17979/80861/17472/99899/56417/20296/12362/24110/209086/56338/100038882/108670",0.659444398037935
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",196,-0.499440879118451,-1.73314657451497,3.39559319122137e-06,7.85077352311226e-05,7.85077352311226e-05,4787,"tags=47%, list=23%, signal=37%","12368/75785/74185/21929/12576/13008/54683/20971/18712/13615/18451/74747/18591/13179/66681/12226/17750/14751/14066/17133/11520/21985/13527/52187/18793/60406/18030/13806/18641/53412/17859/14284/108767/17319/12575/17684/19252/18655/16322/14433/228026/72157/11674/12778/11639/56421/13638/12452/12177/12767/20893/13636/17872/14219/83814/12870/14538/11910/74155/70186/13198/18452/12209/18787/16770/54371/16009/20855/53374/16948/83553/15116/17748/16193/57875/56277/15368/11676/17988/22359/22339/20525/15937/12577/18772/50527/14042/18654/13004/19017/103988/11535/18534",0.627256739718528
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",194,0.462057770941528,1.70762888237823,9.477223956775e-06,0.000118465299459687,0.000118465299459687,4669,"tags=37%, list=22%, signal=29%","12526/12481/20304/15978/16184/16428/14960/26411/16149/17086/20299/12501/16185/16643/14938/12502/12772/14103/12525/16160/54390/15001/16818/18646/17329/12766/12516/14939/15018/12500/21354/14999/16364/16994/77647/15002/22637/21838/14998/20849/14191/12487/54123/16408/20306/12774/16196/50723/13040/13649/14991/14744/16173/17084/23880/14469/12988/12503/12189/16161/12524/14102/21897/21356/16186/15163/16176/20846/19264/14130/84544",0.593325476396405
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.461266254647237,1.69422659085277,4.71046411386735e-06,7.85077352311226e-05,7.85077352311226e-05,7893,"tags=64%, list=38%, signal=41%","19139/77891/15366/58184/70218/11799/68298/22256/17865/68275/110052/13433/17345/16571/17121/26934/17219/12530/69716/12419/17215/19362/18973/66570/17216/14056/67629/67967/12190/20425/98386/21877/17218/12189/24061/20877/67196/16906/105988/21973/12236/15270/245688/15574/18393/53381/72107/12704/22042/16881/19076/12021/70699/106795/19183/78833/17535/13626/18817/101565/68219/140917/108961/14375/70472/56150/20638/20878/21917/66929/26951/17279/69639/16647/17350/12442/229841/67684/17220/19891/52276/54141/17685/103468/17217/110809/18971/66131/218210/66471/19718/19360/212377/110033/66197/18969/20873/20937/18102/21853/70099/18972/12447/54124/12531/69270/14793/230484/12649/13178/66979/68479/12534/20135/110750/16201/12567/18813/100710/100336/19384/233726/15354/107995/20833/103733/15201/53605/73804",0.610526878385931
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",35,-0.62006039752676,-1.6755770692412,0.00706637521287305,0.0353318760643653,0.0353318760643653,5504,"tags=60%, list=26%, signal=44%","16449/16976/11820/20198/14182/16410/18590/20311/21857/22370/20855/17701/16523/11818/21824/108078/20750/16956/22339/17022/19074",0.407017918923954
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",187,-0.474987215773382,-1.65184304601126,9.97641052967702e-05,0.000997641052967702,0.000997641052967702,3682,"tags=23%, list=18%, signal=19%","97122/228608/14630/63828/383295/12215/17859/67712/65107/14664/102857/13857/74645/30805/225849/12177/71648/18452/104776/26570/70026/16596/53415/67216/544763/20739/14460/19746/12349/19743/20525/20617/11519/11656/20533/11828/101488143/110351/14934/23925/11433/13828/19824",0.538434096309916
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",99,0.474570933822541,1.59668887603011,0.00121885808112591,0.00761786300703695,0.00761786300703695,5166,"tags=39%, list=25%, signal=30%","16149/50908/23960/15061/15018/246730/21354/20343/231655/19039/16912/547253/109032/16913/20821/17069/54123/17858/22169/667823/16196/67775/14469/16362/74735/217845/69550/243771/12370/80861/99899/56417/68487/12362/24110/209086/56338/100038882/108670",0.45505986738723
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",198,0.425394891897047,1.57385144883258,0.000160370030714256,0.0013364169226188,0.0013364169226188,2948,"tags=21%, list=14%, signal=18%","17884/17930/12715/53311/17879/19293/21393/17901/11459/12391/17878/76722/11937/21957/13009/17907/19223/21345/11472/56188/12372/17928/13346/17882/23796/21953/19309/59011/17189/11474/16985/15464/11489/20190/13405/68507/56012/11815/12862/12491/110196",0.518848077743792
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",198,-0.423549444335904,-1.48351037670636,0.00101325798846953,0.00723755706049664,0.00723755706049664,4747,"tags=41%, list=23%, signal=32%","231130/16477/21929/12702/67916/17119/18412/18792/229055/20971/21807/15370/15936/230738/18626/12226/14066/106628/16878/21928/17133/17873/18793/59027/20698/20311/13197/18030/18578/15205/20393/16601/20620/13655/14284/108767/12575/19252/21815/12778/20229/13537/11852/19288/13614/16598/20893/13636/13654/17872/14063/21923/56708/14373/16175/83430/11910/20303/240672/12228/18787/11839/12608/20310/18227/14528/14579/21942/16193/14584/22113/12156/19225/108078/12609/21930/22339/15937/17681/319520/330122/18788",0.45505986738723
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",116,-0.436369478664832,-1.4471910960525,0.010655534733864,0.0484342487902909,0.0484342487902909,4176,"tags=33%, list=20%, signal=26%","72350/56324/71838/19356/14866/109979/15482/18952/14415/12745/12638/17349/20255/22115/97243/71854/15512/21959/15407/12427/56734/20744/69310/21463/30052/83553/18168/12794/20957/20616/11516/22024/11687/12686/14581/16165/12672/68172",0.380730400722792
