"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN","NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN",29,0.740661595939965,2.02842549088468,3.69513823451703e-05,0.0170144319616625,0.0170144319616625,3206,"tags=62%, list=15%, signal=53%","14945/12481/20304/16428/58208/12501/14938/12502/54167/54390/16818/16842/14939/12500/77647/22637/12487/16197",0.557332238758646
"GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP","GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP",114,0.569515927921588,1.9728309555897,5.59249383570183e-07,0.00180317249372617,0.00180317249372617,3411,"tags=36%, list=16%, signal=30%","66106/20304/626578/14962/15978/209588/54426/381417/20299/19378/76074/16643/12502/14103/434341/27007/15061/246727/17329/14939/15566/269346/20295/20343/231655/16182/224674/667373/16870/13732/236573/15476/17069/11815/54123/14114/22169/672511/14129/16169/67775",0.659444398037935
"GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP","GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP",103,0.5746026810192,1.96072325494637,1.53403001749408e-06,0.00258995401286917,0.00258995401286917,5166,"tags=49%, list=25%, signal=37%","12715/16665/626578/21908/13482/76074/434341/23960/15061/246727/246728/15018/231507/246730/231655/19039/667373/547253/236573/20821/54123/12286/17858/22169/667823/327959/672511/14744/67775/14469/18854/22035/170743/16161/12524/56045/69550/20846/243771/80861/17472/99899/68487/24110/209086/105827/210106/100038882/71683/108670",0.643551836150722
"GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN",112,0.559534692836061,1.93771303558256,7.1201283069148e-07,0.00180317249372617,0.00180317249372617,5495,"tags=54%, list=26%, signal=40%","14945/626578/16162/16184/381417/227659/12265/12501/76074/14938/54167/12525/434341/27007/80901/16818/246727/17329/15930/18566/269346/12500/16182/16912/21838/109032/16913/236573/66892/17858/667823/16408/327959/67776/142688/16169/16068/22035/16362/30955/21356/74735/20970/12721/12258/243771/84544/17472/99899/12362/24110/209086/18550/100038882/108670/66395/50931/229445/13139/19171",0.659444398037935
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",98,0.552923661518262,1.89186335178472,8.95908097286074e-06,0.00907554902550793,0.00907554902550793,5127,"tags=47%, list=25%, signal=36%","17879/626578/15978/16491/16178/76074/16643/434341/23960/246728/17329/14939/407800/246730/21354/16912/667373/547253/109032/16913/236573/20821/17858/22169/667823/327959/672511/142688/230073/67775/16068/14469/18854/22035/16362/21356/56045/20846/243771/80861/17472/99899/56417/24110/209086/100038882",0.593325476396405
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP",94,-0.58976535990871,-1.89033269173247,5.75737740865256e-06,0.0072902791437063,0.0072902791437063,4370,"tags=41%, list=21%, signal=33%","74747/15370/11605/13039/14066/18145/17873/52187/18793/24056/218952/14630/71839/20393/13655/108143/12575/19252/21815/13537/13614/13654/11910/240672/58801/12608/18227/14579/17748/326623/19016/21824/112407/69065/19225/20750/16956/319520/11535",0.610526878385931
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP",34,0.662727810707845,1.88878547456368,0.000293141641797865,0.0645548876393994,0.0645548876393994,4047,"tags=50%, list=19%, signal=40%","14969/16149/69165/20299/12772/58860/21354/20295/14999/170744/14998/12774/14129/170743/12524/14102/21897",0.49849310876659
"SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_1DY_UP","SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_1DY_UP",15,0.805047911888574,1.88024774163475,0.000358952678045788,0.0699267428577659,0.0699267428577659,2346,"tags=67%, list=11%, signal=59%","12526/26411/12501/12502/12525/16818/18646/17329/12500/22637",0.49849310876659
"HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP",44,0.620319350672323,1.85201826425675,0.000309443071735973,0.0653053815976126,0.0653053815976126,7177,"tags=84%, list=34%, signal=55%","108000/70218/11799/242705/68743/17865/17345/12530/19348/66570/77782/209737/12190/78733/21877/20877/67196/105988/71819/21973/12236/12428/108961/66929/13555/229841/76464/52276/17217/68988/72119/12447/215387/108907/12235/12534/20135",0.49849310876659
"GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN","GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN",59,0.590438321420423,1.84889835801159,0.000142237187736432,0.0379174397834225,0.0379174397834225,1290,"tags=22%, list=6%, signal=21%","12555/18096/18109/12391/12776/53814/53897/21420/16184/11686/16963/232370/22163",0.518848077743792
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP",35,0.660000120770903,1.84518324428971,0.000247205243367541,0.0579679005794668,0.0579679005794668,4047,"tags=49%, list=19%, signal=39%","14969/16149/69165/20299/12772/58860/20297/21354/20295/14999/170744/14998/12774/170743/12524/14102/21897",0.49849310876659
"GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP","GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP",50,0.603223351048744,1.84505679329343,0.000134047594897782,0.0377195037865146,0.0377195037865146,2825,"tags=28%, list=14%, signal=24%","21743/14945/12773/16426/16691/17882/67182/54167/15001/20297/18566/77647/12487/26357",0.518848077743792
"KAZMIN_PBMC_P_FALCIPARUM_RTSS_AS01_AGE_UNKNOWN_CORRELATED_WITH_PROTECTION_56DY_NEGATIVE","KAZMIN_PBMC_P_FALCIPARUM_RTSS_AS01_AGE_UNKNOWN_CORRELATED_WITH_PROTECTION_56DY_NEGATIVE",20,0.742875367674271,1.82964967025093,0.00105483884513391,0.116146929360941,0.116146929360941,2699,"tags=55%, list=13%, signal=48%","20304/16185/16643/14938/27007/18646/69454/12516/14939/22637/20849",0.45505986738723
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_UP",24,0.70435716971102,1.82371595296175,0.000764637182093639,0.101918087560639,0.101918087560639,4047,"tags=54%, list=19%, signal=44%","12773/14969/20299/12772/58860/21354/170744/14998/12774/14129/170743/12524/21897",0.477270815362862
"GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN","GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN",91,0.543661186103072,1.81714882497803,2.91561924039449e-05,0.0147676114525981,0.0147676114525981,4013,"tags=48%, list=19%, signal=39%","14945/12526/12481/20304/15978/16428/13482/17086/12501/12477/16185/16643/14938/12502/14103/434341/80901/16818/18646/12516/14939/15018/18566/12500/21354/21838/14964/20849/17069/12487/94176/13433/16401/18174/68875/667977/16068/14469/19734/18854/22240/16362/12503/16161",0.575610261071129
"QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_3DY_UP","QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_3DY_UP",41,0.624192005521183,1.81632577228195,0.000535988717875136,0.0875736405173408,0.0875736405173408,5127,"tags=59%, list=25%, signal=44%","23960/15061/246727/246728/246730/231655/19039/667373/54123/17858/667823/327959/230073/68810/170743/12267/217845/12258/20846/243771/80861/99899/209086/100038882",0.477270815362862
"QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_7DY_UP","QUEREC_PBMC_YF_17D_VACCINE_AGE_18_45YO_7DY_UP",41,0.624192005521183,1.81632577228195,0.000535988717875136,0.0875736405173408,0.0875736405173408,5127,"tags=59%, list=25%, signal=44%","23960/15061/246727/246728/246730/231655/19039/667373/54123/17858/667823/327959/230073/68810/170743/12267/217845/12258/20846/243771/80861/99899/209086/100038882",0.477270815362862
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_UP",28,0.689732897737939,1.81280214294209,0.00059270254104525,0.0904926391927447,0.0904926391927447,4047,"tags=54%, list=19%, signal=43%","12773/14969/12772/58860/21354/20295/14999/170744/14998/12774/14129/170743/12524/14102/21897",0.477270815362862
"GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN","GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN",95,0.54059933761985,1.81086169070077,1.63062191504634e-05,0.0103238749996371,0.0103238749996371,3930,"tags=37%, list=19%, signal=30%","20304/15978/16162/16184/12265/12501/16185/16643/14938/12502/54167/12525/18646/246727/14939/14190/15930/12500/16182/16912/109032/16913/20821/66892/22778/667823/16408/327959/67776/142688/16169/54403/19734/22035/16362",0.575610261071129
"GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP","GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP",106,0.529868576659385,1.80746131551538,1.85814627612332e-05,0.0104572343206273,0.0104572343206273,5166,"tags=46%, list=25%, signal=35%","626578/13482/76074/434341/23960/15061/246727/246728/319554/231507/246730/231655/19039/667373/547253/236573/20821/63913/54123/22169/12044/110052/327959/672511/142688/230073/67775/13058/14469/20775/18854/22035/16362/170743/12524/170459/56045/207565/20846/243771/24014/17472/99899/68487/24110/209086/100038882/71683/108670",0.575610261071129
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP",107,0.533095812375428,1.80683190369162,1.20226809890752e-05,0.0101491465349443,0.0101491465349443,6868,"tags=67%, list=33%, signal=45%","319554/18968/15366/70218/11799/23834/208628/110695/17865/17121/233406/26934/19348/19361/18005/14200/19362/66570/17216/20133/77782/67629/21877/17218/12189/14102/20877/105988/71819/21973/12236/67941/53381/72107/12544/22137/16551/16881/106795/14211/52033/18817/56150/20878/66929/17279/16647/12442/229841/76464/17220/52276/54141/66131/19366/110033/66197/72155/72119/56193/19766/107823/17864/54124/66694/78523/69270/20460/215387/108907/67834/12235",0.593325476396405
"SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_7DY_DN","SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_7DY_DN",13,0.800463369753406,1.79559559100585,0.00208060599897448,0.185573459048698,0.185573459048698,2346,"tags=69%, list=11%, signal=61%","12526/26411/12501/12502/12525/16818/18646/12500/22637",0.431707695803346
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP",113,0.513467339120279,1.7831710693824,1.47215441758894e-05,0.0103238749996371,0.0103238749996371,5882,"tags=54%, list=28%, signal=39%","14945/12477/12516/14190/18566/13007/22779/667373/108000/15366/19217/68298/63913/17858/667823/19075/68275/17345/16571/233406/14229/672511/17219/12419/19361/17215/19362/18973/20133/209737/14056/12190/227960/12189/12524/20877/21973/15270/20846/12428/12544/22137/16551/21936/16881/12021/80861/18817/24110/56150/16319/16647/12442/229841/17220/52276/13813/66131/67465/110033/12321",0.593325476396405
"GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN","GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN",64,-0.582934371811208,-1.77312380742548,0.000251785550394525,0.0579679005794668,0.0579679005794668,4626,"tags=44%, list=22%, signal=34%","67916/74142/11477/13039/17750/66290/18145/52187/24056/20393/11852/73834/13614/20893/13654/11910/13198/16854/18787/12608/18227/14579/17748/326623/19016/20750/18670/16956",0.49849310876659
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN","GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",96,0.527163071118026,1.7703747961856,5.86396761351929e-05,0.0228469199711348,0.0228469199711348,5166,"tags=44%, list=25%, signal=33%","243864/209588/71939/434341/23960/15061/246727/246728/17329/246730/21354/231655/19039/667373/547253/109032/20821/54123/17858/22169/667823/327959/672511/230073/68810/16169/67775/18854/22035/16362/16161/17127/20846/12428/12370/80861/99899/56417/24110/209086/100038882/108670",0.557332238758646
"GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP","GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP",76,0.548107942846497,1.76396572547028,0.000158152464259633,0.0400521115737519,0.0400521115737519,3435,"tags=39%, list=16%, signal=33%","14945/20304/233079/16162/65963/66058/11472/16963/14938/12772/14939/14190/231507/16010/18439/20190/667373/54215/16835/17069/98314/68743/208628/110695/12774/233406/14229/14744/19362/14422",0.518848077743792
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP",109,0.508597669078725,1.7530980146503,7.82644050786766e-05,0.0283149436945355,0.0283149436945355,7177,"tags=68%, list=34%, signal=45%","14938/16985/231507/108000/15366/11799/23834/68298/19075/17345/16571/233406/14229/26934/12419/19361/17215/14200/19362/18973/20133/209737/67629/12190/21877/17218/12189/20877/16906/71819/21973/12236/67103/53381/73699/12428/12544/22137/16551/16881/106795/14211/52033/18817/108961/56150/20878/66929/16319/12442/229841/76464/17220/52276/54141/17217/66131/235559/19366/66471/12321/72155/72119/12447/17864/54124/69270/215387/14793/12235/12649/16409/12534/20135",0.538434096309916
"NAKAYA_PBMC_FLUAD_IMUVAC_MALE_AGE_14_27YO_CORRELATED_WITH_HAI_RESPONSE_MF59_ADJUVANTED_AND_NON_1DY_GENES_IN_BTM_M75_POSITIVE","NAKAYA_PBMC_FLUAD_IMUVAC_MALE_AGE_14_27YO_CORRELATED_WITH_HAI_RESPONSE_MF59_ADJUVANTED_AND_NON_1DY_GENES_IN_BTM_M75_POSITIVE",16,0.73213895978937,1.74721975856797,0.00425396150217013,0.247658793201054,0.247658793201054,5012,"tags=69%, list=24%, signal=52%","23960/246727/246730/667373/54123/230073/18854/12258/16176/80861/12051",0.407017918923954
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",129,0.495093114980506,1.74652478303067,5.76702353764049e-05,0.0228469199711348,0.0228469199711348,5166,"tags=49%, list=25%, signal=37%","20304/626578/381417/76074/27007/23960/15061/246727/246728/17329/14939/15018/246730/269346/21354/20343/231655/16912/667373/547253/109032/16913/236573/20821/66892/17069/54123/22778/17858/22169/667823/12774/327959/672511/14129/67776/230073/14991/67775/16068/14469/18854/22035/16362/21356/56045/50798/16186/69550/20846/19264/243771/12370/80861/17472/99899/56417/20296/12362/24110/209086/100038882/108670",0.557332238758646
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN","GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN",119,0.498872629909224,1.73920504676998,0.00010200209989154,0.0322900397469155,0.0322900397469155,5166,"tags=43%, list=25%, signal=32%","74519/209588/71939/23960/15061/246727/246728/231507/246730/21354/231655/19039/16912/667373/547253/109032/16913/16835/15366/17069/54123/17858/22169/667823/12774/17345/327959/672511/230073/68810/16169/67775/19362/12190/22035/24061/74735/12267/217845/69550/12258/20846/243771/80861/99899/56417/24110/209086/216799/100038882/108670",0.538434096309916
"GSE14415_NATURAL_TREG_VS_TCONV_DN","GSE14415_NATURAL_TREG_VS_TCONV_DN",99,0.507253146220177,1.73203455653173,0.000345768178418847,0.0699267428577659,0.0699267428577659,7177,"tags=72%, list=34%, signal=47%","12715/14945/14938/15378/16985/14939/74754/108000/15366/11799/68298/16571/233406/14229/12419/19361/17215/66570/17216/20133/209737/67629/21877/17218/12189/16906/71819/21973/12236/67103/15163/12428/12544/22137/16551/16881/14211/52033/18817/108961/17698/56150/20878/13032/66929/12442/229841/76464/17220/52276/54141/17217/235559/19366/12321/226519/72155/72119/17864/54124/12531/69270/58203/215387/109934/14793/12235/12649/16409/12534/20135",0.49849310876659
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_DN","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_DN",17,0.719815665019898,1.73008780076236,0.00478620461243252,0.269356959577452,0.269356959577452,1592,"tags=35%, list=8%, signal=33%","16149/69165/12775/20299/54167/20297",0.407017918923954
"GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN","GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN",68,-0.55836458964212,-1.72241735246468,0.000864233013636132,0.112239492668385,0.112239492668385,4626,"tags=40%, list=22%, signal=31%","67916/74142/21807/11477/11605/13039/18145/52187/24056/20393/27279/11852/73834/13614/20893/83814/11910/13198/18787/12608/18227/14579/326623/19016/26415/20750/16956",0.477270815362862
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",106,0.502872472659689,1.71537354923056,8.78864656640028e-05,0.0296763299058783,0.0296763299058783,5564,"tags=57%, list=27%, signal=42%","12477/13007/108000/18968/15366/70218/11799/23834/26909/68743/17865/19075/17345/208084/16571/17121/14229/26934/17219/19301/19348/12419/19361/18005/17215/19362/18973/66570/20133/20775/11804/67629/21877/20877/71819/21973/12236/12449/67103/67941/72151/12428/12544/22137/16881/70699/106795/14211/52033/18817/108961/56150/20878/16319/17279/66447/12442/229841/76464/54141",0.538434096309916
"HOEK_NEUTROPHIL_2011_2012_TIV_ADULT_7DY_DN","HOEK_NEUTROPHIL_2011_2012_TIV_ADULT_7DY_DN",25,0.655090922711051,1.7115117273283,0.00575972151956878,0.307084099964378,0.307084099964378,5166,"tags=68%, list=25%, signal=51%","626578/76074/23960/15061/246727/246728/246730/18413/236573/17069/22169/67775/12258/17472/99899/100038882/108670",0.407017918923954
"GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP","GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP",63,0.538611995022301,1.70405168789981,0.000907907514421837,0.112384109903535,0.112384109903535,3022,"tags=35%, list=14%, signal=30%","14945/12526/20304/626578/15978/12477/76074/14938/14103/12525/13195/434341/27007/80901/12766/14190/231507/22779/19039/236573/16408/12774",0.477270815362862
"GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP",106,0.497455007563038,1.69689376193672,0.000130634593162801,0.0377195037865146,0.0377195037865146,6868,"tags=67%, list=33%, signal=45%","16963/54167/15001/22779/22637/108000/70218/11799/23834/26909/68298/208084/16571/17121/14229/69716/19348/19361/18005/17215/18973/20133/14056/67629/21877/17218/12189/20877/76707/105988/71819/21973/69071/12236/15270/12449/12351/17992/72107/12704/12428/12544/22137/16881/13167/14211/108961/21917/66929/17279/16647/12442/229841/76464/54141/13813/19366/12282/110033/66197/20873/72155/22376/54124/69270/20460/18187/215387/14793/108907/12235",0.518848077743792
"NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_IFN_SUBSET_UP","NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_IFN_SUBSET_UP",27,0.638158465009135,1.69395034221568,0.0056448331858389,0.304160426449724,0.304160426449724,4985,"tags=59%, list=24%, signal=45%","12265/23960/246727/246728/246730/170744/16912/54123/17858/327959/22035/170743/12524/27056/20846/12362",0.407017918923954
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP","GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP",83,0.50903678955953,1.68967802960652,0.00060745305677262,0.0904926391927447,0.0904926391927447,4669,"tags=47%, list=22%, signal=37%","14945/12526/12481/16428/13482/58208/12501/16185/14938/12502/12525/27007/16818/18646/16842/69454/12766/12516/14939/12500/16994/16182/22637/110168/54215/12487/22256/19075/94214/14462/12503/226251/105445/14256/16206/56068/105727/16881/84544",0.477270815362862
"ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP",81,0.504970570243717,1.67865364026233,0.0022444066954037,0.186359342823275,0.186359342823275,5166,"tags=43%, list=25%, signal=33%","233079/209588/23960/15061/246727/246728/246730/21354/231655/19039/18439/667373/109032/20821/14747/17069/17858/22169/667823/327959/230073/20775/18854/22035/21897/12267/217845/12258/20846/243771/80861/99899/24110/209086/108670",0.431707695803346
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP",97,-0.521915842214894,-1.66947073624208,0.000522044071372103,0.0875736405173408,0.0875736405173408,5686,"tags=52%, list=27%, signal=38%","15200/23849/60533/14825/71844/20439/17254/26410/26556/12702/18712/74747/16153/15370/11605/230738/223775/18145/17873/18793/218952/13197/14630/15205/71839/20393/12795/12575/19252/13537/13614/20893/56708/16175/83430/83814/74155/240672/58801/18227/12985/14579/16193/326623/22113/112407/69065/19225/15937/11535",0.477270815362862
