"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GSE3039_NKT_CELL_VS_B2_BCELL_DN","GSE3039_NKT_CELL_VS_B2_BCELL_DN","33/418","109/4393",0.302752293577982,3.18179623370352,7.47917070548982,5.6193308175149e-10,2.8461910590713e-06,2.8461910590713e-06,"20893/14064/76969/319520/16854/17988/19225/14066/68172/12608/13836/21930/80879/228775/76073/20525/13198/20303/17133/11676/27279/17319/11674/228608/20750/19124/108767/57266/20698/14528/23959/66168/17390",33
"GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","25/418","71/4393",0.352112676056338,3.70055259788395,7.43858231963446,2.29205254817457e-09,5.80462307825211e-06,5.80462307825211e-06,"11910/13654/240672/319520/19225/20620/58801/12608/21928/11504/21930/13655/75751/193740/17133/12609/18787/12795/15937/19124/330122/17872/16193/14284/18227",25
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","29/418","94/4393",0.308510638297872,3.2423139570396,7.12569721716396,4.01611518247484e-09,6.78054113307836e-06,6.78054113307836e-06,"16956/14579/11910/13654/11535/240672/319520/13039/19225/14066/58801/12608/14630/21815/13655/20393/18793/20750/218952/13537/19016/69065/18145/17748/112407/21824/24056/71839/18227",29
"GSE8835_HEALTHY_VS_CLL_CD8_TCELL_DN","GSE8835_HEALTHY_VS_CLL_CD8_TCELL_DN","25/418","75/4393",0.333333333333333,3.50318979266348,7.08979751709051,8.41539536791145e-09,9.66821094380846e-06,9.66821094380846e-06,"13527/232440/12794/13179/17395/21928/74155/14538/22253/228608/18787/64292/70186/106628/17872/18452/50527/20617/20568/112407/22339/67426/13202/17390/17022",25
"GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_DN","GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_DN","26/418","81/4393",0.320987654320988,3.37344202256483,6.99089051869659,1.03826263501142e-08,9.66821094380846e-06,9.66821094380846e-06,"14579/20893/11910/15251/18578/17988/74155/12228/228775/76073/20525/13198/223775/21942/228608/98952/21985/17859/234734/69065/209378/56421/50527/112407/14284/60406",26
"GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","25/418","76/4393",0.328947368421053,3.45709519012843,7.00629619971182,1.14529645928629e-08,9.66821094380846e-06,9.66821094380846e-06,"14579/20893/11910/13654/240672/319520/19225/20620/58801/12608/12142/11504/193740/20393/17133/12609/18787/12795/11852/15937/13537/330122/16193/14284/18227",25
"GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP","GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP","24/418","73/4393",0.328767123287671,3.45520089139411,6.85894514974183,2.29737754780208e-08,1.66231675423107e-05,1.66231675423107e-05,"11910/13197/13654/11535/240672/19225/20620/12608/20339/11504/21930/13655/193740/20393/17133/12609/18787/171180/218952/15937/17872/14284/12156/18227",24
"GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP","GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP","30/418","115/4393",0.260869565217391,2.74162679425837,6.13669258044314,1.54207060228491e-07,9.76323450071634e-05,9.76323450071634e-05,"22113/13874/13197/11535/240672/15205/18578/19225/14066/83814/74155/21930/12228/13655/223775/20303/18793/17133/15116/12795/15937/21985/13537/14528/330122/106628/17872/16193/56708/18227",30
"GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN","GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN","21/418","64/4393",0.328125,3.44845245215311,6.39791710512071,1.84746479529628e-07,0.000103971213201952,0.000103971213201952,"16956/14579/20893/11910/13654/16854/13039/12608/73834/20393/13198/20750/18787/11852/19016/66290/18670/18145/17748/24056/18227",21
"GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN","GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN","27/418","103/4393",0.262135922330097,2.75493566219167,5.84388829361643,5.92713793342031e-07,0.000263702865240298,0.000263702865240298,"11910/13197/11535/22359/228026/17988/71982/12142/228775/107869/67216/72157/20525/11676/228608/13806/15937/14528/102954/71914/69065/18452/50527/18641/17748/112407/14726",27
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP","26/418","97/4393",0.268041237113402,2.81699797760568,5.86757858454172,6.02245907313788e-07,0.000263702865240298,0.000263702865240298,"22113/14579/20893/13197/11535/240672/15205/19225/58801/83814/14630/74155/20393/223775/18793/12795/218952/15937/13537/69065/18145/16193/56708/112407/71839/18227",26
