"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","34/355","106/4393",0.320754716981132,3.96922668083976,9.17448574466582,4.66239714199857e-13,2.36150415242228e-09,2.36150415242228e-09,"18968/67629/15366/19362/19075/19361/20775/18973/71819/20877/18005/17345/19348/26909/23834/108000/12419/11799/17215/26934/13007/20133/68743/21877/70218/17121/17865/66570/16571/208084/21973/17219/12236/11804",34
"HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","20/355","44/4393",0.454545454545455,5.62483994878361,9.14093302945674,2.4390351139618e-11,6.17685642610827e-08,6.17685642610827e-08,"105988/71819/20877/17345/19348/108000/12530/11799/67196/12190/68743/78733/209737/21877/70218/17865/66570/21973/12236/242705",20
"GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP","GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP","33/355","118/4393",0.279661016949153,3.4607066125567,8.03331811974168,7.09652255680532e-11,7.97653912318453e-08,7.97653912318453e-08,"246727/14991/21354/230073/16169/16912/94176/56460/17086/14190/236573/14960/246730/14964/170743/15018/14744/12524/14129/246728/56045/434341/20304/12522/12774/76074/77579/18854/23960/20306/23880/71740/12443",33
"VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_UP","VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_UP","24/355","66/4393",0.363636363636364,4.49987195902689,8.49362067149877,7.53201879019274e-11,7.97653912318453e-08,7.97653912318453e-08,"105988/19361/71819/233406/14190/20877/16184/236573/69716/17345/26909/108000/12530/14939/11799/17329/68743/21877/16571/76074/170439/21973/14938/12236",24
"GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","31/355","106/4393",0.292452830188679,3.61900079723625,8.09233785839375,7.8741748501328e-11,7.97653912318453e-08,7.97653912318453e-08,"67629/16963/105988/19361/18973/71819/17218/20877/18005/69716/19348/26909/23834/108000/15270/11799/17215/20133/12189/68298/21877/70218/17121/76707/16571/208084/21973/22779/12236/14056/69071",31
"GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_UP","GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_UP","30/355","102/4393",0.294117647058824,3.63960231980116,7.9968972317338,1.38396231049824e-10,1.15025236770151e-07,1.15025236770151e-07,"67629/16852/19362/21354/233406/19039/14200/18005/246730/26909/23834/16178/20133/68743/68298/21877/13058/14114/17121/12522/12774/208084/30955/18854/23960/16970/14938/12044/18016/12236",30
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","31/355","109/4393",0.284403669724771,3.51939527070681,7.89672497198251,1.73279229457623e-10,1.15025236770151e-07,1.15025236770151e-07,"67629/15366/231507/19362/19075/19361/18973/71819/233406/16985/17218/20877/14200/17345/23834/108000/12419/11799/17215/26934/12190/20133/209737/12189/68298/21877/16571/21973/14938/16906/12236",31
"GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN","GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN","28/355","91/4393",0.307692307692308,3.80758396533044,8.02380621690505,1.81678557583654e-10,1.15025236770151e-07,1.15025236770151e-07,"12502/21354/94176/17086/16401/22240/16362/19734/18646/14964/15018/16428/14939/16818/13482/434341/20304/17069/12526/12481/18854/80901/14938/13433/16643/68875/18174/16185",28
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP","GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP","36/355","143/4393",0.251748251748252,3.115295971634,7.62442121269959,2.48969831683186e-10,1.40114688608371e-07,1.40114688608371e-07,"18968/231507/16852/19362/19075/19361/20775/12933/71819/233406/16985/14190/20877/18005/17345/19348/80914/23834/15270/12772/14939/11799/67196/20133/68743/12189/27221/21877/16571/21973/13732/319554/14938/16906/14056/69071",36
"GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP","GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP","31/355","113/4393",0.274336283185841,3.39481490714197,7.6463024934872,4.71664605672108e-10,2.38898122772923e-07,2.38898122772923e-07,"67629/19075/94176/14999/19361/233406/17218/20877/17345/26909/80914/23834/15270/12772/12530/76524/11799/67196/68743/209737/16529/70218/16408/208084/170439/21973/14938/17219/12236/14056/21915",31
