"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","70/1357","332/25615",0.210843373493976,3.97992115847324,12.9258956012521,1.3119028021516e-23,8.42766360102186e-20,8.42766360102186e-20,"Hmox1/Pck1/Jund/Nr4a2/Higd1a/Bmp2/Mt3/Chchd2/Penk/Vegfa/Ak4/Egln1/Ptgs2/Cd38/Plod1/Loxl2/Mmp2/Acot2/Car9/Angpt2/Pgf/Aqp3/Gata6/Cldn3/Rgcc/Mgarp/Bnip3l/Clca1/Lcn2/Zfp36l1/Mstn/Scn2a/Slc2a8/Rad21/Aldh3a1/Abcc9/Cpeb2/Bnip3/Cd24a/Angptl4/Flt1/Eno1/Bbc3/Slc2a1/Edn1/Ndrg1/Slc6a4/Nos2/Stc1/Ece1/Alas2/Cited2/Vldlr/Slc2a4/Fos/Epha4/Rwdd3/Mmp14/Fam162a/Pdk1/Kcnj8/Ero1a/Ddit4/Car3/Hilpda/Egln3/Fosl2/Ada/Pparg/Itpr2",70
"GO:0036293","response to decreased oxygen levels","73/1357","369/25615",0.197831978319783,3.73431549348655,12.5131499241807,8.03558816939738e-23,2.58103092001044e-19,2.58103092001044e-19,"Hmox1/Pck1/Jund/Sox2/Nr4a2/Higd1a/Bmp2/Mt3/Chchd2/Penk/Vegfa/Ak4/Egln1/Ptgs2/Cd38/Plod1/Loxl2/Mmp2/Acot2/Car9/Angpt2/Pgf/Aqp3/Gata6/Cldn3/Rgcc/Mgarp/Bnip3l/Clca1/Lcn2/Zfp36l1/Mstn/Scn2a/Slc2a8/Rad21/Aldh3a1/Abcc9/Cpeb2/Bnip3/Cd24a/Angptl4/Flt1/Eno1/Bbc3/Slc2a1/Edn1/Ndrg1/Map1lc3a/Slc6a4/Nos2/Stc1/Ece1/Alas2/Cited2/Vldlr/Slc2a4/Fos/Epha4/Rwdd3/Mmp14/Fam162a/Mapk8/Pdk1/Kcnj8/Ero1a/Ddit4/Car3/Hilpda/Egln3/Fosl2/Ada/Pparg/Itpr2",73
"GO:0070482","response to oxygen levels","76/1357","433/25615",0.175519630484988,3.31314320919158,11.4816020487646,1.96457348987793e-20,4.2068066996586e-17,4.2068066996586e-17,"Hmox1/Pck1/Gucy1a1/Jund/Sox2/Nr4a2/Higd1a/Bmp2/Mt3/Chchd2/Penk/Atp6v1g1/Vegfa/Ak4/Egln1/Ptgs2/Cd38/Plod1/Loxl2/Mmp2/Acot2/Car9/Angpt2/Pgf/Aqp3/Gata6/Cldn3/Rgcc/Mgarp/Bnip3l/Clca1/Lcn2/Zfp36l1/Mstn/Scn2a/Slc2a8/Rad21/Aldh3a1/Abcc9/Cpeb2/Bnip3/Cd24a/Angptl4/Flt1/Eno1/Bbc3/Slc2a1/Edn1/Ndrg1/Map1lc3a/Slc6a4/Nos2/Stc1/Ece1/Alas2/Cited2/Vldlr/Slc2a4/Fos/Epha4/Rwdd3/Mmp14/Fam162a/Mapk8/Pdk1/Kcnj8/Ero1a/Ddit4/Car3/Hilpda/Atp6v1a/Egln3/Fosl2/Ada/Pparg/Itpr2",76
"GO:0006936","muscle contraction","67/1357","386/25615",0.173575129533679,3.27643842520647,10.6586124689504,6.73386513940529e-18,1.08145874138849e-14,1.08145874138849e-14,"Gucy1a1/Agt/Adra2a/Rpl14/Nr4a1/Myl6b/Kcne3/Snta1/Rpl36a/Kcnj2/Rpl10a/Pde4b/Tmod1/Ptgs1/Npnt/Rpl17/Rpl18a/Kcnh2/Ptgs2/Cd38/Rpl34/Tmem38b/Rpl6/Stac2/Nkx2-5/Gata4/Rpl13a/Bdkrb2/Rpl26/Atp2b4/Tbx20/Sulf1/Rpl23a/Ednrb/Nmu/Ddit3/Rpl36/Rpl11/Abcc9/Tbx2/Kcnd3/Rpl9/Cxcr4/Flt1/Eno1/Rpl29/Edn1/Casq2/Tmem38a/Rpl12/Stc1/Nedd4l/F2r/Aldoa/Kcne4/Cacna1g/Sphk1/Gsto1/Arg2/Comp/Kcnj8/Prkd1/Cdk5/Car3/Rpl15/Ccn2/Ada",67
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","68/1357","417/25615",0.163069544364508,3.0781329247582,10.1195091023761,1.07755514664394e-16,1.38444285240813e-13,1.38444285240813e-13,"Cited1/Msx1/Inha/Atf3/Elapor2/Spi1/Acvr2b/Bmp6/Bmp2/Msx2/Sap30/Itga3/Npnt/Tsc22d1/Bmpr1b/Lox/Thbs1/Tnfaip6/Fzd1/Gata6/Gata4/Dand5/Rgcc/Zfp703/Ext1/Lrrc32/Cdkn1c/Ptprk/Adamtsl2/Zic2/Smad6/Mstn/Chrdl1/Tbx20/Sulf1/Sfrp2/Cdh3/Gcnt2/Rasl11b/Itga8/Id1/Htra3/Smad9/Map1lc3a/Hes1/Magi2/Dact2/Cited2/Appl2/Itgb8/Fos/Tmem53/Ccn1/Nrep/Bmp3/Peg10/Dlx3/Mapk8/Lrp2/Comp/Atoh8/Ero1a/Bmp4/Runx2/Tgif1/Pparg/Fst/Hspa1a",68
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","64/1357","379/25615",0.168865435356201,3.18753730777382,10.1476608658126,1.51318217251988e-16,1.62011371271128e-13,1.62011371271128e-13,"Cited1/Msx1/Inha/Atf3/Elapor2/Spi1/Acvr2b/Bmp6/Bmp2/Msx2/Sap30/Itga3/Npnt/Tsc22d1/Bmpr1b/Lox/Thbs1/Tnfaip6/Fzd1/Gata6/Gata4/Dand5/Rgcc/Zfp703/Ext1/Lrrc32/Cdkn1c/Ptprk/Adamtsl2/Zic2/Smad6/Mstn/Chrdl1/Tbx20/Sulf1/Sfrp2/Cdh3/Gcnt2/Rasl11b/Itga8/Id1/Htra3/Smad9/Hes1/Magi2/Dact2/Cited2/Appl2/Itgb8/Fos/Tmem53/Ccn1/Nrep/Peg10/Dlx3/Lrp2/Comp/Ero1a/Bmp4/Runx2/Tgif1/Pparg/Fst/Hspa1a",64
"GO:0071456","cellular response to hypoxia","39/1357","161/25615",0.242236024844721,4.57249504524504,10.7549323714625,7.19599648184369e-16,6.60386877133769e-13,6.60386877133769e-13,"Pck1/Jund/Higd1a/Mt3/Chchd2/Vegfa/Ak4/Egln1/Ptgs2/Aqp3/Gata6/Rgcc/Mgarp/Bnip3l/Clca1/Lcn2/Zfp36l1/Mstn/Scn2a/Cpeb2/Bnip3/Eno1/Bbc3/Edn1/Ndrg1/Stc1/Cited2/Vldlr/Slc2a4/Fos/Epha4/Rwdd3/Fam162a/Pdk1/Ero1a/Car3/Hilpda/Egln3/Pparg",39
"GO:0140236","translation at presynapse","21/1357","47/25615",0.446808510638298,8.4340456890199,12.0649883425728,4.61251708192784e-15,3.70385121678806e-12,3.70385121678806e-12,"Rps27/Rpl14/Rpl36a/Rpl10a/Rps11/Rps24/Rpl17/Rpl34/Rpl6/Rps14/Rps12/Rpl13a/Rpl26/Rpl23a/Rpl36/Rpl22/Rpl9/Rpl29/Rpl12/Rps10/Rpl15",21
"GO:0140241","translation at synapse","21/1357","48/25615",0.4375,8.25833640383198,11.9047137225545,7.79227032131823e-15,5.00575445441483e-12,5.00575445441483e-12,"Rps27/Rpl14/Rpl36a/Rpl10a/Rps11/Rps24/Rpl17/Rpl34/Rpl6/Rps14/Rps12/Rpl13a/Rpl26/Rpl23a/Rpl36/Rpl22/Rpl9/Rpl29/Rpl12/Rps10/Rpl15",21
"GO:0140242","translation at postsynapse","21/1357","48/25615",0.4375,8.25833640383198,11.9047137225545,7.79227032131823e-15,5.00575445441483e-12,5.00575445441483e-12,"Rps27/Rpl14/Rpl36a/Rpl10a/Rps11/Rps24/Rpl17/Rpl34/Rpl6/Rps14/Rps12/Rpl13a/Rpl26/Rpl23a/Rpl36/Rpl22/Rpl9/Rpl29/Rpl12/Rps10/Rpl15",21
