"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022409","positive regulation of cell-cell adhesion","61/1399","338/25615",0.180473372781065,3.30437844445102,10.2505164255876,1.26445026106531e-16,8.12282847708354e-13,8.12282847708354e-13,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Piezo1/Fadd/Ptk2/Il12rb2/Efnb1/Pdcd1lg2/Ccr7/Kif26b/Ptpn22/Sirpb1b/Irf1/Card11/Il2ra/Cd55/Lck/Zfp609/H2-Aa/Gimap3/Ccl2/Sell/Pkp3/Itga4/Mmrn1/Irgm1/Hspd1/Rhoh/H2-Ab1/Tnfrsf14/Abl2/Sash3/H2-DMb1/Cd74/Hsph1/Cdh1/Klhl25/Prkcq/Il7/Smarcd1/Tnfsf4/Cd276/Il18/Sirpb1a/Skap1/H2-DMa/Il6ra/Myo10/H2-Eb1/Ccl5/Lef1/Cd83/Ccr5/Itgal/Igf2/Icosl/Pawr",61
"GO:0051251","positive regulation of lymphocyte activation","60/1399","338/25615",0.177514792899408,3.2502083060174,10.0095525790773,4.99429904765547e-16,1.60416885410694e-12,1.60416885410694e-12,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Fadd/Tacr1/Il12rb2/Efnb1/Pdcd1lg2/Tlr9/Ccr7/Ptpn22/Sirpb1b/Irf1/Card11/Il2ra/Cd55/Lck/Zfp609/H2-Aa/Gimap3/Ccl2/Nod2/Bcl2/Tnfrsf4/Irgm1/Hspd1/Rhoh/H2-Ab1/Tnfrsf14/Abl2/Tbx21/Atad5/Sash3/H2-DMb1/Cd74/Hsph1/Tirap/Klhl25/Prkcq/Il7/Smarcd1/Tnfsf4/Il15ra/Cd276/Slc39a10/Il18/Sirpb1a/H2-DMa/Clec7a/H2-Eb1/Ccl5/Lef1/Cd83/Itgal/Ighm/Igf2/Icosl",60
"GO:0007159","leukocyte cell-cell adhesion","69/1399","438/25615",0.157534246575342,2.88437435741772,9.56089628116823,1.83101577521503e-15,3.92081511332713e-12,3.92081511332713e-12,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Fadd/Ass1/Il12rb2/Efnb1/Pdcd1lg2/Selplg/Ccr7/Ptpn22/Fgl2/Sirpb1b/Irf1/Cbl/Card11/Il2ra/Cd55/Lck/Itgax/Msn/Zfp609/H2-Aa/Loxl3/Gimap3/Ccl2/Sell/Itga4/Irgm1/Hspd1/Rhoh/H2-Ab1/Zdhhc21/Tnfrsf14/Fut9/Abl2/Tbx21/Sash3/Cxcl12/H2-DMb1/Slfn1/Cd74/Stk10/Hsph1/Klhl25/Csk/Prkcq/Il7/Smarcd1/Tnfsf4/Cd276/Il18/Sirpb1a/Skap1/H2-DMa/Wnk1/H2-Eb1/Laptm5/Ccl5/Lef1/Cd83/Itgal/Igf2/Gpr35/Icosl/Pawr",69
"GO:1903037","regulation of leukocyte cell-cell adhesion","64/1399","393/25615",0.162849872773537,2.98170085138967,9.51570492319588,3.90093680050295e-15,5.14083273425682e-12,5.14083273425682e-12,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Fadd/Ass1/Il12rb2/Efnb1/Pdcd1lg2/Ccr7/Ptpn22/Fgl2/Sirpb1b/Irf1/Cbl/Card11/Il2ra/Cd55/Lck/Zfp609/H2-Aa/Loxl3/Gimap3/Ccl2/Sell/Itga4/Irgm1/Hspd1/Rhoh/H2-Ab1/Zdhhc21/Tnfrsf14/Fut9/Abl2/Tbx21/Sash3/Cxcl12/H2-DMb1/Slfn1/Cd74/Hsph1/Klhl25/Csk/Prkcq/Il7/Smarcd1/Tnfsf4/Cd276/Il18/Sirpb1a/Skap1/H2-DMa/Wnk1/H2-Eb1/Laptm5/Ccl5/Lef1/Cd83/Itgal/Igf2/Icosl/Pawr",64
"GO:0035458","cellular response to interferon-beta","25/1399","67/25615",0.373134328358209,6.83190551886742,11.4885649263001,4.00127080810774e-15,5.14083273425682e-12,5.14083273425682e-12,"Oas1g/Ifi203/Gbp2/Ifi47/Ifi209/Traf3ip3/Oas1b/Iigp1c/Oas1a/Irf1/Gbp7/F830016B08Rik/Tgtp1/Oas1c/Tgtp2/Igtp/Mndal/Irgm1/Gm4841/9930111J21Rik1/Gbp6/Stat1/Sting1/Iigp1/Irgm2",25
"GO:0002696","positive regulation of leukocyte activation","62/1399","376/25615",0.164893617021277,3.01912080057184,9.48017838415926,5.8289913777364e-15,6.24090676842977e-12,6.24090676842977e-12,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Fadd/Tacr1/Il12rb2/Efnb1/Pdcd1lg2/Tlr9/Ccr7/Ptpn22/Sirpb1b/Irf1/Card11/Il2ra/Cd55/Lck/Zfp609/H2-Aa/Gimap3/Ccl2/Nod2/Bcl2/Il1rl1/Tnfrsf4/Irgm1/Hspd1/Rhoh/H2-Ab1/Tnfrsf14/Abl2/Tbx21/Atad5/Sash3/H2-DMb1/Cd74/Hsph1/Klrk1/Tirap/Klhl25/Prkcq/Il7/Smarcd1/Tnfsf4/Il15ra/Cd276/Slc39a10/Il18/Sirpb1a/H2-DMa/Clec7a/H2-Eb1/Ccl5/Lef1/Cd83/Itgal/Ighm/Igf2/Icosl",62
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","52/1399","281/25615",0.185053380782918,3.38823613206179,9.67553297288024,7.87625351841992e-15,7.22815037176137e-12,7.22815037176137e-12,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Fadd/Il12rb2/Efnb1/Pdcd1lg2/Ccr7/Ptpn22/Sirpb1b/Irf1/Card11/Il2ra/Cd55/Lck/Zfp609/H2-Aa/Gimap3/Ccl2/Sell/Itga4/Irgm1/Hspd1/Rhoh/H2-Ab1/Tnfrsf14/Abl2/Sash3/H2-DMb1/Cd74/Hsph1/Klhl25/Prkcq/Il7/Smarcd1/Tnfsf4/Cd276/Il18/Sirpb1a/Skap1/H2-DMa/H2-Eb1/Ccl5/Lef1/Cd83/Itgal/Igf2/Icosl/Pawr",52
"GO:0002833","positive regulation of response to biotic stimulus","72/1399","485/25615",0.148453608247423,2.71811234829002,9.18168818995077,1.03107454480713e-14,7.37505285660123e-12,7.37505285660123e-12,"Rigi/Oas1g/Xcl1/Nlrp3/Ubqln1/Map3k20/Ifi203/Gbp2/Fadd/P2rx7/Ifi209/Rnf144a/Slc15a3/Trim30a/Sh2d1b1/Inava/Tlr9/Traf3ip3/Oas1b/Zcchc3/Ptpn22/Rab7b/Tlr8/Oas1a/Parp1/Oas3/Scimp/Irf1/Gbp7/Sh2d1a/Oas1c/Klrc1/Gzmc/Traf3/Adcy7/Prf1/Trim56/Lrrc14/Oasl1/Letmd1/Gsdmd/Il18rap/Igtp/Gimap3/Klrd1/Nod2/Mndal/Tspan6/Mapkapk3/Plcg2/Irgm1/Hspd1/Cgas/Cul5/Tril/Cd74/Klrk1/Tirap/Gzmb/Parp9/Sting1/Nono/Clec7a/Ipo5/Nlrc5/Klre1/Klri2/Irgm2/Masp1/Dhx9/Mapk11/Zdhhc3",72
"GO:0050867","positive regulation of cell activation","64/1399","401/25615",0.159600997506234,2.9222155476213,9.325019606099,1.03828696903038e-14,7.37505285660123e-12,7.37505285660123e-12,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Fadd/Tacr1/Il12rb2/Efnb1/Pdcd1lg2/Tlr9/Ccr7/Ptpn22/Sirpb1b/Irf1/Card11/Il2ra/Cd55/Lck/Zfp609/H2-Aa/Gimap3/Ccl2/Nod2/Bcl2/Il1rl1/Tnfrsf4/Irgm1/Hspd1/Rhoh/H2-Ab1/Tnfrsf14/Pear1/Abl2/Tbx21/Atad5/Sash3/H2-DMb1/Cd74/Hsph1/Klrk1/Tirap/Klhl25/Prkcq/Il7/Smarcd1/Tnfsf4/Il15ra/Cd276/Slc39a10/Il18/Sirpb1a/H2-DMa/Clec7a/H2-Eb1/Ccl5/Lef1/Cd83/Itgal/Ighm/Igf2/Smo/Icosl",64
"GO:0045089","positive regulation of innate immune response","69/1399","454/25615",0.151982378854626,2.78272239768494,9.21179054010177,1.14804683321937e-14,7.37505285660123e-12,7.37505285660123e-12,"Rigi/Oas1g/Xcl1/Nlrp3/Ubqln1/Map3k20/Ifi203/Gbp2/Fadd/P2rx7/Ifi209/Rnf144a/Slc15a3/Trim30a/Sh2d1b1/Inava/Tlr9/Traf3ip3/Oas1b/Zcchc3/Ptpn22/Rab7b/Tlr8/Oas1a/Parp1/Oas3/Scimp/Irf1/Gbp7/Sh2d1a/Oas1c/Klrc1/Traf3/Adcy7/Trim56/Lrrc14/Oasl1/Letmd1/Gsdmd/Il18rap/Igtp/Gimap3/Klrd1/Nod2/Mndal/Tspan6/Mapkapk3/Plcg2/Irgm1/Hspd1/Cgas/Cul5/Tril/Cd74/Klrk1/Tirap/Parp9/Sting1/Nono/Clec7a/Ipo5/Nlrc5/Klre1/Klri2/Irgm2/Masp1/Dhx9/Mapk11/Zdhhc3",69
"GO:0050870","positive regulation of T cell activation","48/1399","253/25615",0.189723320158103,3.47374041876326,9.50427496976387,3.19353238932946e-14,1.8650229153684e-11,1.8650229153684e-11,"Ephb4/Gli3/Xcl1/Nlrp3/Itpkb/Rasal3/Fadd/Il12rb2/Efnb1/Pdcd1lg2/Ccr7/Ptpn22/Sirpb1b/Irf1/Card11/Il2ra/Cd55/Lck/Zfp609/H2-Aa/Gimap3/Ccl2/Irgm1/Hspd1/Rhoh/H2-Ab1/Tnfrsf14/Abl2/Sash3/H2-DMb1/Cd74/Hsph1/Klhl25/Prkcq/Il7/Smarcd1/Tnfsf4/Cd276/Il18/Sirpb1a/H2-DMa/H2-Eb1/Ccl5/Lef1/Cd83/Itgal/Igf2/Icosl",48
"GO:0002699","positive regulation of immune effector process","52/1399","302/25615",0.172185430463576,3.15263030830915,9.04476876802951,1.58568932258672e-13,8.07988621436745e-11,8.07988621436745e-11,"Rigi/Arid5a/Xcl1/Nlrp3/Fadd/P2rx7/H2-T24/Fzd5/Sh2d1b1/Inava/H2-Q7/Tlr9/Ccr7/Ptpn22/Scimp/Irf1/Fgr/Cd55/Sh2d1a/Klrc1/Gata2/H2-D1/Il18rap/Gimap3/Klrd1/Ccl2/Nod2/Sell/Dennd1b/Tnfrsf4/Plcg2/Hspd1/H2-Q6/Tnfrsf14/Myo18a/H2-Q4/Tbx21/Atad5/Sash3/H2-DMb1/Cd74/Klrk1/Tnfsf4/Il18/Raet1a/Clec7a/Laptm5/Klre1/Klri2/Ighm/Masp1/H2-K1",52
"GO:0035456","response to interferon-beta","25/1399","77/25615",0.324675324675325,5.94464506187165,10.4443976774571,1.63509527999341e-13,8.07988621436745e-11,8.07988621436745e-11,"Oas1g/Ifi203/Gbp2/Ifi47/Ifi209/Traf3ip3/Oas1b/Iigp1c/Oas1a/Irf1/Gbp7/F830016B08Rik/Tgtp1/Oas1c/Tgtp2/Igtp/Mndal/Irgm1/Gm4841/9930111J21Rik1/Gbp6/Stat1/Sting1/Iigp1/Irgm2",25
"GO:0002218","activation of innate immune response","59/1399","377/25615",0.156498673740053,2.86541352955787,8.77030476623162,2.74450024206955e-13,1.25933353964677e-10,1.25933353964677e-10,"Rigi/Oas1g/Nlrp3/Ubqln1/Map3k20/Ifi203/Gbp2/P2rx7/Ifi209/Rnf144a/Slc15a3/Trim30a/Inava/Tlr9/Traf3ip3/Oas1b/Zcchc3/Ptpn22/Rab7b/Tlr8/Oas1a/Parp1/Oas3/Scimp/Irf1/Gbp7/Oas1c/Klrc1/Traf3/Adcy7/Trim56/Lrrc14/Oasl1/Letmd1/Gsdmd/Igtp/Klrd1/Nod2/Mndal/Tspan6/Mapkapk3/Plcg2/Irgm1/Hspd1/Cgas/Cul5/Tril/Klrk1/Tirap/Sting1/Nono/Clec7a/Ipo5/Klre1/Klri2/Irgm2/Masp1/Mapk11/Zdhhc3",59
"GO:0002697","regulation of immune effector process","66/1399","461/25615",0.143167028199566,2.62131767500492,8.44328419401329,7.48048792905958e-13,3.20364363041858e-10,3.20364363041858e-10,"Rigi/Arid5a/Xcl1/Nlrp3/Fadd/P2rx7/H2-T24/Fzd5/Sh2d1b1/Inava/H2-Q7/Tlr9/Serping1/Ccr7/Ptpn22/Tlr8/Fgl2/Scimp/Irf1/Fgr/Cd55/Klrb1b/Sh2d1a/Klrc1/Gata2/Loxl3/H2-D1/Il18rap/Gimap3/Klrd1/Ccl2/Nod2/Sell/Dennd1b/Tnfrsf4/Pkp3/Plcg2/Hspd1/Serpinb9b/Cgas/H2-Q6/Tnfrsf14/Myo18a/H2-Q4/Tbx21/Atad5/Sash3/H2-DMb1/Tril/Cd74/Klrk1/Tap1/Tnfsf4/Serpinb9/Il18/Raet1a/Clec7a/Laptm5/Klre1/Clec2d/Slamf8/Klri2/Ighm/Igf2/Masp1/H2-K1",66
