"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","62/475","200/4393",0.31,2.86701052631579,9.40903508301232,1.12480961616449e-15,5.62404808082245e-14,5.62404808082245e-14,"16322/11910/15368/18534/17859/12575/17750/60406/13179/22339/11639/14066/16948/15937/18787/18654/12177/18452/14042/18712/74155/12577/21985/13198/12870/14538/11535/11676/57875/12767/13806/20525/17988/20855/83814/56421/17319/11674/17684/22359/20198/14281/74185/12452/16007/108767/22695/14433/19252/70186/17872/228026/19017/16193/50527/74747/13636/14219/13008/17748/14284/54683",62
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","54/475","199/4393",0.271356783919598,2.50962179317641,7.5879810321307,3.5314478412092e-11,8.828619603023e-10,8.828619603023e-10,"22113/11910/13654/15370/18227/12575/12156/14579/18578/20620/21807/26410/22339/15936/19225/14066/16598/319520/20310/21930/16477/15937/18787/56708/12609/321019/20229/20393/12608/12228/11852/18788/13614/15205/16601/240672/15902/14281/16007/21923/108767/22695/14584/20698/19252/17873/330122/17872/16193/14825/13636/14528/21815/14284",54
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","44/475","206/4393",0.213592233009709,1.97539090444558,4.99236794382769,4.6101562089008e-06,7.68359368150133e-05,7.68359368150133e-05,"17701/24053/102857/16773/17022/14579/20649/13179/333883/22339/19736/18822/94352/20750/17390/16948/21825/13612/54725/20310/13601/67305/18787/20563/14264/17294/76477/20229/27279/11852/15902/21789/16007/21923/12814/17387/17873/330122/12845/16790/16193/14825/18542/14219",44
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","40/475","199/4393",0.201005025125628,1.8589791060566,4.31758284970148,5.66362283170614e-05,0.000707952853963268,0.000707952853963268,"11910/15368/12575/65972/12156/22337/20620/12554/21807/29858/105501/71839/15937/12028/50708/20042/319162/13849/12192/20229/13198/54217/232440/228775/12795/216049/170742/17988/14062/99681/20198/14281/20698/70186/216456/17872/74747/21987/67426/11486",40
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","33/475","158/4393",0.208860759493671,1.93163224516989,4.15233230853908,0.000118937854423207,0.00118937854423207,0.00118937854423207,"17701/11910/15368/14172/102857/15370/12156/66168/20887/16511/16477/18091/11828/18671/13849/12577/227120/19266/12228/12215/11852/13559/14590/11674/12349/99681/14281/22117/17387/16193/14825/14528/15512",33
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","39/475","203/4393",0.192118226600985,1.7767902514908,3.9453953540457,0.000194868105715499,0.00162390088096249,0.00162390088096249,"15368/110351/11529/17750/27273/29858/18563/14854/74114/18787/50997/11522/11431/13849/233016/11670/223455/14538/22361/105349/50500/330817/15902/18104/12349/59083/14873/11847/12499/14085/71093/22235/11846/14528/13202/74134/22436/11669/72269",39
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","36/475","194/4393",0.185567010309278,1.71620184481823,3.55229576192245,0.000684847495688239,0.00475823821430689,0.00475823821430689,"102857/101488143/110351/17859/14651/71648/383295/14934/11519/18563/11828/12177/11433/18452/13857/14664/233016/20533/54484/65107/67216/14630/12215/74645/20525/269587/66935/11656/12349/104776/225849/53415/19746/28199/20617/19824",36
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","31/475","160/4393",0.19375,1.79188157894737,3.55256352228336,0.000761318114289103,0.00475823821430689,0.00475823821430689,"27061/11910/15368/12575/58801/12156/17022/13179/16854/12494/107869/17390/15937/12028/223453/12177/13874/15234/15507/20229/13198/12228/27279/11852/14062/20230/17873/225849/16193/66593/14528",31
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","36/475","200/4393",0.18,1.66471578947368,3.34991907931657,0.00122372090584122,0.00679844947689566,0.00679844947689566,"67680/16956/66092/11861/11450/69574/28080/20887/110826/57264/103172/16922/13850/217430/66916/13171/12580/57875/223775/11674/29864/21881/74185/26457/12452/22117/20280/11770/209378/27362/14085/66205/13202/11364/11669/19016",36
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","10/475","36/4393",0.277777777777778,2.56900584795322,3.29099928090608,0.00375363442118132,0.0187681721059066,0.0187681721059066,"17701/16956/21824/17022/22339/20750/20855/16976/20198/16523",10
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","33/475","200/4393",0.165,1.52598947368421,2.65079030965936,0.00791409893649031,0.0359731769840469,0.0359731769840469,"17859/56773/20682/60406/13179/22339/18563/11639/18822/107869/15937/80879/12739/18452/14042/57875/12767/13806/78330/50786/20855/56421/17319/11674/17684/22359/76969/11876/18648/70186/50527/74747/112407",33
