"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP","GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP",106,0.576281968027858,2.05714365490457,3.18881183281568e-07,0.000807566596660571,0.000807566596660571,5039,"tags=51%, list=24%, signal=39%","667373/76074/231655/22169/246727/246728/547253/626578/13482/319554/236573/434341/14469/19039/246730/23960/20821/230073/99899/58185/68487/672511/63913/24110/327959/243771/54123/18854/207565/209086/16362/142688/67775/22035/110052/17472/80285/211329/142980/58203/20846/100038882/231507/15945/20775/56045/13058/67138/26362/11603/15958/19106/12044/71586",0.674962860011025
"GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN",112,0.558682958051928,2.01960563386742,1.36131727959598e-06,0.00114917867019227,0.00114917867019227,5857,"tags=59%, list=28%, signal=43%","16162/14945/12265/16184/17858/80901/227659/76074/246727/12525/27007/16182/626578/74735/236573/434341/16818/18566/16408/99899/84544/66892/24110/12501/327959/243771/54167/14938/67776/109032/15959/12258/50931/209086/16362/142688/22035/21838/17472/381417/18550/20970/17329/13011/12500/16169/16068/100038882/21356/16913/15945/13139/21817/75345/15958/16912/229445/269346/66395/18519/217069/23943/192657/74481/18796/20848",0.643551836150722
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",129,0.551048340772808,2.0092360232356,1.54142906113703e-07,0.000780733819465906,0.000780733819465906,5500,"tags=59%, list=26%, signal=44%","20304/17858/667373/76074/231655/22169/246727/14939/246728/27007/547253/626578/236573/14469/246730/15018/23960/20821/230073/99899/58185/672511/66892/24110/21354/327959/243771/54123/67776/20343/109032/18854/17069/15959/56417/209086/16362/67775/22035/17472/80285/20296/80861/56173/381417/74153/17329/12370/12774/142980/16068/58203/20846/100038882/21356/69550/16186/55932/16913/15945/56045/67138/75345/22778/15958/19106/56336/16912/14129/71586/19264/98999/72776/269346/20847/217069",0.690132458796796
"GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN","GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN",32,-0.716111191579681,-2.00766287481466,7.23371201315103e-05,0.0228992195916312,0.0228992195916312,1892,"tags=41%, list=9%, signal=37%","26415/18667/53883/17701/16424/171180/15007/59020/20510/20511/19017/11537/104158",0.538434096309916
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",98,0.572659041335736,1.99402580651783,7.44632715701003e-07,0.00104551074756417,0.00104551074756417,5039,"tags=58%, list=24%, signal=44%","17879/17858/16178/667373/76074/22169/16643/14939/246728/547253/626578/236573/434341/14469/246730/23960/20821/230073/99899/58185/672511/24110/21354/327959/243771/109032/18854/15959/56417/209086/16362/142688/67775/22035/17472/80285/80861/74153/17329/407800/142980/16068/58203/20846/100038882/21356/55932/16913/15945/22029/56045/67138/70640/11603/15958/16912/71586",0.659444398037935
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN","GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",96,0.57542872722105,1.99250935943886,1.0502793627103e-06,0.00106393299442554,0.00106393299442554,5500,"tags=53%, list=26%, signal=39%","243864/17858/667373/231655/22169/246727/246728/547253/434341/19039/246730/23960/20821/230073/99899/58185/672511/24110/21354/327959/54123/17127/109032/18854/15959/71939/56417/209086/16362/67775/22035/80285/80861/74153/17329/12370/16169/68810/58203/20846/100038882/69046/15945/67138/15958/19106/71586/98999/19766/20847/217069",0.643551836150722
"GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP","GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP",103,0.566544336309646,1.99234836069178,8.25674825322151e-07,0.00104551074756417,0.00104551074756417,5039,"tags=52%, list=24%, signal=40%","16665/12715/17858/667373/76074/231655/22169/246727/246728/547253/626578/13482/236573/434341/14469/21908/19039/246730/15018/23960/20821/99899/58185/68487/672511/24110/327959/243771/54123/18854/15959/209086/12286/67775/22035/17472/80285/80861/210106/142980/320007/58203/20846/100038882/69550/231507/15945/56045/67138/14744/11603/15958/19106/71586",0.659444398037935
"NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN","NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN",29,0.706500023387797,1.98707462920396,0.000185701764776584,0.0470289719296698,0.0470289719296698,4216,"tags=72%, list=20%, signal=58%","14945/20304/16842/16428/14939/16818/16197/84544/58208/12501/54167/22637/14938/12481/13813/12503/11796/12487/12502/12500/14462",0.518848077743792
"GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_UP","GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_UP",111,0.549461004046788,1.95113076702813,2.3799164063871e-06,0.00172203951405009,0.00172203951405009,5802,"tags=58%, list=28%, signal=42%","667977/17858/76074/16428/231655/22169/246727/246728/547253/626578/236573/14469/19039/246730/15018/23960/20821/99899/58185/68487/24110/21354/243771/54123/14964/20343/18854/15959/56417/16362/142688/67775/22035/17472/80285/80861/19362/12370/58203/20846/100038882/21356/69550/55932/16913/15945/56045/14990/11603/15958/19106/66307/16912/71586/98999/268996/19766/20847/217069/12366/66615/14991/74043/67895",0.627256739718528
"GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP","GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP",114,0.529007061038016,1.88145055373716,2.94559734145338e-06,0.00186493131680767,0.00186493131680767,5042,"tags=51%, list=24%, signal=39%","54426/15566/17167/20304/66106/14962/667373/76074/231655/22169/16643/246727/14939/21936/27007/16182/15476/626578/236573/434341/14469/16870/58185/672511/24110/54123/21990/14103/224674/14114/20343/17069/15959/209086/67775/22035/17472/381417/20295/17082/17329/12502/16169/142980/11815/100038882/15945/16534/12257/13732/56045/20850/18187/67138/15958/14129/71586/72843",0.627256739718528
