"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","33/475","76/4393",0.434210526315789,4.01576177285319,9.23333427001111,1.96863775085079e-13,9.97115020805925e-10,9.97115020805925e-10,"11910/13654/15370/18227/58801/17750/14579/20620/50778/15936/12142/19225/319520/20310/16477/15937/18787/12609/20393/12608/11852/12795/13614/240672/14281/22695/19252/330122/16193/14825/11504/14284/193740",33
"GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","28/475","71/4393",0.394366197183099,3.64726464047443,7.82942569137652,2.24902536895646e-10,5.69565674688223e-07,5.69565674688223e-07,"11910/13654/15370/18227/58801/20620/15936/19225/319520/20310/21930/15937/18787/12609/12608/75751/12795/13614/240672/14281/22695/330122/17872/16193/14825/11504/14284/193740",28
"GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP","GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP","28/475","73/4393",0.383561643835616,3.54733958183129,7.6410344071916,4.84487827914214e-10,8.17976949461832e-07,8.17976949461832e-07,"11910/13654/15370/18227/12156/20339/20620/50778/15936/19225/21930/16477/15937/18787/12609/20393/12608/11535/13614/240672/14281/22695/19252/17872/171180/11504/14284/193740",28
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP","31/475","97/4393",0.319587628865979,2.95568095496473,6.78105851462207,1.02370670874235e-08,1.296268619945e-05,1.296268619945e-05,"22113/15370/18227/12575/58801/14579/50778/26410/19225/71839/15937/56708/18712/74155/20393/14630/11535/69065/223775/12795/13614/15205/240672/83814/15902/19252/17873/16193/14825/74747/112407",31
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","30/475","94/4393",0.319148936170213,2.95162374020157,6.65919988943219,1.85036722302329e-08,1.87442199692259e-05,1.87442199692259e-05,"16956/11910/13654/15370/18227/12575/58801/21824/14579/50778/19225/14066/319520/20750/71839/20393/14630/12608/11535/69065/13614/240672/19252/17873/14825/74747/21815/17748/112407/19016",30
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP","29/475","98/4393",0.295918367346939,2.73677765843179,6.05370748836053,2.06256349351237e-07,0.000147371959805655,0.000147371959805655,"11910/13654/15370/18227/14579/20620/19225/21825/16477/15937/18787/12609/20393/12608/12263/11535/12795/13614/15901/240672/20503/14281/22695/19252/17872/14825/11504/14219/14284",29
"GSE3039_NKT_CELL_VS_B2_BCELL_DN","GSE3039_NKT_CELL_VS_B2_BCELL_DN","31/475","109/4393",0.284403669724771,2.63028488652825,6.00064279655343,2.10895266677791e-07,0.000147371959805655,0.000147371959805655,"12575/66168/16854/19225/14066/319520/20750/17390/20310/21930/80879/68172/12192/76073/13198/12608/11676/27279/228775/20525/13614/17988/17319/11674/76969/14064/108767/20698/11846/14528/57266",31
"GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP","GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP","32/475","115/4393",0.278260869565217,2.57347368421053,5.95297102423413,2.32769136909228e-07,0.000147371959805655,0.000147371959805655,"22113/15370/18227/18578/50778/26410/19225/14066/20310/21930/15937/56708/74155/13874/21985/12228/11535/223775/12795/13614/15205/240672/83814/15902/19252/17873/330122/17872/16193/14825/74747/14528",32
"GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP","GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP","25/475","79/4393",0.316455696202532,2.92671552298468,6.01640171446363,3.53313012638118e-07,0.000191113470216887,0.000191113470216887,"13654/15370/17022/14579/21807/26410/15936/16477/432530/98952/12192/321019/56772/223775/12795/240672/27275/14281/108767/22695/19252/17872/66205/21815/14581",25
"GSE7852_LN_VS_FAT_TCONV_DN","GSE7852_LN_VS_FAT_TCONV_DN","29/475","101/4393",0.287128712871287,2.65548723293382,5.86006483177773,4.21264625795355e-07,0.000191113470216887,0.000191113470216887,"11910/15370/11835/18227/12575/20195/60406/17022/13179/69590/21807/12142/11537/20310/17395/15937/18671/381290/12228/12767/14199/16601/240672/74318/11656/20198/17872/16523/20617",29
