"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_UP","HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_UP","80/403","410/4393",0.195121951219512,2.12697452036555,7.61549457960716,6.4776824504935e-12,3.28094616117496e-08,3.28094616117496e-08,"20411/109032/15366/230073/226419/23960/17967/17858/14469/14086/18439/66892/71946/16367/16162/12544/58205/74735/15018/68810/12258/227659/246730/246727/16362/19039/16184/547253/210106/20429/213498/667373/223864/211329/231655/236573/12021/20296/257632/68487/209086/22169/12286/20970/13405/16323/109624/11799/20315/50908/17865/243771/13123/18606/21354/12550/17069/12190/80285/104027/16196/672511/77891/16169/20846/246728/16010/16529/13733/12522/12774/243864/16398/76074/20821/18854/20306/19094/12183/55991",80
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","36/403","130/4393",0.276923076923077,3.01866768467265,7.42465163864865,5.03854377133772e-10,1.27601121009128e-06,1.27601121009128e-06,"109032/230073/23960/17858/14469/66892/74153/15018/246730/246727/16362/547253/667373/231655/236573/67776/20296/209086/20343/12370/22169/243771/27007/21354/17069/14939/80285/672511/20846/246728/56417/20304/12774/76074/20821/18854",36
"GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP","GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP","33/403","118/4393",0.279661016949153,3.04851326912563,7.16818105857275,2.09937246264078e-09,3.54444050775852e-06,3.54444050775852e-06,"230073/23960/12633/77579/17086/74153/15018/246730/14190/246727/547253/94176/70827/211329/14960/236573/14964/20296/209086/56460/243771/21354/80285/16169/246728/434341/20304/12522/12774/12443/76074/18854/20306",33
"GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP","GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP","25/403","75/4393",0.333333333333333,3.63358147229115,7.31026821938099,3.92941449044237e-09,3.90474256935531e-06,3.90474256935531e-06,"109032/230073/23960/15018/54608/246730/246727/19039/547253/667373/231655/14747/22169/22163/18383/243771/12550/17069/80285/672511/20846/56417/74488/20821/18854",25
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN","GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN","33/403","121/4393",0.272727272727273,2.97293029551094,6.99336258673301,4.244964841546e-09,3.90474256935531e-06,3.90474256935531e-06,"109032/15366/230073/23960/216799/17858/19362/74735/68810/12258/24061/246730/246727/19039/547253/667373/211329/231655/209086/22169/17345/243771/21354/17069/12190/80285/672511/16169/20846/246728/16835/56417/12774",33
"VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_8MO_UP","VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_8MO_UP","17/403","37/4393",0.459459459459459,5.0084501374824,7.78091467802401,4.72866580470166e-09,3.90474256935531e-06,3.90474256935531e-06,"19361/16162/12544/233406/12258/14190/69716/108000/236573/108961/12704/18005/26909/50908/209737/16398/76074",17
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP","31/403","110/4393",0.281818181818182,3.07202797202797,6.9938314283983,5.39648528834889e-09,3.90474256935531e-06,3.90474256935531e-06,"109032/230073/23960/17858/14469/74153/15018/246730/14190/246727/16362/547253/667373/231655/236573/209086/22169/243771/27007/21354/17069/14939/80285/672511/20846/246728/56417/76074/20821/18854/20306",31
"VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_UP","VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_UP","23/403","66/4393",0.348484848484849,3.7987442664862,7.28012737671849,6.33128507444485e-09,4.0084948627579e-06,4.0084948627579e-06,"105988/16551/21973/19361/16162/233406/12258/14190/16184/69716/108000/236573/108961/68743/12704/12530/26909/17345/16571/11799/14939/76074/12649",23
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","29/403","100/4393",0.29,3.1612158808933,6.94728230361765,8.37200304689561e-09,4.7115772702807e-06,4.7115772702807e-06,"109032/230073/23960/17858/14469/74153/246730/16362/547253/667373/16178/236573/16643/209086/22169/142688/243771/21354/14939/80285/672511/20846/246728/56417/434341/407800/76074/20821/18854",29
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP","31/403","113/4393",0.274336283185841,2.99046970728387,6.81192959554866,1.09892367879778e-08,5.10439421228455e-06,5.10439421228455e-06,"15366/16551/17858/21973/19361/19362/12544/68275/233406/21936/14190/667373/12419/108000/22137/12021/17345/16571/13007/20133/12190/672511/14056/63913/20846/209737/12189/68298/12649/22779/17219",31
