"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",129,0.571568626087214,1.74006098446261,0.000117739681482257,0.5111999213695,0.5111999213695,3971,"tags=47%, list=19%, signal=38%","56173/667373/17858/22169/15959/58185/15945/99899/231655/14469/17329/381417/24110/71586/15958/100038882/58203/67138/547253/60533/55932/17472/74481/246727/14528/67775/80861/80285/20821/246730/246728/236573/54123/672511/20296/21939/16153/20847/230073/243771/15018/16186/56417/71982/11605/75345/22035/21354/14939/72776/209086/23960/327959/21857/27007/20846/142980/13178/69550/16168",0.538434096309916
"PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_6HR_TOP_30_DEG_UP","PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_6HR_TOP_30_DEG_UP",25,0.737814931563541,1.72210336758586,0.00405441533362483,0.684520455493659,0.684520455493659,3253,"tags=56%, list=16%, signal=47%","20701/15945/231655/17329/20704/16176/16193/17381/17082/12642/20339/20296/14939/14293",0.407017918923954
"GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_UP","GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_UP",111,0.572965204365671,1.7104609692161,0.000308486996633961,0.5111999213695,0.5111999213695,5270,"tags=50%, list=25%, signal=37%","17858/14990/22169/15959/58185/15945/99899/231655/14469/24110/71586/15958/16156/100038882/58203/547253/60533/55932/17472/234311/246727/67775/80861/80285/20821/246730/246728/236573/54123/68487/20847/243771/15018/56417/22035/21354/229003/23960/78937/20846/69550/19650/19039/19106/67895/98999/11603/14964/19766/16391/67245/70110/12010/16362/76074",0.49849310876659
"GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_UNSTIM_MACROPHAGE_UP","GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_UNSTIM_MACROPHAGE_UP",57,-0.647981437639873,-1.68528964542336,0.000727507379488188,0.620480528475424,0.620480528475424,1579,"tags=16%, list=8%, signal=15%","20716/54634/66106/54420/20717/12391/11450/18534/16625",0.477270815362862
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP",109,0.56326450389149,1.67757805224317,0.000382649012275634,0.5111999213695,0.5111999213695,3971,"tags=59%, list=19%, signal=48%","20957/667373/17858/12630/14460/22169/15959/58185/15945/99899/231655/14469/17329/24110/12515/71586/15958/100038882/58203/67138/12642/20306/547253/60533/55932/17472/74481/246727/14528/67775/80861/80285/20821/246730/246728/236573/22271/54123/672511/21939/16153/20847/71529/230073/243771/15018/56417/71982/22035/21354/14939/229003/14293/72776/20191/209086/23960/327959/27007/20846/142980/13178/21924/16168",0.49849310876659
"GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN","GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN",30,-0.72412124160403,-1.67093314657108,0.00154325952928263,0.675326936928012,0.675326936928012,1579,"tags=27%, list=8%, signal=25%","20716/18405/56188/67747/22139/54420/20717/16625",0.45505986738723
"GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN","GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN",55,-0.636202409862148,-1.6570658587047,0.00233662961132219,0.675326936928012,0.675326936928012,156,"tags=5%, list=1%, signal=5%","19013/11522/16846",0.431707695803346
"GSE34156_UNTREATED_VS_6H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN","GSE34156_UNTREATED_VS_6H_NOD2_AND_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN",80,0.573395159266573,1.65006837779943,0.00158016192007297,0.675326936928012,0.675326936928012,3774,"tags=38%, list=18%, signal=31%","667373/17858/15959/58185/15945/99899/231655/74735/24110/71586/15958/58203/234311/246727/67775/20821/246728/54123/672511/20847/230073/243771/56417/22035/21354/209086/327959/20846/142980/109019",0.45505986738723
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",98,0.563383073472033,1.64638416540609,0.000980028475380729,0.620480528475424,0.620480528475424,3875,"tags=50%, list=19%, signal=41%","667373/17858/22169/15959/58185/15945/99899/14469/17329/24110/71586/15958/100038882/58203/67138/12642/547253/60533/55932/17472/74481/67775/80861/17768/80285/20821/246730/246728/236573/672511/21939/20847/230073/243771/56417/22035/21354/14939/229003/14293/209086/16452/23960/327959/20846/142980/13178/22029/70640",0.45505986738723
"HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP",63,0.591758241375409,1.6458995203445,0.00466722484488019,0.695279230568181,0.695279230568181,3411,"tags=49%, list=16%, signal=41%","667373/17858/22169/15959/58185/99899/231655/74735/24110/71586/15958/100038882/58203/67138/547253/60533/55932/17472/234311/74481/246727/14528/67775/80861/246730/246728/236573/243771/209086/23960/327959",0.407017918923954
