"gene","group","cor","p.value","n","p.adj"
"SCG2","KO_MTK",1,0,3,0
"AR","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"ERG","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"CDH1","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"AURKA","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"PTEN","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"TTF1","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"CHGA","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"CHGB","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"AMACR","KO_MTK",0,1,3,1
"MKI67","KO_MTK",0,1,3,1
"BRCA1","KO_MTK",0,1,3,1
"SYP","KO_MTK",0,1,3,1
"VIM","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"BRCA2","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"MYC","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"RB1","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"INSM1","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"ACP3","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"TFRC","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"NCAM1","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"TMPRSS2","KO_MTK",NA,NA,3,NA
