"gene","group","cor","p.value","n","p.adj"
"CDH1","KO_control",1,0,3,0
"AURKA","KO_control",1,0,3,0
"BRCA1","KO_control",1,0,3,0
"BRCA2","KO_control",1,0,3,0
"PTEN","KO_control",1,0,3,0
"INSM1","KO_control",1,0,3,0
"SYP","KO_control",1,0,3,0
"CHGB","KO_control",0.866025403784439,0.333333333333333,3,0.538461538461538
"AR","KO_control",0.5,0.666666666666667,3,0.666666666666667
"RB1","KO_control",0.5,0.666666666666667,3,0.666666666666667
"TFRC","KO_control",0.5,0.666666666666667,3,0.666666666666667
"ERG","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"MKI67","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"TTF1","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"CHGA","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"NCAM1","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"SCG2","KO_control",-0.866025403784439,0.333333333333333,3,0.538461538461538
"AMACR","KO_control",-1,0,3,0
"VIM","KO_control",-1,0,3,0
"MYC","KO_control",-1,0,3,0
"ACP3","KO_control",-1,0,3,0
"TMPRSS2","KO_control",NA,NA,3,NA
