"gene","group","cor","p.value","n","p.adj"
"AMACR","WT_MTK",1,0,3,0
"BRCA2","WT_MTK",1,0,3,0
"CHGA","WT_MTK",1,0,3,0
"SYP","WT_MTK",1,0,3,0
"SCG2","WT_MTK",0.866025403784439,0.333333333333333,3,0.636363636363636
"AURKA","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"BRCA1","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"TTF1","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"INSM1","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"CHGB","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"ERG","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"MYC","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"PTEN","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"ACP3","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"TFRC","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"AR","WT_MTK",-1,0,3,0
"MKI67","WT_MTK",-1,0,3,0
"CDH1","WT_MTK",-1,0,3,0
"VIM","WT_MTK",-1,0,3,0
"RB1","WT_MTK",-1,0,3,0
"NCAM1","WT_MTK",-1,0,3,0
"TMPRSS2","WT_MTK",NA,NA,3,NA
