"gene","group","cor","p.value","n","p.adj"
"MKI67","WT_control",1,0,3,0
"TTF1","WT_control",1,0,3,0
"AMACR","WT_control",0.5,0.666666666666667,3,0.666666666666667
"ERG","WT_control",0.5,0.666666666666667,3,0.666666666666667
"VIM","WT_control",0.5,0.666666666666667,3,0.666666666666667
"AURKA","WT_control",0.5,0.666666666666667,3,0.666666666666667
"BRCA1","WT_control",0.5,0.666666666666667,3,0.666666666666667
"INSM1","WT_control",0.5,0.666666666666667,3,0.666666666666667
"ACP3","WT_control",0.5,0.666666666666667,3,0.666666666666667
"CHGA","WT_control",0.5,0.666666666666667,3,0.666666666666667
"NCAM1","WT_control",0.5,0.666666666666667,3,0.666666666666667
"SYP","WT_control",0.5,0.666666666666667,3,0.666666666666667
"AR","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"BRCA2","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"MYC","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"RB1","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"CHGB","WT_control",-0.866025403784439,0.333333333333333,3,0.666666666666667
"SCG2","WT_control",-0.866025403784439,0.333333333333333,3,0.666666666666667
"TMPRSS2","WT_control",-1,0,3,0
"CDH1","WT_control",-1,0,3,0
"PTEN","WT_control",-1,0,3,0
"TFRC","WT_control",-1,0,3,0
