"gene","group","cor","p.value","n","p.adj"
"MKI67","WT_control",1,0,3,0
"TTF1","WT_control",1,0,3,0
"AMACR","WT_control",0.5,0.666666666666667,3,0.666666666666667
"ERG","WT_control",0.5,0.666666666666667,3,0.666666666666667
"VIM","WT_control",0.5,0.666666666666667,3,0.666666666666667
"AURKA","WT_control",0.5,0.666666666666667,3,0.666666666666667
"BRCA1","WT_control",0.5,0.666666666666667,3,0.666666666666667
"INSM1","WT_control",0.5,0.666666666666667,3,0.666666666666667
"ACP3","WT_control",0.5,0.666666666666667,3,0.666666666666667
"CHGA","WT_control",0.5,0.666666666666667,3,0.666666666666667
"NCAM1","WT_control",0.5,0.666666666666667,3,0.666666666666667
"SYP","WT_control",0.5,0.666666666666667,3,0.666666666666667
"AR","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"BRCA2","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"MYC","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"RB1","WT_control",-0.5,0.666666666666667,3,0.666666666666667
"CHGB","WT_control",-0.866025403784439,0.333333333333333,3,0.666666666666667
"SCG2","WT_control",-0.866025403784439,0.333333333333333,3,0.666666666666667
"TMPRSS2","WT_control",-1,0,3,0
"CDH1","WT_control",-1,0,3,0
"PTEN","WT_control",-1,0,3,0
"TFRC","WT_control",-1,0,3,0
"AMACR","WT_MTK",1,0,3,0
"BRCA2","WT_MTK",1,0,3,0
"CHGA","WT_MTK",1,0,3,0
"SYP","WT_MTK",1,0,3,0
"SCG2","WT_MTK",0.866025403784439,0.333333333333333,3,0.636363636363636
"AURKA","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"BRCA1","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"TTF1","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"INSM1","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"CHGB","WT_MTK",0.5,0.666666666666667,3,0.666666666666667
"ERG","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"MYC","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"PTEN","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"ACP3","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"TFRC","WT_MTK",-0.5,0.666666666666667,3,0.666666666666667
"AR","WT_MTK",-1,0,3,0
"MKI67","WT_MTK",-1,0,3,0
"CDH1","WT_MTK",-1,0,3,0
"VIM","WT_MTK",-1,0,3,0
"RB1","WT_MTK",-1,0,3,0
"NCAM1","WT_MTK",-1,0,3,0
"TMPRSS2","WT_MTK",NA,NA,3,NA
"CDH1","KO_control",1,0,3,0
"AURKA","KO_control",1,0,3,0
"BRCA1","KO_control",1,0,3,0
"BRCA2","KO_control",1,0,3,0
"PTEN","KO_control",1,0,3,0
"INSM1","KO_control",1,0,3,0
"SYP","KO_control",1,0,3,0
"CHGB","KO_control",0.866025403784439,0.333333333333333,3,0.538461538461538
"AR","KO_control",0.5,0.666666666666667,3,0.666666666666667
"RB1","KO_control",0.5,0.666666666666667,3,0.666666666666667
"TFRC","KO_control",0.5,0.666666666666667,3,0.666666666666667
"ERG","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"MKI67","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"TTF1","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"CHGA","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"NCAM1","KO_control",-0.5,0.666666666666667,3,0.666666666666667
"SCG2","KO_control",-0.866025403784439,0.333333333333333,3,0.538461538461538
"AMACR","KO_control",-1,0,3,0
"VIM","KO_control",-1,0,3,0
"MYC","KO_control",-1,0,3,0
"ACP3","KO_control",-1,0,3,0
"TMPRSS2","KO_control",NA,NA,3,NA
"SCG2","KO_MTK",1,0,3,0
"AR","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"ERG","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"CDH1","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"AURKA","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"PTEN","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"TTF1","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"CHGA","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"CHGB","KO_MTK",0.866025403784439,0.333333333333333,3,0.411764705882353
"AMACR","KO_MTK",0,1,3,1
"MKI67","KO_MTK",0,1,3,1
"BRCA1","KO_MTK",0,1,3,1
"SYP","KO_MTK",0,1,3,1
"VIM","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"BRCA2","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"MYC","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"RB1","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"INSM1","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"ACP3","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"TFRC","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"NCAM1","KO_MTK",-0.866025403784439,0.333333333333333,3,0.411764705882353
"TMPRSS2","KO_MTK",NA,NA,3,NA
