"sample","sample_short","sample_short10","wtko","condition","group","gene","expr"
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","AR",8.85438964327557
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","AR",8.88886305531202
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","AR",8.81921853793969
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","AR",8.79366619679212
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","AR",8.89966225557631
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","AR",9.02376218046316
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","AR",10.4446575057894
"WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1","WT2869M","WT2869M_MK","WT","MTK","WT_MTK","AR",9.88230628521803
"WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1","WT2881C","WT2881C_MK","WT","control","WT_control","AR",9.92017091564459
"WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1","WT2882C","WT2882C_MK","WT","control","WT_control","AR",9.85163728019086
"WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1","WT2883M","WT2883M_MK","WT","MTK","WT_MTK","AR",9.86083207922141
"WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1","WT2884M","WT2884M_MK","WT","MTK","WT_MTK","AR",10.144222610246
"KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1","KO2869M","KO2869M_MK","KO","MTK","KO_MTK","TMPRSS2",6.01639165771519
"KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1","KO2881C","KO2881C_MK","KO","control","KO_control","TMPRSS2",6.01639165771519
"KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1","KO2882C","KO2882C_MK","KO","control","KO_control","TMPRSS2",6.01639165771519
"KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1","KO2883M","KO2883M_MK","KO","MTK","KO_MTK","TMPRSS2",6.01639165771519
"KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1","KO2884M","KO2884M_MK","KO","MTK","KO_MTK","TMPRSS2",6.01639165771519
"KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1","KO2868C","KO2868C_MK","KO","control","KO_control","TMPRSS2",6.01639165771519
"WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1","WT2868C","WT2868C_MK","WT","control","WT_control","TMPRSS2",6.34472617000763
