"gene","group","wtko","condition","n","mean_expr","median_expr","sd_expr"
"ACP3","WT_control","WT","control",3,9.13832302132766,9.14658781062145,0.121953145081123
"ACP3","WT_MTK","WT","MTK",3,9.54441443505969,9.53470402964394,0.279711678327108
"ACP3","KO_control","KO","control",3,10.4447130605285,10.4556875629136,0.0338563685343518
"ACP3","KO_MTK","KO","MTK",3,10.2188494435901,10.2492323280638,0.497505146946422
"AMACR","WT_control","WT","control",3,8.97854401648567,9.11016146494741,0.280483616197725
"AMACR","WT_MTK","WT","MTK",3,8.98966360358267,9.09448522553425,0.188308669182927
"AMACR","KO_control","KO","control",3,9.37769665297779,9.41872656933243,0.158292780382895
"AMACR","KO_MTK","KO","MTK",3,9.19750132416818,9.18887309021271,0.115425795334547
"AR","WT_control","WT","control",3,10.0721552338749,9.92017091564459,0.324411269430005
"AR","WT_MTK","WT","MTK",3,9.96245365822846,9.88230628521803,0.157782284553586
"AR","KO_control","KO","control",3,8.91061459123829,8.88886305531202,0.103992174756354
"AR","KO_MTK","KO","MTK",3,8.84923936521467,8.85438964327557,0.0531853846702627
"AURKA","WT_control","WT","control",3,9.50312084022663,9.4963320593735,0.176254318217832
"AURKA","WT_MTK","WT","MTK",3,9.66295502476424,9.71038358203659,0.15038004811931
"AURKA","KO_control","KO","control",3,9.79652556810593,9.80286557739175,0.11259212027233
"AURKA","KO_MTK","KO","MTK",3,10.042779741072,10.1268292200607,0.155765055816255
"BRCA1","WT_control","WT","control",3,8.80169442948575,8.78997009099586,0.0657242327429062
"BRCA1","WT_MTK","WT","MTK",3,8.83210499525389,8.77032125371812,0.232016065004386
"BRCA1","KO_control","KO","control",3,9.36365481338365,9.28255836887812,0.168162050534282
"BRCA1","KO_MTK","KO","MTK",3,9.33525446496027,9.31775280187663,0.0601403381791785
"BRCA2","WT_control","WT","control",3,8.61436139009968,8.60690409196589,0.125312763940603
"BRCA2","WT_MTK","WT","MTK",3,8.64034869694349,8.63890979353042,0.0811113809694975
"BRCA2","KO_control","KO","control",3,9.18811714213534,9.10714801220896,0.21605525952041
"BRCA2","KO_MTK","KO","MTK",3,9.11204593875037,9.26557556818227,0.276415982199673
"CDH1","WT_control","WT","control",3,6.85845783498884,6.81225068326524,0.192617189520677
"CDH1","WT_MTK","WT","MTK",3,6.84640838472078,6.89142466693442,0.198654725865373
"CDH1","KO_control","KO","control",3,7.31446465565306,7.38344353514487,0.138527844356893
"CDH1","KO_MTK","KO","MTK",3,7.34904713066071,7.38183294394066,0.112520960538972
"CHGA","WT_control","WT","control",3,7.88231065846369,7.67588369050225,0.532515238045728
"CHGA","WT_MTK","WT","MTK",3,7.31983604626541,7.33177993033057,0.0258302587948764
"CHGA","KO_control","KO","control",3,7.62226041801367,7.5805659292177,0.335776443735701
"CHGA","KO_MTK","KO","MTK",3,7.30559717199613,7.29389780879168,0.380577785085705
"CHGB","WT_control","WT","control",3,6.10335580490481,6.01639165771519,0.150626321369312
"CHGB","WT_MTK","WT","MTK",3,6.18688351824506,6.20614314251999,0.161724452258801
"CHGB","KO_control","KO","control",3,6.07792646436191,6.01639165771519,0.106581411546046
