"gene","test","p.value"
"AR","Kruskal-Wallis",0.0378118050742007
"TMPRSS2","Kruskal-Wallis",0.0878870230026219
"AMACR","Kruskal-Wallis",0.0823792035988433
"ERG","Kruskal-Wallis",0.222816144975751
"MKI67","Kruskal-Wallis",0.0216228376077033
"CDH1","Kruskal-Wallis",0.0396023552075642
"VIM","Kruskal-Wallis",0.0861896408190078
"AURKA","Kruskal-Wallis",0.0572299515995628
"BRCA1","Kruskal-Wallis",0.0378118050742007
"BRCA2","Kruskal-Wallis",0.0396023552075642
"MYC","Kruskal-Wallis",0.157378302415871
"PTEN","Kruskal-Wallis",0.160872233582567
"RB1","Kruskal-Wallis",0.028616776874436
"TTF1","Kruskal-Wallis",0.862906402033363
"INSM1","Kruskal-Wallis",0.11121258189645
"ACP3","Kruskal-Wallis",0.0306860747693644
"CHGA","Kruskal-Wallis",0.258708640638428
"CHGB","Kruskal-Wallis",0.59293959879701
"TFRC","Kruskal-Wallis",0.0901694868596589
"NCAM1","Kruskal-Wallis",0.0273138285248151
"SCG2","Kruskal-Wallis",0.980516266712143
"SYP","Kruskal-Wallis",0.862906402033361
"FOLH1","Kruskal-Wallis",0.0885964694694957
