"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0055001","muscle cell development",235,-0.798603124735115,-2.19838205916729,1e-10,4.28133333333333e-08,4.28133333333333e-08,964,"tags=24%, list=5%, signal=23%","12845/18091/242702/17877/225638/23828/65256/234072/72330/59006/21916/19013/237611/64082/93677/17927/22437/68760/11472/278507/109272/433766/381339/228003/78321/12335/66797/12391/74376/14463/116904/17929/53311/18741/18175/22138/17878/20190/50874/17906/17996/12292/320502/59011/68802/24131/21393/11459/17930/12372/21957/11464/11474/233199/238564/17306",NA
"GO:0055002","striated muscle cell development",201,-0.801345016206812,-2.19822880345255,1e-10,4.28133333333333e-08,4.28133333333333e-08,928,"tags=26%, list=5%, signal=25%","18091/242702/17877/225638/23828/65256/234072/72330/59006/21916/19013/237611/64082/93677/17927/22437/68760/11472/109272/433766/381339/228003/78321/12335/66797/12391/74376/14463/116904/17929/53311/18741/18175/22138/17878/20190/50874/17906/17996/12292/320502/59011/68802/24131/21393/11459/17930/12372/21957/11464/11474/233199/238564",NA
"GO:0030239","myofibril assembly",78,-0.860642992197131,-2.15128362071793,1e-10,4.28133333333333e-08,4.28133333333333e-08,450,"tags=40%, list=2%, signal=39%","234072/59006/21916/93677/22437/68760/11472/109272/228003/78321/12335/12391/17929/53311/18175/22138/50874/17906/17996/320502/59011/68802/24131/21393/11459/17930/12372/21957/11464/233199/238564",NA
"GO:0031032","actomyosin structure organization",219,-0.777062315605131,-2.131063380997,1e-10,4.28133333333333e-08,4.28133333333333e-08,1323,"tags=19%, list=7%, signal=18%","17888/385354/213435/77569/22417/18091/242702/71960/21333/234072/59006/21916/93677/22437/68760/11472/109272/228003/78321/12335/12391/74376/17929/53311/18175/22138/50874/17906/17996/320502/59011/68802/24131/21393/11459/17930/12372/21957/11464/233199/238564/17926",NA
"GO:0010927","cellular component assembly involved in morphogenesis",146,-0.780074633058302,-2.10037577510672,1e-10,4.28133333333333e-08,4.28133333333333e-08,1323,"tags=31%, list=7%, signal=29%","17888/11470/53604/213435/432552/12805/72948/18091/242702/269116/16147/76426/67652/234072/214105/59006/21916/93677/22437/68760/11472/109272/228003/78321/12335/12391/17929/53311/18175/22138/50874/17906/17996/320502/59011/68802/24131/21393/11459/17930/12372/21957/11464/233199/238564",NA
"GO:0032989","cellular anatomical entity morphogenesis",146,-0.780074633058302,-2.10037577510672,1e-10,4.28133333333333e-08,4.28133333333333e-08,1323,"tags=31%, list=7%, signal=29%","17888/11470/53604/213435/432552/12805/72948/18091/242702/269116/16147/76426/67652/234072/214105/59006/21916/93677/22437/68760/11472/109272/228003/78321/12335/12391/17929/53311/18175/22138/50874/17906/17996/320502/59011/68802/24131/21393/11459/17930/12372/21957/11464/233199/238564",NA
"GO:0051146","striated muscle cell differentiation",388,-0.741361455240224,-2.09041755597947,1e-10,4.28133333333333e-08,4.28133333333333e-08,1168,"tags=19%, list=6%, signal=18%","213435/244810/17329/15945/11606/18091/242702/20661/17877/225638/23828/65256/234072/72330/78977/59006/21916/330721/19013/66139/56642/16002/237611/64082/93677/22408/17927/22437/227721/68760/23956/11472/434246/109272/433766/381339/228003/78321/12335/66797/12391/74376/14463/116904/17929/53311/18741/18175/22138/17878/666794/20190/228785/12180/50874/66211/17906/17996/20679/12292/320502/59011/68802/24131/21393/11459/17930/12372/21957/11464/11474/233199/238564/226438",NA
"GO:0045214","sarcomere organization",55,-0.873843770801394,-2.07718618388023,5.07521193508158e-09,1.81072283594966e-06,1.81072283594966e-06,334,"tags=40%, list=2%, signal=39%","59006/93677/22437/68760/11472/109272/78321/12335/12391/17929/53311/22138/17996/59011/68802/24131/21393/17930/12372/21957/233199/238564",0.761460801445585
"GO:0014888","striated muscle adaptation",54,-0.868743232312459,-2.05865834830109,7.63860000203235e-09,2.58184680068694e-06,2.58184680068694e-06,527,"tags=28%, list=3%, signal=27%","65256/100705/59006/66139/69642/17927/17700/14463/76469/12292/59011/21393/11474/17926/140781",0.747739663149885
"GO:0050881","musculoskeletal movement",66,-0.831906996804888,-2.04130171739562,5.44125989893119e-08,1.455990461289e-05,1.455990461289e-05,1938,"tags=42%, list=10%, signal=38%","381077/17885/21955/68312/243277/21925/50769/17883/12845/71960/74492/12350/237611/233335/11448/110893/17189/12391/228785/71912/21393/21953/12372/21957/110880/11937/11474/140781",0.719512826338911
