"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN","GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN",58,-0.849745944119864,-2.05900906132167,3.77054729321321e-08,0.000190978220401249,0.000190978220401249,913,"tags=24%, list=5%, signal=23%","22370/21743/140765/13346/12299/53311/14555/59011/21953/19309/11464/11474/19293/12715",0.719512826338911
"GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP","GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP",93,-0.726168365460429,-1.88999483540235,1.04944101056926e-05,0.0144925241606763,0.0144925241606763,1093,"tags=19%, list=5%, signal=18%","54698/16191/81879/104158/22370/20927/16002/17879/11522/56012/20528/15464/11459/12372/21957/11464/17901/17884",0.593325476396405
"GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN","GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN",82,-0.752806607911814,-1.88075972668809,6.39359694352928e-06,0.0144925241606763,0.0144925241606763,1186,"tags=24%, list=6%, signal=23%","69253/18642/104158/109979/20191/19013/26549/20927/16002/108079/12862/20391/17189/24053/66106/67252/24131/19309/11464/17901",0.610526878385931
"GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP","GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP",59,-0.762822658306524,-1.86636499017088,9.68233070023756e-05,0.0613012562458791,0.0613012562458791,287,"tags=5%, list=1%, signal=5%","20927/17907/20183",0.538434096309916
"GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN","GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN",36,-0.813812836815253,-1.86578987404272,0.000115784940939891,0.0651611917622832,0.0651611917622832,184,"tags=8%, list=1%, signal=8%","53318/21393/20183",0.538434096309916
"GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN","GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN",38,-0.797271236758945,-1.82105459345201,0.000442400456659683,0.16005416521295,0.16005416521295,164,"tags=13%, list=1%, signal=13%","18125/56012/21393/12372/19293",0.49849310876659
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN","GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN",97,-0.70147513008022,-1.81627427921228,4.95025008832848e-05,0.0417883611623063,0.0417883611623063,4676,"tags=59%, list=23%, signal=45%","24110/19039/17874/667823/18854/231712/12799/17454/54123/234311/672511/98999/80285/19106/100038882/71586/209086/80861/20847/231655/67775/109032/74153/20821/21924/108670/327959/21354/246730/15958/20354/15959/60533/16362/319236/22169/67138/12703/16161/246728/99899/547253/20846/23960/434341/246727/58203/209588/16169/22035/667373/74481/17329/15945/71939/15061/140781",0.557332238758646
"GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_UP",128,-0.686656158831189,-1.80580756963023,1.14452313213633e-05,0.0144925241606763,0.0144925241606763,4577,"tags=67%, list=23%, signal=52%","21899/667823/18854/17096/231712/12774/14129/667034/54123/71982/20296/19186/672511/69550/98999/80285/19106/12363/19264/15900/12263/16822/100038882/16168/71586/209086/80861/20847/231655/64685/67775/109032/74153/20821/108670/75345/12934/327959/16186/19188/22778/16913/269346/17069/21354/246730/15958/15959/12362/20343/21356/60533/16362/319236/16912/22169/19171/67138/56045/56791/142980/246728/99899/547253/236573/20846/76074/23960/246727/21939/58203/55932/381417/27007/22035/16068/14939/667373/14469/20304/74481/17472/17329/15945/626578/15061",0.593325476396405
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP","GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP",108,-0.688665229997865,-1.80181457500503,2.31359663626194e-05,0.0234367339253335,0.0234367339253335,4572,"tags=72%, list=23%, signal=56%","667823/18854/56720/12010/20306/14129/667034/54123/71982/19186/672511/98999/80285/19106/12263/100038882/16168/71586/209086/80861/20847/231655/64685/67775/107607/109032/74153/20821/21924/327959/16913/17069/21354/246730/15958/15959/12515/60533/16362/12642/319236/16912/22169/19171/67138/56045/56791/142980/246728/99899/547253/236573/20846/76074/11815/23960/246727/21939/58203/209588/14190/55932/27007/22035/15930/16068/14939/667373/14293/14469/74481/17472/17329/15945/626578/13206/20191/15061",0.575610261071129
"GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN","GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN",26,-0.813434913565401,-1.78774062615236,0.00307694526515415,0.354198358363767,0.354198358363767,185,"tags=12%, list=1%, signal=11%","12561/53318/17897",0.431707695803346
