"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000041378",347.541485795847,0.798148759893444,0.145245064080832,5.49518680682503,3.90297040204108e-08,0.000216419708793178,"Cldn5","12741","claudin 5","Up_in_ISA"
"ENSMUSG00000114500",357.894498741726,0.712661255726216,0.136371425229889,5.22588404810498,1.73324957136544e-07,0.000640724591548089,"Gm8983","668118","cyclin I pseudogene","Up_in_ISA"
"ENSMUSG00000037035",522.923934129297,0.862920964533506,0.166895048299398,5.17044078495059,2.33542469796124e-07,0.000647496497509752,"Inhbb","16324","inhibin beta-B","Up_in_ISA"
"ENSMUSG00000041046",142.45994034217,1.08771887242409,0.213526677251939,5.09406546490066,3.50465660781706e-07,0.000745292827862105,"Ramp3","56089","receptor (calcitonin) activity modifying protein 3","Up_in_ISA"
"ENSMUSG00000022579",451.903618747376,0.647905047157126,0.132044396921304,4.90672124121456,9.26115111915577e-07,0.00146723094159196,"Gpihbp1","68453","GPI-anchored HDL-binding protein 1","Up_in_ISA"
"ENSMUSG00000118642",6990.95926442172,0.750563005347576,0.170302147694625,4.40724333490753,1.04694548372204e-05,0.0129006949049749,NA,NA,NA,"Up_in_ISA"
"ENSMUSG00000074903",349.938044852749,0.607160421868623,0.139946135122015,4.33852940161053,1.43439297747039e-05,0.0144612892001333,NA,NA,NA,"Up_in_ISA"
"ENSMUSG00000057262",315.665838428106,0.902495320680235,0.213322814994845,4.23065540693358,2.33011395801259e-05,0.0215341364952997,NA,NA,NA,"Up_in_ISA"
"ENSMUSG00000028645",10097.0955463065,0.80376975425283,0.192781016986188,4.16934077233557,3.05481948278067e-05,0.0260599600492597,"Slc2a1","20525","solute carrier family 2 (facilitated glucose transporter), member 1","Up_in_ISA"
"ENSMUSG00000034684",436.258091065622,0.703419539893216,0.170831088724571,4.11763189677572,3.82785458901974e-05,0.0283006049281526,"Sema3f","20350","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","Up_in_ISA"
"ENSMUSG00000090137",415.884556899788,0.584567729706544,0.143643771426305,4.06956545280105,4.71009062573245e-05,0.032646815649608,"Uba52","22186","ubiquitin A-52 residue ribosomal protein fusion product 1","Up_in_ISA"
"ENSMUSG00000020108",4333.1917910546,0.917053962169451,0.233962410968354,3.91966366893652,8.86726265599627e-05,0.0486283945022565,"Ddit4","74747","DNA-damage-inducible transcript 4","Up_in_ISA"
"ENSMUSG00000021831",5810.43008600725,0.812456492736665,0.208030951108448,3.90545968476164,9.40464371569416e-05,0.0486283945022565,"Ero1a","50527","endoplasmic reticulum oxidoreductase 1 alpha","Up_in_ISA"
"ENSMUSG00000036390",2444.069208973,0.606997093778402,0.156099294479077,3.88853194887286,0.000100852396172399,0.0486283945022565,"Gadd45a","13197","growth arrest and DNA-damage-inducible 45 alpha","Up_in_ISA"
