"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000021250",2192.06416589166,1.65023815136268,0.198122264372186,8.32939274438431,8.12580761268252e-17,1.89315065760277e-12,"Fos","14281","Fos proto-oncogene, AP-1 transcription factor subunit","Up_in_ISA"
"ENSMUSG00000021831",4853.31763569756,1.0517633306439,0.166150640876717,6.33017919819103,2.44876637449942e-10,2.85256794965437e-06,"Ero1a","50527","endoplasmic reticulum oxidoreductase 1 alpha","Up_in_ISA"
"ENSMUSG00000042379",567.418543086113,1.27845570319773,0.227550994865111,5.61832614247888,1.92816279018973e-08,0.000149741122286134,"Esm1","71690","endothelial cell-specific molecule 1","Up_in_ISA"
"ENSMUSG00000022226",164.037932470811,2.79633976575607,0.558606657497315,5.00591915299455,5.55960899563486e-07,0.00323819425950752,"Mcpt2","17225","mast cell protease 2","Up_in_ISA"
"ENSMUSG00000076472",52.3511374651041,-5.31667941218698,1.09042274357605,-4.87579651424994,1.08370276926211e-06,0.00504962142365373,"Trbv15","100124679","T cell receptor beta, variable 15","Down_in_ISA"
"ENSMUSG00000003545",345.03281375275,1.58031724274634,0.340379547993657,4.64280904085279,3.43703988812564e-06,0.0133460258855919,"Fosb","14282","Fos B proto-oncogene, AP-1 transcription factor subunit","Up_in_ISA"
"ENSMUSG00000036390",2180.74803927676,0.807513211286829,0.176173573811239,4.58362280912821,4.56988277586137e-06,0.0152098755588597,"Gadd45a","13197","growth arrest and DNA-damage-inducible 45 alpha","Up_in_ISA"
"ENSMUSG00000037035",466.844062679364,1.03494087121654,0.229921760781363,4.50127411907168,6.75473242337509e-06,0.0196714694999741,"Inhbb","16324","inhibin beta-B","Up_in_ISA"
"ENSMUSG00000005125",4314.25647569592,0.940699126763835,0.214322461960746,4.38917656207275,1.13780665075622e-05,0.0294540214992426,"Ndrg1","17988","N-myc downstream regulated gene 1","Up_in_ISA"
"ENSMUSG00000030790",721.26227010187,1.48099215475054,0.349529419352495,4.23710300979552,2.26422273363536e-05,0.0496072258148878,"Adm","11535","adrenomedullin","Up_in_ISA"
"ENSMUSG00000031465",633.437721278249,1.18912917888155,0.281151627189506,4.22949420840462,2.34217307907874e-05,0.0496072258148878,"Angpt2","11601","angiopoietin 2","Up_in_ISA"
