"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000021250",2192.06416589166,1.65023815136268,0.198122264372186,8.32939274438431,8.12580761268252e-17,1.89315065760277e-12,"Fos","14281","Fos proto-oncogene, AP-1 transcription factor subunit","Up_in_ISA"
"ENSMUSG00000021831",4853.31763569756,1.0517633306439,0.166150640876717,6.33017919819103,2.44876637449942e-10,2.85256794965437e-06,"Ero1a","50527","endoplasmic reticulum oxidoreductase 1 alpha","Up_in_ISA"
"ENSMUSG00000042379",567.418543086113,1.27845570319773,0.227550994865111,5.61832614247888,1.92816279018973e-08,0.000149741122286134,"Esm1","71690","endothelial cell-specific molecule 1","Up_in_ISA"
"ENSMUSG00000022226",164.037932470811,2.79633976575607,0.558606657497315,5.00591915299455,5.55960899563486e-07,0.00323819425950752,"Mcpt2","17225","mast cell protease 2","Up_in_ISA"
"ENSMUSG00000076472",52.3511374651041,-5.31667941218698,1.09042274357605,-4.87579651424994,1.08370276926211e-06,0.00504962142365373,"Trbv15","100124679","T cell receptor beta, variable 15","Down_in_ISA"
"ENSMUSG00000003545",345.03281375275,1.58031724274634,0.340379547993657,4.64280904085279,3.43703988812564e-06,0.0133460258855919,"Fosb","14282","Fos B proto-oncogene, AP-1 transcription factor subunit","Up_in_ISA"
"ENSMUSG00000036390",2180.74803927676,0.807513211286829,0.176173573811239,4.58362280912821,4.56988277586137e-06,0.0152098755588597,"Gadd45a","13197","growth arrest and DNA-damage-inducible 45 alpha","Up_in_ISA"
"ENSMUSG00000037035",466.844062679364,1.03494087121654,0.229921760781363,4.50127411907168,6.75473242337509e-06,0.0196714694999741,"Inhbb","16324","inhibin beta-B","Up_in_ISA"
"ENSMUSG00000005125",4314.25647569592,0.940699126763835,0.214322461960746,4.38917656207275,1.13780665075622e-05,0.0294540214992426,"Ndrg1","17988","N-myc downstream regulated gene 1","Up_in_ISA"
"ENSMUSG00000030790",721.26227010187,1.48099215475054,0.349529419352495,4.23710300979552,2.26422273363536e-05,0.0496072258148878,"Adm","11535","adrenomedullin","Up_in_ISA"
"ENSMUSG00000031465",633.437721278249,1.18912917888155,0.281151627189506,4.22949420840462,2.34217307907874e-05,0.0496072258148878,"Angpt2","11601","angiopoietin 2","Up_in_ISA"
"ENSMUSG00000079298",368.242112373385,-1.83500217824119,0.453503826443157,-4.04627716734643,5.20386139257087e-05,0.101032968936763,"Klrb1b","80782","killer cell lectin-like receptor subfamily B member 1B","Not_significant"
"ENSMUSG00000035042",1179.61999906054,-1.41325187599863,0.360149406987053,-3.92407108988918,8.70650249328768e-05,0.141912495164527,"Ccl5","20304","C-C motif chemokine ligand 5","Not_significant"
"ENSMUSG00000021765",721.801052224541,-1.36864357320858,0.348044161011913,-3.93238481355168,8.41072843265995e-05,0.141912495164527,"Fst","14313","follistatin","Not_significant"
"ENSMUSG00000073412",290.66077799392,-1.07722632916506,0.275333556484804,-3.91244112384286,9.13678181589793e-05,0.141912495164527,"Lst1","16988","leukocyte specific transcript 1","Not_significant"
"ENSMUSG00000078566",2478.07348069013,0.870888591711254,0.224039653457458,3.88720736830019,0.000101404121791882,0.147657076844205,"Bnip3","12176","BCL2/adenovirus E1B interacting protein 3","Not_significant"
"ENSMUSG00000028645",8520.76691712434,0.80714004089986,0.212118124784919,3.80514414653758,0.000141721632180491,0.194225328620064,"Slc2a1","20525","solute carrier family 2 (facilitated glucose transporter), member 1","Not_significant"
"ENSMUSG00000035385",3429.79450326589,-0.796753822651869,0.210180050537004,-3.79081563933487,0.00015015338091713,0.194348526033738,"Ccl2","20296","C-C motif chemokine ligand 2","Not_significant"
"ENSMUSG00000033825",155.31301378667,2.5161570125287,0.67399870768444,3.73317779966239,0.00018907902211112,0.217422637896626,"Tpsb2","17229","tryptase beta 2","Not_significant"
"ENSMUSG00000030142",217.607291249657,-1.10699614284797,0.295829498493156,-3.74200729976759,0.000182556211089105,0.217422637896626,"Clec4e","56619","C-type lectin domain family 4, member e","Not_significant"
"ENSMUSG00000061740",743.791583599665,0.927124734826878,0.248949590540435,3.72414645396371,0.000195977139489619,0.217422637896626,"Cyp2d22","56448","cytochrome P450, family 2, subfamily d, polypeptide 22","Not_significant"
"ENSMUSG00000055148",585.331231375382,0.776450502402914,0.212731652900696,3.64990584060082,0.00026233645551239,0.277814306387621,"Klf2","16598","Kruppel-like transcription factor 2 (lung)","Not_significant"
"ENSMUSG00000035165",167.841201172964,1.17603531428423,0.324297873207271,3.62640464660889,0.000287394876299152,0.291118514261636,"Kcne3","57442","potassium voltage-gated channel, Isk-related subfamily, gene 3","Not_significant"
"ENSMUSG00000030167",238.943708489495,-1.54152700165145,0.432278400844212,-3.5660514118701,0.000362400306987147,0.351800098007773,"Klrc1","16641","killer cell lectin-like receptor subfamily C, member 1","Not_significant"
"ENSMUSG00000025473",1492.59892386229,0.659228216679919,0.185926746113429,3.54563412989405,0.00039166960026721,0.365004733881018,"Adam8","11501","a disintegrin and metallopeptidase domain 8","Not_significant"
"ENSMUSG00000029322",547.782434242789,-1.19387063060865,0.337793829554135,-3.53431746276857,0.000408829714395422,0.366342872537867,"Plac8","231507","placenta-specific 8","Not_significant"
"ENSMUSG00000022057",68.5492418216371,-2.13723625251902,0.608687643556266,-3.51122004059781,0.000446055017189509,0.38489591816597,"Adamdec1","58860","ADAM-like, decysin 1","Not_significant"
"ENSMUSG00000000682",2085.56763881172,-0.95936948963161,0.278154499055679,-3.44905256930456,0.000562557171339202,0.468087749209312,"Cd52","23833","CD52 antigen","Not_significant"
"ENSMUSG00000001865",76.5943789756901,2.36663234370724,0.691439016493302,3.42276366715584,0.000619879465797765,0.481946601352903,"Cpa3","12873","carboxypeptidase A3, mast cell","Not_significant"
"ENSMUSG00000052270",260.232210900159,-1.70743985427328,0.499278478911627,-3.4198146453164,0.000626638172771894,0.481946601352903,"Fpr2","14289","formyl peptide receptor 2","Not_significant"
"ENSMUSG00000029915",852.797700193332,-0.868501453316047,0.254429143835863,-3.41352975615221,0.000641271553006266,0.481946601352903,"Clec5a","23845","C-type lectin domain family 5, member a","Not_significant"
"ENSMUSG00000062515",271.672572888733,1.74249895517603,0.513489762667566,3.39344439142038,0.000690195701900957,0.487682452900883,"Fabp4","11770","fatty acid binding protein 4, adipocyte","Not_significant"
"ENSMUSG00000020263",1483.80256263038,0.741860059470461,0.218630287599109,3.39321723269545,0.000690768346885103,0.487682452900883,"Appl2","216190","adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2","Not_significant"
"ENSMUSG00000029371",99.5557584964727,1.44291480583908,0.430471792023469,3.3519381120341,0.000802479556120585,0.505301856716145,"Cxcl5","20311","C-X-C motif chemokine ligand 5","Not_significant"
"ENSMUSG00000086688",1182.09164571939,0.73576719027267,0.218316631268085,3.37018387467317,0.000751180409561566,0.505301856716145,NA,NA,NA,"Not_significant"
"ENSMUSG00000020277",5327.24568958055,0.697515041486556,0.207703552332083,3.35822393817968,0.00078445033657424,0.505301856716145,"Pfkl","18641","phosphofructokinase, liver, B-type","Not_significant"
"ENSMUSG00000003032",2227.4523109523,0.594303726565312,0.176935752824151,3.35886736897073,0.000782626196212231,0.505301856716145,"Klf4","16600","Kruppel-like transcription factor 4 (gut)","Not_significant"
"ENSMUSG00000022225",78.7447575057748,2.65984128096609,0.797381450148023,3.33572003772138,0.000850787952316828,0.508247633668653,"Cma1","17228","chymase 1, mast cell","Not_significant"
"ENSMUSG00000025408",863.638964106071,0.693729289145806,0.207830255739513,3.33796100417304,0.000843955928515465,0.508247633668653,"Ddit3","13198","DNA-damage inducible transcript 3","Not_significant"
"ENSMUSG00000026068",393.748744584949,-0.842911693040076,0.25386480991077,-3.32031719298294,0.000899152245062392,0.52371122513659,"Il18rap","16174","interleukin 18 receptor accessory protein","Not_significant"
"ENSMUSG00000041378",322.252014626065,0.876460898661127,0.265112229200888,3.30599950557917,0.000946382546837934,0.533389907735112,"Cldn5","12741","claudin 5","Not_significant"
