"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"CUI_T_CELL_CD4_IFNK_RESPONSE_UP","CUI_T_CELL_CD4_IFNK_RESPONSE_UP",79,-0.731911579037597,-1.85286245206252,4.4565523939903e-05,0.000811092535706234,0.000811092535706234,4244,"tags=78%, list=21%, signal=62%","54123/76681/234311/19186/15039/672511/69550/80285/209200/19106/20556/100038882/71586/15957/209086/80861/209387/67775/20128/69774/667370/108670/327959/19188/16913/17069/15959/94094/21356/628705/327978/319236/20684/245240/19171/100040462/76933/67138/236312/23962/15950/236451/547253/236573/20846/102639543/246727/276950/58203/15953/623121/20555/15944/229900/100033459/60361/110454/667373/16145/60440/17472/545384",0.557332238758646
"CUI_TREG_IFNG_RESPONSE_UP","CUI_TREG_IFNG_RESPONSE_UP",79,-0.73139184916513,-1.85154673580185,4.4565523939903e-05,0.000811092535706234,0.000811092535706234,4676,"tags=77%, list=23%, signal=59%","24110/19039/15015/12010/54123/19186/15039/672511/69550/21355/75731/80285/209200/15900/100038882/15957/20847/64685/225845/68770/327959/19188/16913/17069/21354/213233/15959/83408/21356/16362/16912/19171/100040462/76933/56045/12703/56791/236451/547253/236573/20846/76074/102639543/58203/15953/623121/15944/229900/54396/55932/80287/229898/20715/100702/110454/667373/16145/14469/60440/17472/215900",0.557332238758646
"CUI_B_CELL_IL15_RESPONSE_UP","CUI_B_CELL_IL15_RESPONSE_UP",116,-0.704008824990255,-1.8480681770854,4.11256048032966e-06,0.000246254453072345,0.000246254453072345,4522,"tags=68%, list=23%, signal=53%","18854/17084/11810/231712/12010/54123/76681/170743/72580/19186/672511/69550/21355/80285/93694/19106/15900/20556/100038882/317758/209387/20847/231655/64685/67775/109032/20128/327959/13040/19188/16913/21354/15958/213233/15959/12515/18768/16362/327978/319236/20684/16912/245240/19171/100040462/76933/67138/56045/12703/236312/23962/66222/15950/15894/13058/236451/547253/236573/20846/102639543/434341/64380/276950/58203/15953/623121/15944/229900/100033459/231507/55932/229898/20715/110454/16145/14469/17472/215900/545384",0.610526878385931
"CUI_T_CELL_CD8_IFNK_RESPONSE_UP","CUI_T_CELL_CD8_IFNK_RESPONSE_UP",88,-0.72534045475909,-1.84630998496159,9.2695527318039e-06,0.000337411719437662,0.000337411719437662,4676,"tags=80%, list=23%, signal=61%","24110/19039/18854/231712/54123/76681/234311/19186/15039/672511/69550/80285/209200/19106/20556/100038882/71586/15957/209086/80861/209387/231655/67775/109032/20128/74153/667370/108670/327959/19188/16913/17069/15959/21356/628705/327978/319236/20684/16912/245240/22169/19171/100040462/76933/67138/56045/236312/23962/17857/15950/236451/547253/236573/20846/102639543/246727/276950/58203/15953/623121/20555/15944/229900/100033459/60361/231507/110454/667373/16145/545384",0.593325476396405
"CUI_T_CELL_CD4_IL18_RESPONSE_UP","CUI_T_CELL_CD4_IL18_RESPONSE_UP",110,-0.708431878114009,-1.84067230820343,5.9350257332703e-06,0.000249271080797353,0.000249271080797353,4244,"tags=68%, list=21%, signal=54%","54123/76681/19186/15039/672511/69550/21355/75731/80285/209200/328833/15900/100038882/15957/209086/20847/64685/67775/109032/20128/69774/225845/327959/13040/19188/16913/17069/21354/434484/213233/15959/21356/60533/16362/327978/319236/16912/19171/100040462/76933/56045/12703/23962/15950/15894/236451/547253/236573/20846/76074/17067/102639543/434341/64380/58203/15953/623121/20555/15944/229900/60361/54396/55932/80287/229898/100702/110454/667373/100039796/16145/14469/60440/17472/21822/215900",0.610526878385931
"CUI_TREG_IFNK_RESPONSE_UP","CUI_TREG_IFNK_RESPONSE_UP",83,-0.724601826941327,-1.84022045469156,4.18653206776001e-05,0.000811092535706234,0.000811092535706234,4748,"tags=83%, list=24%, signal=64%","16859/24110/19039/18854/54123/76681/234311/15039/672511/69550/21355/80285/209200/19106/20556/100038882/71586/15957/209086/80861/209387/20847/67775/109032/20128/74153/69774/667370/108670/327959/16913/17069/142688/15959/21356/628705/327978/319236/20684/16912/245240/19171/100040462/76933/67138/56045/236312/23962/15950/236451/547253/20846/102639543/246727/276950/625360/58203/15953/623121/20555/15944/229900/100033459/60361/110454/667373/16145/60440/545384",0.557332238758646
"CUI_T_CELL_CD4_IFNG_RESPONSE_UP","CUI_T_CELL_CD4_IFNG_RESPONSE_UP",123,-0.704294203632254,-1.8338913766851,3.47544254541151e-06,0.000237198953724336,0.000237198953724336,4522,"tags=72%, list=23%, signal=56%","18854/15015/231712/12010/101187/671535/54123/76681/72580/19186/15039/672511/69550/21355/75731/80285/209200/328833/15900/100038882/15957/209086/20847/64685/67775/109032/20128/69774/225845/108670/327959/13040/19188/16913/17069/21354/14998/434484/213233/15959/21356/60533/16362/628705/327978/319236/16912/19171/100040462/76933/56045/12703/23962/15950/236451/547253/236573/20846/76074/17067/102639543/434341/64380/246727/276950/58203/15953/623121/20555/15944/229900/100033459/60361/54396/55932/80287/229898/100702/110454/667373/100039796/16145/14469/60440/17472/21822/215900/11872",0.627256739718528
"CUI_T_CELL_CD4_IL15_RESPONSE_UP","CUI_T_CELL_CD4_IL15_RESPONSE_UP",118,-0.697168415734761,-1.82872240271956,4.51015481817482e-06,0.000246254453072345,0.000246254453072345,4244,"tags=64%, list=21%, signal=51%","54123/76681/72580/234311/19186/15039/672511/69550/80285/209200/19106/328833/15900/20556/100038882/15957/209086/20847/64685/67775/20128/108670/327959/19188/16913/17069/21354/213233/15959/21356/60533/16362/628705/327978/319236/16912/19171/100040462/76933/56045/12703/236312/23962/15950/15894/236451/547253/236573/20846/76074/17067/102639543/434341/246727/276950/58203/15953/623121/20555/15944/229900/100033459/60361/54396/80287/229898/100702/110454/100039796/16145/14469/60440/17472/21822/215900/545384",0.610526878385931
"CUI_T_CELL_GD_IFNG_RESPONSE_UP","CUI_T_CELL_GD_IFNG_RESPONSE_UP",115,-0.69741330503986,-1.82698281791549,1.63689263821401e-05,0.000442881047879558,0.000442881047879558,4619,"tags=66%, list=23%, signal=51%","19039/235587/15015/12010/54123/72580/19186/15039/672511/69550/21355/75731/80285/209200/19106/15900/100038882/15957/209086/20847/64685/67775/109032/20128/225845/327959/13040/19188/16913/16922/17069/21354/213233/15959/21356/60533/16362/319236/16912/19171/100040462/76933/67138/56045/12703/16161/15950/236451/547253/236573/20846/76074/102639543/434341/246727/58203/15953/623121/20555/15944/229900/54396/80287/229898/20715/100702/110454/100039796/16145/14469/60440/17472/21822/215900/238393/15945",0.575610261071129
"CUI_T_CELL_GD_IFNK_RESPONSE_UP","CUI_T_CELL_GD_IFNK_RESPONSE_UP",74,-0.724133023039874,-1.81515099798821,0.000119039413244591,0.00196956120095596,0.00196956120095596,4676,"tags=81%, list=23%, signal=62%","24110/19039/231712/12010/54123/72580/234311/19186/15039/672511/69550/80285/209200/19106/20556/100038882/71586/15957/209086/209387/67775/20128/69774/667370/108670/327959/19188/16913/17069/21354/15959/21356/628705/327978/319236/20684/22169/100040462/76933/67138/56045/236312/23962/15950/236451/547253/236573/20846/102639543/246727/276950/58203/15953/623121/20555/15944/100033459/54396/110454/667373",0.538434096309916
"CUI_B_CELL_IL18_RESPONSE_UP","CUI_B_CELL_IL18_RESPONSE_UP",98,-0.704169627252537,-1.80647198475389,5.85086760740052e-05,0.00103050764956151,0.00103050764956151,4522,"tags=66%, list=23%, signal=52%","18854/231086/15015/12010/240041/19186/15039/69550/21355/75731/80285/19106/12363/15900/13032/20556/317758/20847/67775/17476/225845/75345/327959/13040/19188/16913/21354/213233/83408/18768/16362/319236/16912/19171/100040462/56045/12703/66222/15950/15894/236451/547253/236573/20846/434341/64380/78416/58203/15953/15944/229900/54396/231507/55932/229898/20715/110454/100039796/16145/14469/60440/17472/215900/238393/233081",0.557332238758646
"CUI_B_CELL_IFNK_RESPONSE_UP","CUI_B_CELL_IFNK_RESPONSE_UP",90,-0.714948974233779,-1.80642404354713,3.30045872414118e-05,0.000693096332069648,0.000693096332069648,4748,"tags=80%, list=24%, signal=61%","16859/24110/19039/18854/17084/231712/54123/76681/170743/72580/19186/15039/672511/69550/80285/19106/20556/100038882/15957/209086/80861/209387/20847/231655/64685/67775/109032/20128/667370/108670/327959/16913/142688/15958/434484/15959/18768/94094/21356/327978/319236/20684/245240/100040462/76933/67138/56045/236312/56791/23962/17857/407803/15950/13058/236451/547253/20846/102639543/64380/246727/276950/58203/15953/623121/15944/229900/100033459/231507/110454/667373/16145/545384",0.557332238758646
"CUI_CDC2_IFNK_RESPONSE_UP","CUI_CDC2_IFNK_RESPONSE_UP",133,-0.682354831142514,-1.80474563716714,1.54292224276222e-05,0.000442881047879558,0.000442881047879558,4839,"tags=68%, list=24%, signal=52%","15951/20375/16859/24110/19039/54445/17084/231712/66552/14129/54123/234311/15039/672511/69550/98999/80285/16848/93694/19106/16181/20556/100038882/71586/15957/80861/209387/15170/73656/20847/64685/67775/109032/20128/74153/69774/667370/18950/17476/50723/14127/15162/108670/327959/19188/16913/226691/231821/17069/246730/15958/15959/94094/21356/327978/319236/20684/19171/219132/100040462/76933/67138/56045/236312/56791/23962/15950/246728/236451/547253/23833/236573/20846/102639543/64380/246727/276950/58203/15953/623121/20555/15944/14190/229900/219131/110454/16145/14469/60440/17329/15945",0.575610261071129
"CUI_T_CELL_CD8_IFNG_RESPONSE_UP","CUI_T_CELL_CD8_IFNG_RESPONSE_UP",84,-0.722631100983182,-1.78896119014316,3.28757320252945e-05,0.000693096332069648,0.000693096332069648,4437,"tags=77%, list=22%, signal=60%","15015/12010/54123/19186/15039/672511/69550/21355/75731/80285/209200/15900/100038882/209086/64685/67775/109032/225845/327959/13040/19188/16913/17069/21354/14998/434484/213233/15959/21356/60533/16362/16912/19171/100040462/76933/56045/12703/23962/15950/547253/236573/20846/76074/102639543/434341/246727/58203/15953/623121/20555/15944/229900/54396/231507/55932/80287/229898/100702/110454/100039796/16145/14469/60440/17472/215900",0.557332238758646
"CUI_TREG_IFNA1_RESPONSE_UP","CUI_TREG_IFNA1_RESPONSE_UP",239,-0.644329661236654,-1.78613938523766,4.11735134663324e-07,0.000112403691763087,0.000112403691763087,4437,"tags=53%, list=22%, signal=42%","15015/13482/231712/12010/12799/54199/101187/17454/671535/54123/76681/72580/68267/234311/19186/15039/672511/69550/98999/21355/75731/80285/209200/12524/19106/328833/20556/100038882/71586/15957/209086/80861/209387/20847/231655/64685/67775/109032/20128/74153/69774/20491/667370/12700/20821/225845/108670/75345/327959/13040/19188/16913/270152/17069/142688/21354/246730/15958/434484/15959/94094/20343/21356/60533/16362/628705/108116/327978/319236/20684/16912/245240/22169/19171/100040462/76933/67138/56045/12703/236312/56791/23962/16161/17857/16185/15950/13058/236451/99899/547253/236573/20846/76074/11980/102639543/434341/64380/16768/12481/246727/276950/625360/58203/15953/623121/20555/15944/229900/209488/100033459/60361/54396/55932/80287/229898/20715/219131/100702/110454/667373/100039796/16145/14469/60440/17472/545384/15945",0.674962860011025
