"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0045214","sarcomere organization",54,0.730623452150009,1.96616444774212,9.36226512314071e-06,0.00668049629120107,0.00668049629120107,2158,"tags=44%, list=12%, signal=39%","93677/53311/21393/68760/242702/13009/233199/109272/11472/21957/22437/16669/17930/12372/19130/238564/13614/12373/16691/17996/24131/21955/415115/13008",0.593325476396405
"GO:0014823","response to activity",81,0.681531904705892,1.92414726442647,4.78127406933157e-06,0.00511755701220789,0.00511755701220789,1574,"tags=21%, list=8%, signal=19%","16846/14526/17700/18534/11607/67470/442846/17189/22229/17884/17928/14281/11601/17882/13614/16193/108079",0.610526878385931
"GO:0030239","myofibril assembly",75,0.695937232724306,1.90741458126932,6.02009835820744e-06,0.00552301023662974,0.00552301023662974,2158,"tags=43%, list=12%, signal=38%","93677/53311/21393/68760/242702/13009/18175/233199/109272/21916/320502/11472/21957/228003/11459/50874/22437/234072/16669/17930/12372/19130/238564/13614/12373/16691/68016/17996/24131/21955/415115/13008",0.610526878385931
"GO:0001967","suckling behavior",15,0.889715343925928,1.87588885471786,7.62326382876953e-05,0.0248586253581734,0.0248586253581734,976,"tags=33%, list=5%, signal=32%","14810/18430/14812/12804/18996",0.538434096309916
"GO:0050891","multicellular organismal-level water homeostasis",25,0.812040493221261,1.85845409455033,5.99723641589976e-05,0.0213968068127268,0.0213968068127268,1222,"tags=28%, list=7%, signal=26%","20277/110935/11827/11832/20278/319229/12000",0.557332238758646
"GO:0042832","defense response to protozoan",40,-0.722441437279173,-1.82609695706474,0.000140558674029534,0.031126476021299,0.031126476021299,3172,"tags=65%, list=17%, signal=54%","16189/16364/18173/27027/15900/78317/72310/236573/76074/21939/384059/54396/229900/55932/16160/100702/100039796/16145/14469/60440/15978/21822/17472/74481/14468/626578",0.518848077743792
"GO:0014904","myotube cell development",45,0.715265592265372,1.82359782806728,0.000214270144788379,0.0371903478332695,0.0371903478332695,1058,"tags=20%, list=6%, signal=19%","433766/381339/11474/72330/320502/231602/17928/11459/17878",0.518848077743792
"GO:0051591","response to cAMP",84,0.646214483244803,1.80987242683916,1.44586599655549e-05,0.00823317982321706,0.00823317982321706,2857,"tags=30%, list=15%, signal=25%","18534/214593/442846/11450/110893/14460/12705/14555/19309/14281/14282/15360/11670/16324/11298/99439/16535/12919/19252/171429/238871/14148/16476/13631/12215",0.593325476396405
"GO:0003009","skeletal muscle contraction",51,0.688182206199418,1.80550492837377,0.000402132534524393,0.0573887808159033,0.0573887808159033,2268,"tags=43%, list=12%, signal=38%","71960/17885/21393/11447/17189/12350/11474/110893/11937/21957/17883/21952/12372/21953/71912/13400/228785/74492/217154/13198/21955/15370",0.49849310876659
"GO:0002836","positive regulation of response to tumor cell",22,-0.792987907892491,-1.80465520335549,0.000599575369100633,0.0675521582520046,0.0675521582520046,1725,"tags=41%, list=9%, signal=37%","16963/225825/21947/14939/27007/16160/54698/102570/54215",0.477270815362862
