"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"CUI_CDC2_IFNK_RESPONSE_UP","CUI_CDC2_IFNK_RESPONSE_UP",133,-0.746161746665291,-2.28625355093937,1e-10,1.47567567567568e-09,1.47567567567568e-09,3935,"tags=76%, list=21%, signal=60%","56417/20375/208263/15040/69028/230073/54445/243771/231712/17084/16859/19039/381308/74568/69774/70110/66552/73656/16848/50723/15039/234311/14129/74153/15951/64685/15170/98999/24110/18950/209387/14127/672511/54123/71586/109032/19106/80285/20128/226691/17069/108670/80861/15957/20556/94094/69550/17476/16913/15162/244183/93694/20847/246730/100038882/667370/231821/327959/16181/76933/319236/21356/67775/56791/67138/19171/100040462/327978/20684/19188/246728/236312/15958/219132/15959/15950/23962/56045/236451/64380/102639543/236573/23833/20846/623121/58203/547253/276950/246727/15953/14190/15944/229900/20555/219131/110454/16145/14469/60440/17329/15945",NA
"CUI_TREG_IFNA1_RESPONSE_UP","CUI_TREG_IFNA1_RESPONSE_UP",239,-0.69783085446593,-2.2673248840757,1e-10,1.47567567567568e-09,1.47567567567568e-09,3855,"tags=61%, list=21%, signal=49%","15040/69028/230073/12010/72075/245944/75320/15015/243771/12444/19186/231712/72580/12799/18854/16859/19039/225845/621823/101187/68267/69774/70110/229003/17454/21355/15039/234311/671535/74153/30935/12700/13482/20491/15951/64685/98999/24110/75731/209387/672511/54123/71586/109032/19106/80285/76681/12524/20128/209200/17069/209086/108670/80861/15957/20556/94094/69550/328833/13040/16913/245240/54199/231655/21354/75345/57440/142688/108116/20847/246730/20821/16185/100038882/11980/667370/434484/327959/270152/16912/76933/319236/21356/67775/56791/67138/16161/19171/100040462/327978/20684/19188/16362/60533/12703/236312/15958/15959/15950/23962/56045/13058/236451/64380/22169/102639543/434341/236573/12481/628705/17857/76074/100033459/20846/16768/623121/625360/20343/60361/58203/547253/276950/99899/246727/15953/54396/667373/15944/80287/229900/20555/55932/219131/100702/100039796/20715/229898/110454/209488/16145/14469/60440/17472/545384/15945",NA
"CUI_TREG_IFNB_RESPONSE_UP","CUI_TREG_IFNB_RESPONSE_UP",242,-0.692585769991783,-2.25691422282678,1e-10,1.47567567567568e-09,1.47567567567568e-09,3855,"tags=60%, list=21%, signal=49%","15040/69028/230073/12010/72075/245944/75320/15015/243771/12444/19186/231712/72580/17874/12799/18854/243382/16859/19039/225845/621823/101187/19650/68267/69774/70110/229003/17454/21355/15039/234311/671535/74153/30935/13482/22375/64685/98999/24110/14744/75731/209387/672511/54123/71586/109032/19106/80285/76681/12524/20128/209200/17069/209086/108670/80861/15957/20556/94094/69550/13040/16913/245240/54199/231655/21354/57440/93694/142688/20847/246730/20821/100038882/11980/667370/434484/327959/270152/16912/213233/76933/319236/21356/67775/56791/67138/16161/19171/100040462/327978/20684/19188/16362/12703/246728/236312/15958/15959/15950/23962/15042/56045/13058/236451/64380/22169/102639543/434341/236573/628705/17857/76074/320007/407803/100033459/20846/623121/625360/20343/60361/58203/547253/276950/99899/246727/15953/54396/667373/15944/80287/229900/20555/55932/219131/100702/100039796/229898/110454/209488/16145/14469/60440/215900/17472/545384/15945",NA
"CUI_B_CELL_IFNK_RESPONSE_UP","CUI_B_CELL_IFNK_RESPONSE_UP",90,-0.771728621871225,-2.2424329510559,1e-10,1.47567567567568e-09,1.47567567567568e-09,3533,"tags=84%, list=19%, signal=69%","19186/231712/17084/72580/18854/16859/19039/621823/70110/229003/15039/30935/64685/24110/209387/672511/54123/109032/19106/80285/76681/20128/209086/108670/80861/15957/20556/94094/69550/16913/245240/231655/244183/142688/20847/100038882/667370/18768/434484/327959/76933/319236/21356/67775/56791/67138/100040462/327978/20684/236312/15958/15959/15950/23962/56045/13058/236451/64380/102639543/17857/407803/100033459/20846/623121/58203/547253/276950/246727/15953/667373/15944/229900/231507/110454/16145/545384",NA
"CUI_T_CELL_CD4_IL15_RESPONSE_UP","CUI_T_CELL_CD4_IL15_RESPONSE_UP",118,-0.746195080603467,-2.23995561902121,1e-10,1.47567567567568e-09,1.47567567567568e-09,3977,"tags=75%, list=21%, signal=60%","98952/384309/15040/69028/230073/12444/19186/72580/18854/72512/19039/107526/70110/229003/15039/234311/15900/64685/24110/672511/54123/19106/80285/76681/20128/209200/17069/209086/108670/15957/20556/69550/328833/16913/21354/20847/100038882/327959/16912/213233/76933/319236/21356/67775/19171/100040462/327978/19188/16362/60533/12703/236312/15959/15950/23962/56045/15894/236451/102639543/434341/236573/628705/76074/100033459/20846/17067/623121/60361/58203/547253/276950/246727/15953/54396/15944/80287/229900/20555/100702/100039796/229898/110454/16145/14469/60440/21822/215900/17472/545384",NA
"CUI_TREG_IFNK_RESPONSE_UP","CUI_TREG_IFNK_RESPONSE_UP",83,-0.78004092278798,-2.23091572126648,1e-10,1.47567567567568e-09,1.47567567567568e-09,3378,"tags=86%, list=18%, signal=70%","18854/16859/19039/69774/70110/229003/21355/15039/234311/74153/24110/209387/672511/54123/71586/109032/19106/80285/76681/20128/209200/17069/209086/108670/80861/15957/20556/69550/16913/245240/142688/20847/100038882/667370/327959/16912/76933/319236/21356/67775/67138/19171/100040462/327978/20684/236312/15959/15950/23962/56045/236451/102639543/628705/100033459/20846/623121/625360/60361/58203/547253/276950/246727/15953/667373/15944/229900/20555/110454/16145/60440/545384",NA
"CUI_T_CELL_CD4_IFNG_RESPONSE_UP","CUI_T_CELL_CD4_IFNG_RESPONSE_UP",123,-0.744514111575261,-2.21969557485034,1e-10,1.47567567567568e-09,1.47567567567568e-09,3855,"tags=77%, list=21%, signal=62%","15040/230073/12010/75320/15015/19186/231712/72580/18854/107526/225845/101187/69774/70110/21355/15039/671535/15900/22375/64685/24110/75731/672511/54123/109032/80285/76681/20128/209200/17069/209086/108670/15957/69550/328833/13040/16913/21354/20847/100038882/434484/327959/16912/213233/76933/319236/14998/21356/67775/19171/100040462/327978/19188/16362/60533/12703/15959/15950/23962/56045/236451/64380/102639543/434341/236573/628705/76074/100033459/20846/17067/623121/60361/58203/547253/276950/246727/15953/54396/667373/15944/80287/229900/20555/55932/100702/100039796/229898/110454/16145/14469/60440/21822/215900/17472/11872",NA
"CUI_T_CELL_CD8_IFNK_RESPONSE_UP","CUI_T_CELL_CD8_IFNK_RESPONSE_UP",88,-0.773717360208325,-2.21292143922594,1e-10,1.47567567567568e-09,1.47567567567568e-09,3855,"tags=86%, list=21%, signal=69%","15040/69028/230073/12444/19186/231712/18854/19039/70110/229003/15039/234311/74153/24110/209387/672511/54123/71586/109032/19106/80285/76681/20128/209200/17069/209086/108670/80861/15957/20556/69550/16913/245240/231655/100038882/667370/327959/16912/76933/319236/21356/67775/67138/19171/100040462/327978/20684/19188/236312/15959/15950/23962/56045/236451/22169/102639543/236573/628705/17857/100033459/20846/623121/60361/58203/547253/276950/246727/15953/667373/15944/229900/20555/231507/110454/16145/545384",NA
"CUI_T_CELL_CD4_IFNK_RESPONSE_UP","CUI_T_CELL_CD4_IFNK_RESPONSE_UP",79,-0.780702522282317,-2.21030437917126,1e-10,1.47567567567568e-09,1.47567567567568e-09,3855,"tags=90%, list=21%, signal=72%","15040/69028/230073/12444/19186/18854/19039/69774/70110/229003/15039/234311/24110/209387/672511/54123/71586/19106/80285/76681/20128/209200/17069/209086/108670/80861/15957/20556/94094/69550/16913/245240/100038882/667370/327959/76933/319236/21356/67775/67138/19171/100040462/327978/20684/19188/236312/15959/15950/23962/236451/102639543/236573/628705/100033459/20846/623121/60361/58203/547253/276950/246727/15953/667373/15944/229900/20555/110454/16145/60440/17472/545384",NA
"CUI_T_CELL_CD4_IL18_RESPONSE_UP","CUI_T_CELL_CD4_IL18_RESPONSE_UP",110,-0.743024460668179,-2.20495589301982,1e-10,1.47567567567568e-09,1.47567567567568e-09,3855,"tags=76%, list=21%, signal=61%","15040/69028/12010/69666/12444/19186/18854/107526/225845/69774/70110/21355/15039/15900/64685/24110/75731/672511/54123/109032/80285/76681/20128/209200/17069/209086/15957/69550/328833/13040/16913/21354/20847/100038882/434484/327959/16912/213233/76933/319236/21356/67775/19171/100040462/327978/19188/16362/60533/12703/15959/15950/23962/56045/15894/236451/64380/102639543/434341/236573/76074/20846/17067/623121/60361/58203/547253/15953/54396/667373/15944/80287/229900/20555/55932/100702/100039796/229898/110454/16145/14469/60440/21822/215900/17472",NA
