"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CUI_MIGDC_TNFA_RESPONSE_DN","CUI_MIGDC_TNFA_RESPONSE_DN","3/5","41/5981",0.0731707317073171,87.5268292682927,16.0797686185697,2.96247311645367e-06,0.0016175103215837,0.0016175103215837,"11535/14281/14282",3
"CUI_CDC2_TPO_RESPONSE_DN","CUI_CDC2_TPO_RESPONSE_DN","2/5","10/5981",0.2,239.24,21.8082815101257,2.50960171273086e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_CDC1_C5A_RESPONSE_DN","CUI_CDC1_C5A_RESPONSE_DN","2/5","11/5981",0.181818181818182,217.490909090909,20.7863933276669,3.06626427436247e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_CDC2_IFNL2_RESPONSE_DN","CUI_CDC2_IFNL2_RESPONSE_DN","2/5","12/5981",0.166666666666667,199.366666666667,19.8947657018748,3.67828538923372e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_T_CELL_GD_IL1RA_RESPONSE_DN","CUI_T_CELL_GD_IL1RA_RESPONSE_DN","2/5","12/5981",0.166666666666667,199.366666666667,19.8947657018748,3.67828538923372e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_T_CELL_GD_IL27_RESPONSE_DN","CUI_T_CELL_GD_IL27_RESPONSE_DN","2/5","12/5981",0.166666666666667,199.366666666667,19.8947657018748,3.67828538923372e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_CDC2_FLT3L_RESPONSE_DN","CUI_CDC2_FLT3L_RESPONSE_DN","2/5","13/5981",0.153846153846154,184.030769230769,19.107843412974,4.34560922383161e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_CDC2_NEUROPOIETIN_RESPONSE_DN","CUI_CDC2_NEUROPOIETIN_RESPONSE_DN","2/5","13/5981",0.153846153846154,184.030769230769,19.107843412974,4.34560922383161e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_CDC2_EGF_RESPONSE_DN","CUI_CDC2_EGF_RESPONSE_DN","2/5","14/5981",0.142857142857143,170.885714285714,18.4065823931213,5.06817997274098e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_NK_CELL_IL3_RESPONSE_DN","CUI_NK_CELL_IL3_RESPONSE_DN","2/5","14/5981",0.142857142857143,170.885714285714,18.4065823931213,5.06817997274098e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_B_CELL_LTA1_B2_RESPONSE_DN","CUI_B_CELL_LTA1_B2_RESPONSE_DN","2/5","15/5981",0.133333333333333,159.493333333333,17.7764609882098,5.84594185863824e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_CDC2_IFNE_RESPONSE_DN","CUI_CDC2_IFNE_RESPONSE_DN","2/5","15/5981",0.133333333333333,159.493333333333,17.7764609882098,5.84594185863824e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_MIGDC_BAFF_RESPONSE_DN","CUI_MIGDC_BAFF_RESPONSE_DN","2/5","15/5981",0.133333333333333,159.493333333333,17.7764609882098,5.84594185863824e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_MONOCYTE_IL2_RESPONSE_DN","CUI_MONOCYTE_IL2_RESPONSE_DN","2/5","15/5981",0.133333333333333,159.493333333333,17.7764609882098,5.84594185863824e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_NK_CELL_IFNE_RESPONSE_DN","CUI_NK_CELL_IFNE_RESPONSE_DN","2/5","15/5981",0.133333333333333,159.493333333333,17.7764609882098,5.84594185863824e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_T_CELL_GD_IL21_RESPONSE_DN","CUI_T_CELL_GD_IL21_RESPONSE_DN","2/5","15/5981",0.133333333333333,159.493333333333,17.7764609882098,5.84594185863824e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_T_CELL_GD_OSM_RESPONSE_DN","CUI_T_CELL_GD_OSM_RESPONSE_DN","2/5","15/5981",0.133333333333333,159.493333333333,17.7764609882098,5.84594185863824e-05,0.00187757897342146,0.00187757897342146,"14281/14282",2
"CUI_CDC1_NOGGIN_RESPONSE_DN","CUI_CDC1_NOGGIN_RESPONSE_DN","2/5","16/5981",0.125,149.525,17.2061865859658,6.6788391322851e-05,0.00187794617072598,0.00187794617072598,"14281/14282",2
"CUI_CDC2_FASL_RESPONSE_DN","CUI_CDC2_FASL_RESPONSE_DN","2/5","16/5981",0.125,149.525,17.2061865859658,6.6788391322851e-05,0.00187794617072598,0.00187794617072598,"14281/14282",2
"CUI_B_CELL_EGF_RESPONSE_DN","CUI_B_CELL_EGF_RESPONSE_DN","2/5","17/5981",0.117647058823529,140.729411764706,16.6868273987081,7.56681607252227e-05,0.00187794617072598,0.00187794617072598,"14281/14282",2
"CUI_CDC2_CD30L_RESPONSE_DN","CUI_CDC2_CD30L_RESPONSE_DN","2/5","17/5981",0.117647058823529,140.729411764706,16.6868273987081,7.56681607252227e-05,0.00187794617072598,0.00187794617072598,"14281/14282",2
"CUI_CDC2_IL27_RESPONSE_DN","CUI_CDC2_IL27_RESPONSE_DN","2/5","17/5981",0.117647058823529,140.729411764706,16.6868273987081,7.56681607252227e-05,0.00187794617072598,0.00187794617072598,"14281/14282",2
"CUI_CDC1_EGF_RESPONSE_DN","CUI_CDC1_EGF_RESPONSE_DN","2/5","20/5981",0.1,119.62,15.368930843275,0.000105606681022361,0.0024025519932587,0.0024025519932587,"14281/14282",2
"CUI_T_CELL_GD_FASL_RESPONSE_DN","CUI_T_CELL_GD_FASL_RESPONSE_DN","2/5","20/5981",0.1,119.62,15.368930843275,0.000105606681022361,0.0024025519932587,0.0024025519932587,"14281/14282",2
"CUI_CDC1_OSM_RESPONSE_DN","CUI_CDC1_OSM_RESPONSE_DN","2/5","23/5981",0.0869565217391304,104.017391304348,14.3170821343497,0.000140482338637939,0.00295012911139672,0.00295012911139672,"14281/14282",2
"CUI_T_CELL_GD_NOGGIN_RESPONSE_DN","CUI_T_CELL_GD_NOGGIN_RESPONSE_DN","2/5","23/5981",0.0869565217391304,104.017391304348,14.3170821343497,0.000140482338637939,0.00295012911139672,0.00295012911139672,"14281/14282",2
