"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001909","leukocyte mediated cytotoxicity","8/41","190/25615",0.0421052631578947,26.3055198973042,14.018220419343,6.12556530647286e-10,3.93506315287817e-06,3.93506315287817e-06,"Tap2/Nkg7/Cd2/Cadm1/H2-T23/H2-T22/B2m/Cd226",8
"GO:0001906","cell killing","9/41","314/25615",0.0286624203821656,17.907021904614,12.0696422220121,1.38409418509386e-09,4.44571052252148e-06,4.44571052252148e-06,"Tap2/Nkg7/Cd2/Cadm1/C2/H2-T23/H2-T22/B2m/Cd226",9
"GO:0002449","lymphocyte mediated immunity","10/41","482/25615",0.020746887966805,12.9617447626758,10.6151756612214,3.37262978052452e-09,7.22192457002985e-06,7.22192457002985e-06,"Tap2/Nkg7/Cd2/Cadm1/C2/H2-T23/H2-T22/B2m/Cd226/Cd274",10
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","6/41","100/25615",0.06,37.4853658536585,14.6370049484619,1.22435449258291e-08,1.96631331508816e-05,1.96631331508816e-05,"Tap2/Cadm1/H2-T23/H2-T22/B2m/Cd226",6
"GO:0031343","positive regulation of cell killing","6/41","104/25615",0.0576923076923077,36.0436210131332,14.3381527808639,1.55120281299248e-08,1.99298537413274e-05,1.99298537413274e-05,"Tap2/Cadm1/H2-T23/H2-T22/B2m/Cd226",6
"GO:0002237","response to molecule of bacterial origin","9/41","459/25615",0.0196078431372549,12.2501195600191,9.73809457833893,3.71177785089894e-08,3.97407681902913e-05,3.97407681902913e-05,"Nos2/Mgst1/Tap2/Fos/Cx3cl1/Ido1/Fasl/B2m/Cd274",9
"GO:0070231","T cell apoptotic process","5/41","66/25615",0.0757575757575758,47.330007390983,15.0896332554274,6.78779483206979e-08,6.22925628588805e-05,6.22925628588805e-05,"Prkcq/Ccl5/Ido1/Fasl/Cd274",5
"GO:0001910","regulation of leukocyte mediated cytotoxicity","6/41","139/25615",0.0431654676258993,26.9678891033515,12.2916370651589,8.81043015134589e-08,6.82499156383885e-05,6.82499156383885e-05,"Tap2/Cadm1/H2-T23/H2-T22/B2m/Cd226",6
"GO:0070661","leukocyte proliferation","8/41","363/25615",0.0220385674931129,13.7687294228314,9.81034785432501,9.5699987221934e-08,6.82499156383885e-05,6.82499156383885e-05,"Ctla4/Prkcq/Zap70/Ccl5/Cx3cl1/Ido1/Ikzf3/Cd274",8
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","7/41","247/25615",0.0283400809716599,17.7056383924163,10.5633030436236,1.2105039991872e-07,6.82499156383885e-05,6.82499156383885e-05,"Tap2/Prkcq/H2-T23/H2-T22/B2m/Cd226/Cd274",7
"GO:0002706","regulation of lymphocyte mediated immunity","7/41","249/25615",0.0281124497991968,17.563424429425,10.5161097666471,1.27870798414147e-07,6.82499156383885e-05,6.82499156383885e-05,"Tap2/Cadm1/H2-T23/H2-T22/B2m/Cd226/Cd274",7
"GO:0050670","regulation of lymphocyte proliferation","7/41","249/25615",0.0281124497991968,17.563424429425,10.5161097666471,1.27870798414147e-07,6.82499156383885e-05,6.82499156383885e-05,"Ctla4/Prkcq/Zap70/Ccl5/Ido1/Ikzf3/Cd274",7
"GO:0032944","regulation of mononuclear cell proliferation","7/41","252/25615",0.0277777777777778,17.3543360433604,10.4463404926187,1.38708539821542e-07,6.82499156383885e-05,6.82499156383885e-05,"Ctla4/Prkcq/Zap70/Ccl5/Ido1/Ikzf3/Cd274",7
"GO:0031341","regulation of cell killing","6/41","154/25615",0.038961038961039,24.3411466582198,11.6325819270663,1.61833967201921e-07,6.82499156383885e-05,6.82499156383885e-05,"Tap2/Cadm1/H2-T23/H2-T22/B2m/Cd226",6
"GO:1903037","regulation of leukocyte cell-cell adhesion","8/41","393/25615",0.0203562340966921,12.717681375287,9.37301904854066,1.75527750840207e-07,6.82499156383885e-05,6.82499156383885e-05,"Ctla4/Prkcq/Lck/Zap70/Ccl5/Ido1/B2m/Cd274",8
"GO:0050863","regulation of T cell activation","8/41","394/25615",0.0203045685279188,12.6854029961619,9.35926954270776,1.78958796711542e-07,6.82499156383885e-05,6.82499156383885e-05,"Ctla4/Prkcq/Lck/Zap70/Ccl5/Ido1/B2m/Cd274",8
"GO:0002819","regulation of adaptive immune response","7/41","262/25615",0.0267175572519084,16.6919568050642,10.2221999571437,1.80611545120268e-07,6.82499156383885e-05,6.82499156383885e-05,"Tap2/Prkcq/H2-T23/H2-T22/B2m/Cd226/Cd274",7
"GO:0070663","regulation of leukocyte proliferation","7/41","274/25615",0.0255474452554745,15.9609222004629,9.96903388147488,2.44544219827491e-07,8.72751148984335e-05,8.72751148984335e-05,"Ctla4/Prkcq/Zap70/Ccl5/Ido1/Ikzf3/Cd274",7
"GO:0050852","T cell receptor signaling pathway","6/41","168/25615",0.0357142857142857,22.3127177700348,11.0970228527882,2.70565121508383e-07,8.99987830983599e-05,8.99987830983599e-05,"Ctla4/Lck/Fyb1/Zap70/Cd226/Cd274",6
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/41","169/25615",0.0355029585798817,22.1806898542358,11.0612699748077,2.80195464191656e-07,8.99987830983599e-05,8.99987830983599e-05,"Tap2/Prkcq/H2-T23/H2-T22/B2m/Cd226",6
"GO:0002708","positive regulation of lymphocyte mediated immunity","6/41","172/25615",0.0348837209302326,21.7938173567782,10.9558377013187,3.10791577764388e-07,9.50726235980204e-05,9.50726235980204e-05,"Tap2/Cadm1/H2-T23/H2-T22/B2m/Cd226",6
"GO:0050727","regulation of inflammatory response","8/41","434/25615",0.0184331797235023,11.5162414296954,8.84708554823718,3.72826223620135e-07,0.0001062041056328,0.0001062041056328,"Zbp1/Nkg7/Aoah/Ccl5/Apoe/Cx3cl1/Ido1/Hpse",8
"GO:0002821","positive regulation of adaptive immune response","6/41","178/25615",0.0337078651685393,21.0591942998082,10.752806777018,3.80245085547073e-07,0.0001062041056328,0.0001062041056328,"Tap2/Prkcq/H2-T23/H2-T22/B2m/Cd226",6
"GO:0007159","leukocyte cell-cell adhesion","8/41","438/25615",0.0182648401826484,11.4110702750863,8.79957594483359,3.99606079367566e-07,0.000106961227244052,0.000106961227244052,"Ctla4/Prkcq/Lck/Zap70/Ccl5/Ido1/B2m/Cd274",8
"GO:0032496","response to lipopolysaccharide","8/41","443/25615",0.018058690744921,11.2822771568573,8.74105007357335,4.3538695969377e-07,0.000111877033162911,0.000111877033162911,"Nos2/Mgst1/Fos/Cx3cl1/Ido1/Fasl/B2m/Cd274",8
"GO:0042267","natural killer cell mediated cytotoxicity","5/41","97/25615",0.0515463917525773,32.2039225546895,12.328295696449,4.72016273614982e-07,0.000116624328527025,0.000116624328527025,"Tap2/Nkg7/Cd2/Cadm1/Cd226",5
"GO:0042129","regulation of T cell proliferation","6/41","191/25615",0.031413612565445,19.6258459966799,10.3452752941656,5.74985661888463e-07,0.000136803995998944,0.000136803995998944,"Ctla4/Prkcq/Zap70/Ccl5/Ido1/Cd274",6
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","4/41","42/25615",0.0952380952380952,59.5005807200929,15.1923614238376,6.04900320368437e-07,0.000138781416358816,0.000138781416358816,"Tap2/H2-T23/H2-T22/B2m",4
"GO:0002228","natural killer cell mediated immunity","5/41","103/25615",0.0485436893203883,30.3279659010182,11.9415197827216,6.36677499819566e-07,0.000141035043408307,0.000141035043408307,"Tap2/Nkg7/Cd2/Cadm1/Cd226",5
"GO:0002703","regulation of leukocyte mediated immunity","7/41","320/25615",0.021875,13.6665396341463,9.12949876499443,6.945166857529e-07,0.000146740134168639,0.000146740134168639,"Tap2/Cadm1/H2-T23/H2-T22/B2m/Cd226/Cd274",7
