"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0035458","cellular response to interferon-beta",61,-0.783787912072223,-1.99431693054843,1.30404824735809e-08,3.34983913781346e-06,3.34983913781346e-06,2565,"tags=62%, list=14%, signal=54%","383619/215243/226695/23961/16362/226691/23960/15957/114643/667214/15959/100040462/246730/15950/236312/15944/15953/20846/432555/229900/623121/55932/545384/54396/246729/100033459/102639543/16145/14469/16365/620913/240328/240327/60440/100039796/100702/225594/21822",0.747739663149885
"GO:0035456","response to interferon-beta",71,-0.765694889440556,-1.98678400271577,5.26137789927357e-09,1.83292339202233e-06,1.83292339202233e-06,2565,"tags=56%, list=14%, signal=49%","383619/215243/327959/226695/23961/16362/69550/226691/23960/15957/114643/667214/15959/100040462/246730/15950/236312/15944/15953/20846/432555/229900/623121/55932/545384/54396/246729/100033459/102639543/16145/14469/16365/620913/240328/240327/60440/100039796/100702/225594/21822",0.761460801445585
"GO:0050852","T cell receptor signaling pathway",152,-0.693533852371466,-1.95082931659312,1.65279216267768e-10,9.64930115337825e-08,9.64930115337825e-08,3697,"tags=49%, list=20%, signal=39%","240354/78473/226422/19165/16854/268749/16889/27028/21838/329260/234779/16792/101540/70809/12508/75454/12519/14462/76438/15170/16822/14127/12775/21682/12524/639781/230787/19264/242594/26365/23880/50723/12047/93675/77799/217303/54215/100038862/20371/234695/19260/328795/74015/232409/60533/77647/16768/16797/16818/12298/12504/16428/329919/108723/102640920/624681/18566/12500/58205/12231/12487/12503/12501/210757/22637/12477/12502/20400/67596/195564/242122/225825/12525/15978",0.826657301178302
"GO:0002228","natural killer cell mediated immunity",89,-0.728873534047033,-1.9356138193489,1.36169464375658e-08,3.36338577007876e-06,3.36338577007876e-06,2352,"tags=48%, list=13%, signal=42%","14991/17059/16173/13482/27278/26365/70450/54215/71740/11891/503550/19419/80782/20706/23900/30925/100043314/232408/54725/21355/16768/246256/14940/21354/84544/27007/243655/16643/16160/12481/14939/58179/320407/545378/83408/215900/16641/16642/20400/225825/72310/54698/16846",0.747739663149885
"GO:0001906","cell killing",226,-0.664382210193052,-1.93189525888438,1e-10,7.13555555555556e-08,7.13555555555556e-08,1909,"tags=39%, list=10%, signal=36%","12774/26365/17002/15042/70450/20299/54215/71740/15040/11891/503550/19419/80782/20706/23900/30925/21333/15039/12274/16197/317677/67405/100043314/56792/229900/232408/12010/55932/54725/21355/12263/15945/229898/54396/16768/14190/246256/50909/14938/16963/14940/16145/14964/21354/14469/14962/20290/27007/16904/243655/16643/16160/100579149/14972/12481/14939/58179/14942/320407/545378/20307/12266/14945/110557/83408/55985/14468/13421/15015/16641/15018/50908/18646/17329/16642/14990/667277/14943/16163/20400/14941/14944/13035/225825/72310/15013/54698/20277/16846",NA
"GO:0002429","immune response-activating cell surface receptor signaling pathway",311,-0.643699135557494,-1.92556303171835,1e-10,7.13555555555556e-08,7.13555555555556e-08,3765,"tags=46%, list=20%, signal=37%","14756/17096/14525/56620/240354/78473/226422/19165/17260/16854/268749/23921/16889/21899/27028/21838/329260/66166/234779/107321/16792/101540/70110/16409/70809/414084/12508/24088/226421/105855/27419/21897/75454/12519/14462/18019/76438/15170/64685/83433/16822/12475/233079/18755/14127/56743/12775/12267/21682/16803/23961/17174/17060/23960/327957/114643/246177/12524/639781/230787/66214/19264/83490/242594/14293/26365/23880/22259/50723/246730/12047/17002/93675/77799/15985/12517/217303/319430/54215/100038862/56644/20371/234695/503550/18126/18124/257632/19260/14289/16019/328795/74015/12483/232409/329693/12491/56792/60533/12507/77647/16768/246729/16797/16818/12298/12504/16365/27007/12902/240754/243655/16428/16643/329919/108723/102640920/624681/18566/58179/320407/12500/58205/12266/12231/12487/12503/12501/16641/12143/210757/22637/16642/14762/12477/12502/20400/67596/195564/242122/225825/12525/15978",NA
"GO:0042267","natural killer cell mediated cytotoxicity",83,-0.722224142179708,-1.90588384461643,1.1511219500361e-07,2.24888246066154e-05,2.24888246066154e-05,2352,"tags=47%, list=13%, signal=41%","14991/17059/16173/26365/70450/54215/71740/11891/503550/19419/80782/20706/23900/30925/100043314/232408/54725/21355/16768/246256/14940/21354/27007/243655/16643/16160/12481/14939/58179/320407/545378/83408/16641/16642/20400/225825/72310/54698/16846",0.704975715167238
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",336,-0.633102450318356,-1.90542641636248,1e-10,7.13555555555556e-08,7.13555555555556e-08,3765,"tags=47%, list=20%, signal=38%","14756/17096/14525/56620/240354/78473/226422/19165/17260/16854/268749/23921/16889/21899/27028/21838/329260/66166/234779/107321/18733/16792/101540/22324/70110/16409/70809/414084/12508/24088/226421/105855/14131/27419/21897/75454/12519/14462/18019/14130/76438/15170/64685/83433/16822/12475/233079/18755/14127/56743/12775/12267/21682/14129/16803/23961/17174/17060/23960/327957/114643/246177/12524/639781/230787/66214/19264/83490/242594/14293/52855/26365/23880/22259/16590/50723/246730/18725/12047/17002/93675/77799/21939/15985/12517/217303/319430/54215/100038862/56644/20371/232801/234695/503550/18126/18124/257632/233274/19260/208154/14289/16019/328795/74015/12483/232409/329693/17086/12491/14125/56792/60533/12507/77647/16768/246729/246256/16797/16818/12298/12504/16365/27007/12902/240754/243655/16428/16643/329919/108723/102640920/624681/18566/58179/320407/12500/58205/12266/12231/12487/12503/12501/16641/12143/210757/22637/16642/14762/12477/12502/20400/67596/18703/195564/242122/225825/12525/15978",NA
"GO:0002449","lymphocyte mediated immunity",316,-0.635131493769854,-1.90371258000777,1e-10,7.13555555555556e-08,7.13555555555556e-08,2943,"tags=43%, list=16%, signal=37%","22376/13032/105855/14131/67278/12519/14462/69583/13136/14130/12262/76438/15170/83433/20556/14127/17221/12122/74131/12260/15139/14129/12259/13036/14991/17059/14102/12268/224840/216799/21926/246177/53314/16173/19264/13482/27278/232371/54123/26365/238447/50723/14998/15894/230979/21939/15042/70450/50931/54215/21947/20371/71740/15040/11891/503550/19419/80782/257632/20737/20706/23900/30925/208154/15039/12274/16197/317677/16019/18762/100043314/14125/232408/12010/54725/60533/21355/12263/16992/16768/16149/15458/246256/50909/16963/14940/14964/21354/84544/27007/12902/16904/243655/16643/16182/16160/14972/12481/639510/777686/18566/14939/57765/58179/320407/16185/545378/12266/110557/83408/12487/15015/215900/16641/14347/15018/50908/18646/16642/14990/667277/209588/629906/20400/225825/72310/12516/11628/404711/12525/15013/15978/27218/54698/380795/100775175/16846",NA
"GO:0050851","antigen receptor-mediated signaling pathway",196,-0.658861546219905,-1.89728221306923,1e-10,7.13555555555556e-08,7.13555555555556e-08,3739,"tags=47%, list=20%, signal=38%","17096/14525/240354/78473/226422/19165/17260/16854/268749/23921/16889/27028/21838/329260/234779/107321/16792/101540/70809/12508/105855/75454/12519/14462/18019/76438/15170/16822/18755/14127/56743/12775/21682/17060/12524/639781/230787/19264/242594/26365/23880/50723/12047/93675/77799/15985/12517/217303/54215/100038862/20371/234695/19260/16019/328795/74015/12483/232409/329693/56792/60533/12507/77647/16768/16797/16818/12298/12504/240754/16428/329919/108723/102640920/624681/18566/12500/58205/12231/12487/12503/12501/12143/210757/22637/12477/12502/20400/67596/195564/242122/225825/12525/15978",NA
