"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"CUI_T_CELL_GD_IFNG_RESPONSE_UP","CUI_T_CELL_GD_IFNG_RESPONSE_UP",115,-0.784163333511462,-2.15431969168605,1e-10,9.57677786378069e-10,5.12628106036674e-10,2819,"tags=64%, list=15%, signal=55%","19331/672511/64685/100038882/76933/80285/67775/225845/56045/80287/19186/12703/209086/327959/209200/16362/20847/319236/69550/17069/15900/109032/15957/547253/15959/213233/19171/16421/100040462/21356/54123/19039/13040/20128/236451/20555/15950/67138/15040/15944/15953/20846/16161/15039/246727/229900/12010/623121/110454/58203/60533/21355/236573/15945/16913/229898/54396/16912/20715/102639543/16145/76074/21354/14469/434341/14972/17472/60440/100039796/100702/15015/215900/238393/21822",NA
"CUI_T_CELL_CD4_IFNG_RESPONSE_UP","CUI_T_CELL_CD4_IFNG_RESPONSE_UP",123,-0.775031161098354,-2.14767048980251,1e-10,9.57677786378069e-10,5.12628106036674e-10,2842,"tags=71%, list=15%, signal=60%","101187/672511/64685/69774/100038882/76933/80285/24110/67775/225845/17067/276950/56045/80287/19186/12703/209086/327959/209200/16362/20847/319236/69550/17069/327978/15900/109032/231712/15957/547253/15959/213233/107526/19171/16421/100040462/21356/11872/54123/23962/13040/20128/14998/108670/236451/20555/15950/434484/27356/15040/15944/15953/667373/20846/15039/64380/246727/229900/12010/623121/55932/110454/58203/60533/21355/236573/16913/229898/54396/16912/100033459/102639543/16145/76074/14964/21354/14469/434341/14972/17472/60440/100039796/100702/15015/215900/60361/21822",NA
"CUI_TREG_IFNA1_RESPONSE_UP","CUI_TREG_IFNA1_RESPONSE_UP",239,-0.725189111894815,-2.13670564384434,1e-10,9.57677786378069e-10,5.12628106036674e-10,3322,"tags=55%, list=18%, signal=46%","434219/76681/58185/16391/75731/671535/20970/70110/12700/15951/142688/20491/101187/243771/672511/64685/69774/100038882/76933/80285/24110/22436/20556/67775/225845/15958/276950/56045/80287/19186/12703/209086/327959/11980/209200/17857/16362/20847/319236/54199/69550/209387/17069/327978/667370/71586/109032/231655/231712/20821/15957/12524/22169/80861/547253/15959/19171/100040462/21356/13482/54123/19039/108116/94094/99899/219131/23962/246730/20684/13040/20128/245240/108670/236451/234311/20555/74153/15950/209488/434484/13058/625360/56791/236312/67138/15040/15944/15953/270152/667373/20846/16161/15039/64380/246727/229900/12010/623121/55932/110454/58203/60533/21355/236573/15945/545384/16913/229898/54396/16768/16912/20715/100033459/102639543/16145/76074/14964/21354/14469/434341/75345/14972/12481/17472/16185/110557/60440/100039796/100702/15015/15018/60361",NA
"CUI_T_CELL_CD4_IL18_RESPONSE_UP","CUI_T_CELL_CD4_IL18_RESPONSE_UP",110,-0.779358474647394,-2.13458444891661,1e-10,9.57677786378069e-10,5.12628106036674e-10,3332,"tags=76%, list=18%, signal=63%","18128/76681/67759/18715/16391/75731/70110/672511/64685/69774/100038882/76933/80285/24110/67775/225845/17067/56045/80287/19186/12703/209086/327959/209200/16362/20847/319236/69550/17069/327978/15900/109032/15957/547253/15959/213233/107526/19171/100040462/21356/54123/23962/13040/20128/15894/236451/20555/15950/434484/27356/15040/15944/15953/667373/20846/15039/64380/229900/12010/623121/55932/110454/58203/60533/21355/236573/16913/229898/54396/16912/102639543/16145/76074/21354/14469/434341/14972/17472/60440/100039796/100702/215900/60361/21822",NA
"CUI_B_CELL_IL18_RESPONSE_UP","CUI_B_CELL_IL18_RESPONSE_UP",97,-0.78480226554126,-2.12904584630348,1e-10,9.57677786378069e-10,5.12628106036674e-10,2679,"tags=62%, list=14%, signal=53%","80285/20556/67775/225845/56045/19186/12703/327959/16362/20847/319236/69550/15900/547253/213233/107526/19171/100040462/18768/13040/15894/317758/17476/236451/231507/15950/78416/66222/231932/15040/15944/15953/20846/15039/64380/229900/12010/55932/110454/58203/21355/236573/16913/229898/54396/16912/20715/16145/21354/14469/434341/75345/14972/17472/83408/60440/100039796/15015/215900/238393",NA
"CUI_TREG_IFNG_RESPONSE_UP","CUI_TREG_IFNG_RESPONSE_UP",79,-0.812302968568973,-2.11836105811001,1e-10,9.57677786378069e-10,5.12628106036674e-10,2786,"tags=78%, list=15%, signal=67%","672511/64685/100038882/76933/80285/24110/225845/56045/80287/19186/12703/327959/209200/16362/20847/69550/17069/15900/15957/547253/15959/213233/107526/19171/100040462/21356/54123/19039/236451/56791/15040/15944/15953/667373/20846/15039/229900/12010/623121/55932/110454/58203/21355/236573/16913/229898/54396/16912/20715/102639543/16145/76074/14964/21354/14469/14972/17472/83408/60440/100702/15015/215900",NA
"CUI_CDC2_IFNK_RESPONSE_UP","CUI_CDC2_IFNK_RESPONSE_UP",133,-0.749839347647498,-2.11703948120904,1e-10,9.57677786378069e-10,5.12628106036674e-10,3820,"tags=75%, list=20%, signal=60%","16848/381308/19188/57444/66552/59027/11898/20375/98999/18950/58185/16181/20970/70110/14824/231821/15951/73656/243771/672511/15170/64685/69774/100038882/76933/80285/24110/22436/20556/67775/14127/54445/15162/15958/276950/56045/14129/327959/20847/23833/319236/69550/209387/226691/17069/327978/667370/71586/109032/231712/219132/15957/80861/547253/15959/19171/100040462/21356/54123/19039/17084/50723/94094/219131/23962/246730/20684/20128/108670/17476/236451/234311/20555/74153/15950/56791/236312/67138/15040/15944/15953/20846/15039/64380/246728/246727/229900/623121/110454/58203/236573/15945/16913/14190/102639543/16145/14964/14469/60440/17329",NA
"CUI_B_CELL_IFNG_RESPONSE_UP","CUI_B_CELL_IFNG_RESPONSE_UP",124,-0.761868297583368,-2.11255717558903,1e-10,9.57677786378069e-10,5.12628106036674e-10,2819,"tags=56%, list=15%, signal=48%","19331/672511/64685/100038882/76933/80285/20556/67775/54445/225845/170743/56045/19186/12703/327959/16362/20847/69550/15900/109032/231712/20821/22169/547253/213233/107526/19171/100040462/21356/18768/13040/15894/17476/236451/20555/231507/434484/13058/236312/67138/15040/15944/15953/20846/15039/64380/229900/12010/623121/55932/110454/58203/60533/236573/545384/16913/229898/16912/20715/100033459/16145/21354/14469/434341/14972/17472/100039796/215900/238393",NA
"CUI_T_CELL_CD8_IFNG_RESPONSE_UP","CUI_T_CELL_CD8_IFNG_RESPONSE_UP",84,-0.80941458778341,-2.10926592144786,1e-10,9.57677786378069e-10,5.12628106036674e-10,2786,"tags=80%, list=15%, signal=68%","672511/64685/100038882/76933/80285/67775/225845/56045/80287/19186/12703/209086/327959/209200/16362/69550/17069/15900/109032/547253/15959/213233/107526/19171/100040462/21356/54123/19039/23962/13040/14998/20555/231507/15950/434484/15040/15944/15953/20846/15039/246727/229900/12010/623121/55932/110454/58203/60533/21355/236573/16913/229898/54396/16912/102639543/16145/76074/14964/21354/14469/434341/17472/60440/100039796/100702/15015/215900",NA
"CUI_T_CELL_GD_IFNB_RESPONSE_UP","CUI_T_CELL_GD_IFNB_RESPONSE_UP",319,-0.703989527730356,-2.10250729272444,1e-10,9.57677786378069e-10,5.12628106036674e-10,3326,"tags=49%, list=18%, signal=41%","12363/434219/76681/64136/58185/16391/75731/671535/68487/70110/14824/15951/142688/101187/19331/243771/13063/672511/64685/69774/100038882/76933/217203/80285/24110/20556/67775/54445/225845/15958/70086/276950/56045/80287/19186/237886/12703/209086/70082/327959/11980/209200/17857/16071/16362/20847/241633/252903/319236/54199/69550/209387/17069/327978/667370/71586/15900/109032/231655/231712/219132/20821/15957/12524/22169/80861/547253/15959/213233/19171/100040462/21356/13482/54123/19039/108116/94094/99899/219131/23962/246730/20684/74735/13040/20128/12515/15894/245240/108670/236451/234311/20555/231507/74153/15950/16186/209488/434484/625360/27356/56791/236312/67138/15040/15944/12362/15953/270152/667373/20846/16161/15039/64380/246728/246727/229900/12010/623121/55932/110454/58203/60533/21355/236573/15945/545384/16913/229898/54396/22035/16912/14938/100033459/102639543/16145/76074/14964/21354/14469/434341/75345/108723/14972/12481/17472/60440/100039796/100702/215900/56222/15018/545192/60361/17329/21822",NA
