"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CUI_T_CELL_CD4_IL18_RESPONSE_UP","CUI_T_CELL_CD4_IL18_RESPONSE_UP","9/32","110/5981",0.0818181818181818,15.2923295454545,11.0955010913543,3.41163007113671e-09,1.86275001884064e-06,1.86275001884064e-06,"58203/21355/15953/15957/15040/15039/12010/60361/60533",9
"CUI_T_CELL_CD4_IFNG_RESPONSE_UP","CUI_T_CELL_CD4_IFNG_RESPONSE_UP","9/32","123/5981",0.0731707317073171,13.6760670731707,10.417559683302,9.23681851560426e-09,2.52165145475996e-06,2.52165145475996e-06,"58203/21355/15953/15957/15040/15039/12010/60361/60533",9
"CUI_TREG_IFNA1_RESPONSE_UP","CUI_TREG_IFNA1_RESPONSE_UP","11/32","239/5981",0.0460251046025105,8.60237970711297,8.79671476427968,2.02510603089782e-08,3.40730862833192e-06,3.40730862833192e-06,"58203/21355/270152/15953/15957/12481/15040/15039/12010/60361/60533",11
"CUI_NK_CELL_IL18_RESPONSE_DN","CUI_NK_CELL_IL18_RESPONSE_DN","13/32","379/5981",0.0343007915567282,6.41103232189974,7.98236858769396,2.49619679731276e-08,3.40730862833192e-06,3.40730862833192e-06,"58203/18761/16818/72310/14281/27052/20304/12481/15040/14103/14282/60361/22780",13
"CUI_TREG_IL27_RESPONSE_UP","CUI_TREG_IL27_RESPONSE_UP","5/32","19/5981",0.263157894736842,49.1858552631579,15.4277993927922,3.48827593070701e-08,3.80919731633206e-06,3.80919731633206e-06,"58203/21355/15953/12481/15040",5
"CUI_T_CELL_GD_IL27_RESPONSE_UP","CUI_T_CELL_GD_IL27_RESPONSE_UP","6/32","42/5981",0.142857142857143,26.7008928571429,12.2580048930174,6.55114813280763e-08,5.96154480085494e-06,5.96154480085494e-06,"58203/21355/15953/15040/15039/12010",6
"CUI_T_CELL_GD_IFNG_RESPONSE_UP","CUI_T_CELL_GD_IFNG_RESPONSE_UP","8/32","115/5981",0.0695652173913043,13.0021739130435,9.53106437770567,1.04726524239866e-07,8.16866889070951e-06,8.16866889070951e-06,"58203/21355/15953/15957/15040/15039/12010/60533",8
"CUI_TREG_IFNG_RESPONSE_UP","CUI_TREG_IFNG_RESPONSE_UP","7/32","79/5981",0.0886075949367089,16.5613132911392,10.210894430239,1.38284220515829e-07,9.4378980502053e-06,9.4378980502053e-06,"58203/21355/15953/15957/15040/15039/12010",7
"CUI_T_CELL_CD4_IL2_RESPONSE_UP","CUI_T_CELL_CD4_IL2_RESPONSE_UP","7/32","81/5981",0.0864197530864197,16.1523919753086,10.0693467560077,1.64659245199932e-07,9.650577787748e-06,9.650577787748e-06,"58203/21355/15953/15040/15039/12010/60533",7
"CUI_T_CELL_CD4_IFNB_RESPONSE_UP","CUI_T_CELL_CD4_IFNB_RESPONSE_UP","11/32","297/5981",0.037037037037037,6.9224537037037,7.67814768386166,1.90670200888991e-07,9.650577787748e-06,9.650577787748e-06,"58203/21355/270152/15953/15957/12481/15040/15039/12010/60361/60533",11
