"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002833","positive regulation of response to biotic stimulus","123/650","485/25615",0.25360824742268,9.99411578112609,32.2673050358539,1.32612693920183e-87,8.51903945743257e-84,8.51903945743257e-84,"Ifi207/Cd300a/Irgm1/Gsdmd/Tifa/Gbp7/Aim2/Lacc1/Unc93b1/Znfx1/Ifi206/Trim25/Slc15a3/Dpp4/Zbp1/Oas1a/P2rx7/Ripk2/Casp1/Clec7a/Ly86/Irf1/Nod1/Cd86/Ifi214/Irf7/Irf5/Gimap3/Klrc1/Tnf/Clec4n/Tlr9/Gbp2/Klrk1/Cd300lf/Tlr11/Irgm2/Il18rap/Klrb1c/Rigi/Cd180/Klre1/Oas1g/Clec4e/Vav1/Pld4/Parp9/Tlr8/Cd74/Fpr2/Klrc2/Ifi204/Ifi213/Ifi205/Nr1h3/Tlr12/Plcg2/Ifi35/Treml4/Oas1b/Slamf6/Tasl/Scimp/Lag3/Ifi203/Klri2/Klrd1/Mefv/Xcl1/Ifih1/Tnip3/Nlrc5/Pik3ap1/Ifi211/Crtam/Casp4/Tyrobp/Gbp2b/Oas3/Igtp/Nlrp3/Irf4/Cd226/Smpdl3b/Mapkapk3/Trim30a/Sh2d1a/Acod1/Tlr2/Trim30d/H2-M3/Ikbke/Cd160/Rnf135/Eif2ak2/Ddx60/Rsad2/Prf1/Trim12c/Il12b/Dhx58/Cadm1/Ifi209/Ptpn6/Gbp5/Tifab/Traf3ip3/Ifi208/Mndal/Cd274/Tlr1/Gzmb/Nmi/Irf2/Tnfaip3/Gbp3/Tlr3/Rasgrp1/Oasl1/Gzmc/Ptpn22/Cd14/Syk",123
"GO:0045089","positive regulation of innate immune response","118/650","454/25615",0.259911894273128,10.2425279566249,32.0615375895198,2.82722766848674e-85,9.08105527117942e-82,9.08105527117942e-82,"Ifi207/Cd300a/Irgm1/Gsdmd/Tifa/Gbp7/Aim2/Lacc1/Unc93b1/Znfx1/Ifi206/Trim25/Slc15a3/Dpp4/Zbp1/Oas1a/P2rx7/Ripk2/Casp1/Clec7a/Irf1/Nod1/Cd86/Ifi214/Irf7/Irf5/Gimap3/Klrc1/Tnf/Clec4n/Tlr9/Gbp2/Klrk1/Cd300lf/Tlr11/Irgm2/Il18rap/Klrb1c/Rigi/Klre1/Oas1g/Clec4e/Vav1/Pld4/Parp9/Tlr8/Cd74/Fpr2/Klrc2/Ifi204/Ifi213/Ifi205/Nr1h3/Tlr12/Plcg2/Ifi35/Treml4/Oas1b/Slamf6/Tasl/Scimp/Lag3/Ifi203/Klri2/Klrd1/Mefv/Xcl1/Ifih1/Tnip3/Nlrc5/Pik3ap1/Ifi211/Crtam/Casp4/Tyrobp/Gbp2b/Oas3/Igtp/Nlrp3/Irf4/Cd226/Smpdl3b/Mapkapk3/Trim30a/Sh2d1a/Acod1/Tlr2/Trim30d/H2-M3/Ikbke/Cd160/Rnf135/Eif2ak2/Ddx60/Rsad2/Trim12c/Il12b/Dhx58/Cadm1/Ifi209/Ptpn6/Gbp5/Tifab/Traf3ip3/Ifi208/Mndal/Cd274/Tlr1/Nmi/Irf2/Tnfaip3/Gbp3/Tlr3/Rasgrp1/Oasl1/Ptpn22/Cd14/Syk",118
"GO:0002697","regulation of immune effector process","113/650","461/25615",0.245119305856833,9.65958618388119,30.2742692426011,1.72247270470552e-78,3.68838821834275e-75,3.68838821834275e-75,"Cd300a/Unc13d/H2-DMb2/Lacc1/Ptafr/Stap1/Ptprc/Fgl2/Il7r/Was/Spn/Dpp4/H2-DMb1/H2-Q6/Sash3/Ccl2/P2rx7/Pnp/H2-K1/Itgam/Tap1/Ripk2/Clec7a/Il18r1/Irf1/Itgb2/Cd86/Laptm5/Irf5/Gimap3/B2m/Klrc1/Fgr/Tnf/Rac2/Cd22/Tlr9/C3/H2-Q4/Dnase1l3/Klrk1/Clec2d/H2-T23/H2-T22/Cd27/Sell/Il18rap/Fcer1g/Klrb1c/Rigi/Klre1/Vav1/Nr4a3/Tlr8/Cd74/Klrc2/Tap2/Cd84/Plcg2/Tigit/Cd40/Slamf6/Fcgr1/Scimp/Lag3/Ccr2/Klri2/Klrd1/Sectm1a/Cd69/Xcl1/Il1b/Klrb1b/Pik3r6/Crtam/Tyrobp/Nfkbid/Fcgr3/Ncf1/Nlrp3/Cd226/Slamf8/Sh2d1a/Gab2/Tlr2/H2-M3/Malt1/Cd160/H2-D1/Ddx60/Rsad2/H2-T24/Ifng/Cd96/Il12b/Tbx21/Dhx58/H2-Q7/Cadm1/Pdcd1/Nckap1l/Ptpn6/Serpinb9/Inpp5d/Cd274/H2-M2/Stxbp2/Calhm6/Tnfaip3/Tlr3/Rasgrp1/Ptpn22/Syk",113
"GO:0007159","leukocyte cell-cell adhesion","105/650","438/25615",0.23972602739726,9.44704952581665,28.7719768053104,9.98563095557902e-72,1.60369233146599e-68,1.60369233146599e-68,"Lax1/Cd300a/Rhoh/Irgm1/H2-DMb2/Ptafr/Ptprc/Fgl2/Tarm1/Il7r/Pdcd1lg2/H2-DMa/Spn/Itgax/Zap70/Il7/Dpp4/H2-DMb1/Sash3/Ccl2/Pnp/Pag1/Itgam/Ripk2/Tnfsf13b/Sirpb1a/Irf1/Itgb2/H2-Aa/Cd86/Laptm5/Cd6/Gimap3/B2m/Tnf/Rac2/Cd4/Icam1/Cd27/Sell/Card11/H2-Ob/Vav1/Itgal/Nr4a3/Cd74/Il2ra/Cd83/Ccl5/Ctla4/Il1a/H2-Oa/Tigit/Slfn1/H2-Eb1/Lag3/Ccr2/Cd69/Xcl1/Il1b/Pik3r6/Icos/Crtam/Nfkbid/Socs1/Aif1/Nlrp3/Zc3h12d/Itga4/Carmil2/Il2rg/Malt1/Cd160/H2-Ab1/Il12rb1/Icosl/Ifng/Il12b/Lck/Sema4d/Ikzf1/Tbx21/Tnfaip8l2/Pdcd1/Nckap1l/Ptpn6/Selplg/Ccdc88b/Coro1a/Cd274/Vcam1/Cd3e/Rasal3/Ido1/Fcho1/Gpr35/Cd5/Rasgrp1/Sirpb1b/Gpr65/F11r/Ptpn22/Runx3/Syk/Sirpa",105
"GO:0002218","activation of innate immune response","98/650","377/25615",0.259946949602122,10.2439094062436,29.1761836100841,1.64806241814778e-70,2.11743059483627e-67,2.11743059483627e-67,"Ifi207/Cd300a/Irgm1/Gsdmd/Tifa/Gbp7/Aim2/Lacc1/Unc93b1/Znfx1/Ifi206/Trim25/Slc15a3/Zbp1/Oas1a/P2rx7/Ripk2/Casp1/Clec7a/Irf1/Nod1/Cd86/Ifi214/Irf7/Irf5/Klrc1/Tnf/Clec4n/Tlr9/Gbp2/Klrk1/Cd300lf/Tlr11/Irgm2/Rigi/Klre1/Oas1g/Clec4e/Pld4/Tlr8/Klrc2/Ifi204/Ifi213/Ifi205/Nr1h3/Tlr12/Plcg2/Ifi35/Treml4/Oas1b/Tasl/Scimp/Ifi203/Klri2/Klrd1/Mefv/Ifih1/Tnip3/Pik3ap1/Ifi211/Casp4/Tyrobp/Gbp2b/Oas3/Igtp/Nlrp3/Irf4/Smpdl3b/Mapkapk3/Trim30a/Acod1/Tlr2/Trim30d/Ikbke/Rnf135/Eif2ak2/Ddx60/Rsad2/Trim12c/Dhx58/Ifi209/Ptpn6/Gbp5/Tifab/Traf3ip3/Ifi208/Mndal/Cd274/Tlr1/Nmi/Irf2/Tnfaip3/Gbp3/Tlr3/Oasl1/Ptpn22/Cd14/Syk",98
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","97/650","369/25615",0.262872628726287,10.3592036689598,29.2203482834187,2.77020915983186e-70,2.96597060712665e-67,2.96597060712665e-67,"Lax1/Cd300a/Pirb/Stap1/Ptprc/Nos2/Lair1/Pdcd1lg2/Zap70/Oas1a/Clec4d/Cd53/Itgam/Ripk2/Cd8a/Nfatc2/Clec7a/Itk/Cd86/Fyb1/Laptm5/Lcp2/Klrc1/Cd22/Ptprj/Clec4n/C3ar1/Cd4/C3/Klrk1/Clec2d/Fcgr4/Fcer1g/Card11/Klre1/Oas1g/Clec4e/Vav1/Nr4a3/Fpr2/Klrc2/Lat/Ctla4/Nr1h3/Plcg2/Lpxn/Cd3d/Cd40/Ifi35/Oas1b/Cmklr1/Fcgr1/Scimp/Themis/Lag3/Lilra5/Klri2/Klrd1/Tnip3/Bcl2a1d/Pik3ap1/Tyrobp/Nfkbid/Fcgr3/Fcgr2b/Cd226/Myo1g/Cd3g/Sh2d1a/Carmil2/Acod1/Tlr2/Themis2/Malt1/Cd160/Fpr1/Icosl/Ifng/Lck/Ncr1/Pdcd1/Nckap1l/Ptpn6/Prkch/Cd274/Tlr1/Cd3e/Nmi/Ubash3a/Cd72/Tnfaip3/Fcho1/Cd5/Ptpn22/Cd247/Cd14/Syk",97
"GO:0002703","regulation of leukocyte mediated immunity","91/650","320/25615",0.284375,11.2065625,29.6460435551693,3.00769304473588e-69,2.76020287419761e-66,2.76020287419761e-66,"Cd300a/Unc13d/Ptafr/Stap1/Ptprc/Il7r/Was/Spn/Dpp4/H2-Q6/Sash3/Ccl2/P2rx7/Pnp/H2-K1/Itgam/Tap1/Clec7a/Il18r1/Itgb2/Gimap3/B2m/Klrc1/Fgr/Tnf/Rac2/Tlr9/C3/H2-Q4/Dnase1l3/Klrk1/Clec2d/H2-T23/H2-T22/Sell/Il18rap/Fcer1g/Klrb1c/Rigi/Klre1/Vav1/Klrc2/Tap2/Cd84/Plcg2/Tigit/Cd40/Slamf6/Fcgr1/Scimp/Lag3/Ccr2/Klri2/Klrd1/Sectm1a/Xcl1/Il1b/Klrb1b/Pik3r6/Crtam/Tyrobp/Fcgr3/Nlrp3/Cd226/Sh2d1a/Gab2/Tlr2/H2-M3/Malt1/Cd160/H2-D1/Rsad2/H2-T24/Ifng/Cd96/Il12b/Tbx21/H2-Q7/Cadm1/Pdcd1/Nckap1l/Ptpn6/Serpinb9/Inpp5d/Cd274/H2-M2/Stxbp2/Calhm6/Tlr3/Rasgrp1/Syk",91
"GO:1903037","regulation of leukocyte cell-cell adhesion","98/650","393/25615",0.249363867684478,9.82685457036602,28.4539183876659,1.2692175191129e-68,1.01918166784766e-65,1.01918166784766e-65,"Lax1/Cd300a/Rhoh/Irgm1/H2-DMb2/Ptafr/Ptprc/Fgl2/Tarm1/Il7r/Pdcd1lg2/H2-DMa/Spn/Zap70/Il7/Dpp4/H2-DMb1/Sash3/Ccl2/Pnp/Pag1/Ripk2/Tnfsf13b/Sirpb1a/Irf1/Itgb2/H2-Aa/Cd86/Laptm5/Cd6/Gimap3/B2m/Tnf/Cd4/Icam1/Cd27/Sell/Card11/H2-Ob/Vav1/Itgal/Nr4a3/Cd74/Il2ra/Cd83/Ccl5/Ctla4/Il1a/H2-Oa/Tigit/Slfn1/H2-Eb1/Lag3/Ccr2/Cd69/Xcl1/Il1b/Pik3r6/Icos/Crtam/Nfkbid/Socs1/Aif1/Nlrp3/Zc3h12d/Itga4/Carmil2/Il2rg/Malt1/Cd160/H2-Ab1/Il12rb1/Icosl/Ifng/Il12b/Lck/Ikzf1/Tbx21/Tnfaip8l2/Pdcd1/Nckap1l/Ptpn6/Ccdc88b/Coro1a/Cd274/Vcam1/Cd3e/Rasal3/Ido1/Fcho1/Cd5/Rasgrp1/Sirpb1b/Gpr65/Ptpn22/Runx3/Syk/Sirpa",98
"GO:0050863","regulation of T cell activation","94/650","394/25615",0.238578680203046,9.40183522061695,27.1188154317757,7.10156213217405e-64,4.57384768744487e-61,4.57384768744487e-61,"Lax1/Cd300a/Rhoh/Irgm1/H2-DMb2/Ptprc/Fgl2/Tarm1/Il7r/Pdcd1lg2/H2-DMa/Spn/Zap70/Il7/Dpp4/H2-DMb1/Sash3/Ccl2/Pnp/Pag1/Ripk2/Tnfsf13b/Sirpb1a/Irf1/H2-Aa/Cd86/Laptm5/Cd6/Gimap3/B2m/Rac2/Cd4/Cd27/Card11/H2-Ob/Vav1/Itgal/Cd74/Lat/Il2ra/Cd83/Ccl5/Ctla4/Il1a/H2-Oa/Tigit/Slfn1/H2-Eb1/Lag3/Ccr2/Cd69/Xcl1/Il1b/Pik3r6/Icos/Crtam/Nfkbid/Socs1/Aif1/Nlrp3/Zc3h12d/Carmil2/Il2rg/Malt1/Cd160/H2-Ab1/Il12rb1/Icosl/Ifng/Il12b/Lck/Ikzf1/Tbx21/Tnfaip8l2/Pdcd1/Tox/Nckap1l/Ptpn6/Ccdc88b/Coro1a/Cd274/Vcam1/Cd3e/Rasal3/Ido1/Fcho1/Cd5/Rasgrp1/Sirpb1b/Gpr65/Ptpn22/Runx3/Syk/Sirpa",94
"GO:0001906","cell killing","86/650","314/25615",0.273885350318471,10.7931896129348,28.1740797582655,7.11993724695652e-64,4.57384768744487e-61,4.57384768744487e-61,"Unc13d/Gbp7/Stap1/Ptprc/Fgl2/Il7r/Ccl22/Gzmf/H2-Q6/Ccl2/P2rx7/Pnp/H2-K1/Itgam/Tap1/Gimap3/B2m/Klrc1/Ccr5/C3/H2-Q4/Gbp2/Dnase1l3/Klrk1/Clec2d/H2-T23/Ctsh/Fcgr4/H2-T22/Irgm2/Sell/Il18rap/Ctsc/Klrb1c/Klre1/Nkg7/Vav1/Cd2/Cfb/Klrc2/Tap2/Cxcl9/Tigit/Slamf6/Fcgr1/Lag3/Klri2/Klrd1/Xcl1/Klrb1b/Pik3r6/Crtam/Tyrobp/Gbp2b/Igtp/Fcgr3/Fcgr2b/Ncf1/Cd226/Sh2d1a/H2-M3/Cd160/H2-D1/C2/H2-T24/Prf1/Il12b/H2-Q7/Cadm1/Nckap1l/Ptpn6/Gbp5/Ccl1/Serpinb9/Lyz2/Inpp5d/Cxcl10/Coro1a/Gzmb/H2-M2/Stxbp2/Hcst/Gbp3/Rasgrp1/Rab27a/Gzmc",86
