"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030239","myofibril assembly","16/106","79/25615",0.20253164556962,48.9419632194889,27.5104594471804,3.94916666718748e-23,2.53694466700123e-19,2.53694466700123e-19,"Tnnt3/Actc1/Myoz1/Mybpc2/Tmod4/Neb/Krt19/Tmod1/Nrap/Ldb3/Acta1/Tcap/Myom2/Synpo2l/Mybpc1/Casq1",16
"GO:0055001","muscle cell development","21/106","247/25615",0.0850202429149798,20.5452219081812,19.8971505515426,7.5916496223949e-22,1.68403272544707e-18,1.68403272544707e-18,"Tnnt3/Trim63/Actc1/Myorg/Myoz1/Actn3/Mybpc2/Tmod4/Neb/Bin1/Krt19/Tmod1/Nrap/Ldb3/Acta1/Tcap/Myom2/Synpo2l/Col14a1/Mybpc1/Casq1",21
"GO:0055002","striated muscle cell development","20/106","210/25615",0.0952380952380952,23.0143755615454,20.6491099739996,7.86441185607286e-22,1.68403272544707e-18,1.68403272544707e-18,"Tnnt3/Trim63/Actc1/Myorg/Myoz1/Actn3/Mybpc2/Tmod4/Neb/Krt19/Tmod1/Nrap/Ldb3/Acta1/Tcap/Myom2/Synpo2l/Col14a1/Mybpc1/Casq1",20
"GO:0051146","striated muscle cell differentiation","24/106","406/25615",0.0591133004926108,14.284784831304,17.3934066498825,3.79838739573797e-21,6.10021015755519e-18,6.10021015755519e-18,"Tnnt3/Dmpk/Trim63/Actc1/Myorg/Myoz1/Actn3/Mybpc2/Tmod4/Popdc3/Neb/Rpl3l/Krt19/Tmod1/Nrap/Ldb3/Acta1/Tcap/Myom2/Synpo2l/Col14a1/Mybpc1/Casq1/Mylk2",24
"GO:0010927","cellular component assembly involved in morphogenesis","16/106","153/25615",0.104575163398693,25.2706868911086,19.4100406276811,2.73927687941269e-18,2.93285244555785e-15,2.93285244555785e-15,"Tnnt3/Actc1/Myoz1/Mybpc2/Tmod4/Neb/Krt19/Tmod1/Nrap/Ldb3/Acta1/Tcap/Myom2/Synpo2l/Mybpc1/Casq1",16
"GO:0032989","cellular anatomical entity morphogenesis","16/106","153/25615",0.104575163398693,25.2706868911086,19.4100406276811,2.73927687941269e-18,2.93285244555785e-15,2.93285244555785e-15,"Tnnt3/Actc1/Myoz1/Mybpc2/Tmod4/Neb/Krt19/Tmod1/Nrap/Ldb3/Acta1/Tcap/Myom2/Synpo2l/Mybpc1/Casq1",16
"GO:0006936","muscle contraction","21/106","386/25615",0.0544041450777202,13.1468129826963,15.5006852315399,7.90580542774309e-18,7.25527058111737e-15,7.25527058111737e-15,"Tnnt3/Mylpf/Dmpk/Trim63/Atp2a1/Myl1/Tnni2/Actc1/Actn3/Mybpc2/Tmod4/Rpl3l/Bin1/Tmod1/Tcap/Myom2/Myh4/Chrna1/Mybpc1/Casq1/Mylk2",21
"GO:0031032","actomyosin structure organization","17/106","223/25615",0.0762331838565022,18.4218207970217,16.8438915822036,5.0455326890988e-17,4.05156274934633e-14,4.05156274934633e-14,"Tnnt3/Limch1/Actc1/Myoz1/Mybpc2/Tmod4/Neb/Krt19/Tmod1/Nrap/Ldb3/Acta1/Tcap/Myom2/Synpo2l/Mybpc1/Casq1",17
"GO:0045214","sarcomere organization","11/106","56/25615",0.196428571428571,47.4671495956873,22.4394927565407,4.56022952660017e-16,3.25499049765328e-13,3.25499049765328e-13,"Tnnt3/Myoz1/Mybpc2/Neb/Krt19/Ldb3/Tcap/Myom2/Synpo2l/Mybpc1/Casq1",11
"GO:0003009","skeletal muscle contraction","9/106","54/25615",0.166666666666667,40.2751572327044,18.623907692036,1.14632611394034e-12,7.36399895595275e-10,7.36399895595275e-10,"Tnnt3/Dmpk/Atp2a1/Tnni2/Actn3/Tcap/Chrna1/Casq1/Mylk2",9
