"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",187,-0.758086081111265,-2.37157267667142,1e-10,1.25e-09,1.25e-09,3302,"tags=66%, list=17%, signal=55%","66988/67245/65972/74157/70082/66892/66141/22271/18854/18712/16363/268749/217069/56417/19106/66552/18950/22375/192656/14747/16168/19186/59027/230073/64685/229003/98999/15170/16822/12369/21929/16391/70110/17069/27056/22329/231712/14102/243771/14129/19188/58185/15900/672511/12703/109032/209086/12363/74735/12258/19039/107607/71586/327959/14938/16196/108670/17858/16362/19171/24110/72925/16154/21356/56045/100038882/20821/234311/80861/12362/231655/15958/20847/12524/20849/56791/21939/69550/15894/14998/12010/67775/140795/54123/67138/15959/16169/246728/14293/547253/22169/12515/16364/16185/99899/16149/110168/16913/22035/14962/14960/58203/12265/50908/20846/16912/246727/21354/209588/14190/55932/60533/434341/16068/16963/15945/74481/75345/20304/15930/71939/17329/15061",NA
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",198,0.815858419226594,2.29512647689728,1e-10,1.25e-09,1.25e-09,2243,"tags=45%, list=12%, signal=40%","11464/11474/12715/21393/17884/17901/53311/11937/19293/19309/21957/11459/76722/17930/12372/50795/17189/17907/21953/140781/15464/11423/59011/17897/24131/20190/17885/17878/13346/17906/11472/56642/56012/12299/20391/17929/14077/12391/17882/17879/13009/24053/12862/53412/18767/18125/11537/69253/12865/17883/56188/17928/18642/12955/13808/21925/14199/21955/14778/12373/22004/66402/18563/17880/12323/19223/83679/21952/21924/11435/23796/11636/16000/52250/19245/17260/20657/12759/30953/13527/14245/11790/17896/30051/77559/13143/29857/11515/13644/12908",NA
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",93,-0.769570148629988,-2.23540152600369,1e-10,1.25e-09,1.25e-09,3302,"tags=75%, list=17%, signal=62%","66988/65972/13709/74157/12799/66141/16363/268749/217069/56417/19106/22375/17454/212943/192656/16168/68487/19186/64685/229003/16391/70110/17069/231712/243771/19188/58185/319236/109032/80285/74153/209086/74735/19039/246730/71586/16196/108670/17858/16362/24110/100038882/20821/234311/80861/12362/231655/15958/20343/20847/56791/69550/12010/67775/54123/67138/15959/54199/547253/22169/99899/16149/16913/50908/16912/21354/55932/15945/74481/15061",NA
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",182,-0.689706730952558,-2.1544022256724,1e-10,1.25e-09,1.25e-09,2684,"tags=53%, list=14%, signal=46%","192656/12518/16168/16170/18752/21899/17076/17972/19073/22376/26411/15170/50723/15163/12519/16822/12772/142980/12578/24088/14102/80719/14130/14191/12480/16174/12516/15900/14744/12774/12703/17084/216799/18646/21897/50931/16414/19264/14938/13040/16196/19171/21356/18126/15002/15000/12524/20849/55985/21939/15894/14998/12010/16186/17086/54123/16176/12263/16161/12487/16408/12766/21355/15001/14939/12504/16364/16185/16149/16184/14103/21926/84544/16818/14960/16160/20846/20299/21354/16994/16643/12503/54698/12481/12501/22637/20304/12500/77647/16428/12502/12526/17329/12525/15978/54390/21947",NA
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",187,-0.621771347004575,-1.94512994557515,6.62930385161123e-10,6.62930385161123e-09,6.62930385161123e-09,2965,"tags=42%, list=16%, signal=36%","20530/18439/13733/19106/21336/11303/18438/12227/20312/12267/320207/12475/192656/14747/16168/24115/19734/233079/59027/15451/64685/50723/16822/17069/23845/380713/142980/24088/20295/18413/12506/16174/54483/20354/216799/50498/21897/16175/12986/16362/12775/19204/16154/21356/50778/20343/257632/21939/69550/15894/67775/54123/16176/13058/56221/16169/54199/14293/19419/56696/269346/12515/27218/16185/16992/16197/22035/16818/326623/16160/20299/17167/15945/20304/80901/17329/21948/16182",0.801215574617779
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",82,-0.585192917145341,-1.65654224518925,0.000415363290907642,0.0029668806493403,0.0029668806493403,3929,"tags=50%, list=21%, signal=40%","16178/16164/17874/16155/20310/12494/20306/12402/57914/18712/12768/11482/320207/12475/16391/12982/16401/24088/14102/16199/12703/50498/16196/12986/16362/26410/20847/55985/21673/16186/16176/16169/16161/16184/21926/20846/16994/15945/50905/17329/16182",0.49849310876659
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",175,-0.513958834664,-1.60436141891571,5.93466587982107e-05,0.000494555489985089,0.000494555489985089,3415,"tags=32%, list=18%, signal=26%","56212/72461/17096/66988/238130/18712/16363/16409/30955/12262/12259/16621/320207/14462/12349/13032/18753/11905/14710/22376/14127/110197/56193/13036/17394/16612/16822/12369/21929/210293/12363/12258/14938/13040/16362/12362/13482/227960/54123/12263/71753/19419/14939/14058/16818/14962/170638/50908/16912/70789/14068/12266/17002/20304/12279/21947",0.557332238758646
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",196,-0.466450051063562,-1.489590585543,0.000679247208648357,0.00424529505405223,0.00424529505405223,3404,"tags=30%, list=18%, signal=25%","12156/19217/12043/18986/66141/12444/64138/12700/319625/18712/11596/57319/170743/21943/22779/18438/18950/13813/12349/11905/19734/54139/17082/17829/21817/18755/21941/381319/74318/74734/12506/53314/15900/14744/12703/16407/22781/12522/16154/26410/20343/21936/12524/15985/13011/22163/16364/12773/16185/16184/22035/16994/14190/54167/55932/12477/15945/16182",0.477270815362862
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",190,0.53090710243238,1.48574403308973,0.00322939531110387,0.0146790695959267,0.0146790695959267,3604,"tags=31%, list=19%, signal=25%","19309/18682/56012/53412/52187/100042025/18534/14734/13808/103988/83553/12577/12032/16770/19017/16193/13615/19883/76459/11674/56485/15368/72157/13527/52331/16948/13179/11535/18654/14936/15417/50527/83397/17988/54200/57875/17872/18787/53374/105785/14447/15937/216558/14219/13636/13198/14281/76238/17859/74747/14385/22359/17748/20525/12575/74185/12778/14733",0.431707695803346
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",152,0.543734333341223,1.48304784450182,0.00267897416068224,0.0146790695959267,0.0146790695959267,1803,"tags=24%, list=10%, signal=22%","11464/12715/58916/66106/140781/20190/12299/53422/12804/235320/26549/98363/18948/18125/70355/20665/76257/16191/76703/81879/11686/73647/93735/54634/21908/13645/16008/67426/18604/84036/53883/50873/16533/13615/18440/20191/14570",0.431707695803346
