"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"CUI_TREG_IFNA1_RESPONSE_UP","CUI_TREG_IFNA1_RESPONSE_UP",239,-0.772354444454551,-2.51116417340158,1e-10,5.74736842105263e-10,5.10130723895588e-10,3242,"tags=65%, list=17%, signal=54%","12799/384309/66141/12444/75320/18854/12700/66940/16859/69774/217069/57440/56417/19106/81018/69028/17454/328833/20491/20970/19186/22436/30935/101187/142688/59027/671535/230073/64685/229003/98999/76933/16391/70110/17069/94094/75731/231712/245240/76681/243771/80287/19188/108116/58185/319236/672511/667373/12703/434219/15951/276950/209387/621823/109032/80285/20556/74153/209086/19039/628705/246730/71586/327959/13040/108670/327978/16362/100040462/19171/209200/219131/24110/21356/56045/100038882/20821/234311/80861/15957/20128/231655/15958/20343/13482/20847/12524/667370/20684/15950/56791/69550/236451/434484/17857/12010/67775/23962/54123/67138/13058/64380/15959/625360/16161/54199/15039/15040/547253/236312/22169/100033459/15953/21355/14964/16185/99899/270152/623121/15944/16913/20555/14972/58203/110454/54396/20846/16912/229900/102639543/246727/21354/236573/110557/15018/16768/55932/20715/60533/15015/434341/209488/16145/100039796/12481/60361/15945/14469/545384/229898/75345/76074/100702/60440/17472",NA
"CUI_T_CELL_CD4_IFNA1_RESPONSE_UP","CUI_T_CELL_CD4_IFNA1_RESPONSE_UP",330,-0.742362355853958,-2.4829719701927,1e-10,5.74736842105263e-10,5.10130723895588e-10,3242,"tags=55%, list=17%, signal=46%","12799/384309/71684/66141/67938/12444/75320/18854/18712/66940/16363/16859/69774/67759/93694/217069/56417/19106/81018/69028/12508/18950/17454/328833/70617/20491/20970/19186/30935/101187/142688/54563/59027/671535/230073/64685/229003/98999/76933/16391/70110/17069/80898/232201/94094/75731/231712/245240/76681/243771/80287/19188/108116/58185/14744/319236/672511/667373/12703/434219/15951/276950/209387/621823/109032/80285/20556/74153/209086/241633/74735/19039/628705/246730/71586/327959/17067/14938/13040/108670/327978/21949/16362/100040462/19171/209200/219131/24110/21356/14991/213233/56045/100038882/20821/234311/50778/80861/15957/20128/231655/15958/20343/13482/27356/20847/12524/15042/667370/20684/15950/56791/69550/236451/434484/17857/12010/16186/67775/23962/54123/67138/64380/15959/625360/15039/246728/15040/320007/547253/236312/22169/231507/12515/100033459/15953/21355/14964/99899/270152/623121/15944/11872/16913/20555/22035/14972/58203/110454/18197/54396/20846/16912/229900/102639543/246727/21354/16994/236573/110557/15018/55932/60533/15015/434341/209488/16145/100039796/12481/60361/15945/14469/545384/229898/76074/100041546/215900/100702/60440/21822/17472",NA
"CUI_T_CELL_GD_IFNG_RESPONSE_UP","CUI_T_CELL_GD_IFNG_RESPONSE_UP",115,-0.822721559050101,-2.46558670866271,1e-10,5.74736842105263e-10,5.10130723895588e-10,2391,"tags=66%, list=13%, signal=58%","59027/64685/76933/16391/70110/17069/75731/80287/19188/15900/319236/672511/12703/109032/80285/209086/19039/327959/13040/16362/100040462/19171/209200/21356/213233/56045/100038882/15957/20128/20847/15950/69550/236451/12010/67775/54123/67138/15959/16161/15039/15040/547253/15953/21355/623121/15944/16913/20555/14972/58203/110454/54396/20846/16912/229900/102639543/246727/21354/236573/19331/20715/60533/15015/434341/16145/100039796/15945/14469/229898/76074/215900/100702/60440/21822/17472/238393",NA
"CUI_T_CELL_CD4_IFNB_RESPONSE_UP","CUI_T_CELL_CD4_IFNB_RESPONSE_UP",297,-0.750587142570003,-2.46424380612488,1e-10,5.74736842105263e-10,5.10130723895588e-10,3242,"tags=58%, list=17%, signal=49%","12799/384309/71684/66141/12444/75320/98952/18854/66940/16363/16859/69774/67759/93694/217069/56417/19106/81018/69028/66552/12508/17454/328833/20970/19186/30935/101187/142688/54563/59027/671535/230073/64685/229003/98999/76933/16391/70110/17069/94094/75731/231712/245240/76681/243771/80287/19188/108116/58185/14744/319236/672511/667373/12703/434219/15951/276950/209387/621823/109032/80285/20556/74153/209086/241633/74735/19039/628705/246730/71586/327959/17067/14938/13040/108670/327978/21949/16362/100040462/19171/209200/219131/24110/21356/14991/213233/56045/100038882/20821/234311/80861/15957/20128/231655/15958/20343/13482/27356/20847/12524/15042/667370/20684/15950/56791/69550/236451/434484/17857/12010/16186/67775/23962/54123/67138/64380/15959/625360/15039/246728/15040/320007/547253/236312/22169/12515/100033459/15953/21355/108723/14964/99899/270152/623121/15944/11872/110168/16913/20555/22035/14972/58203/110454/18197/54396/20846/16912/229900/102639543/246727/21354/16994/236573/15018/55932/60533/15015/434341/209488/16145/100039796/12481/60361/15945/14469/545384/229898/76074/215900/100702/60440/21822/17472",NA
"CUI_MACROPHAGE_IFNB_RESPONSE_UP","CUI_MACROPHAGE_IFNB_RESPONSE_UP",309,-0.742957755948415,-2.4607669605749,1e-10,5.74736842105263e-10,5.10130723895588e-10,3371,"tags=54%, list=18%, signal=45%","71801/20229/225845/66988/13178/67245/67809/12799/384309/66141/17312/12444/75320/18712/74568/217203/16859/69774/93694/13206/235442/56417/19106/67092/73656/69028/66552/18950/22375/17454/70617/20296/192656/16168/13032/19073/19186/22436/22782/30935/101187/268567/54563/59027/671535/230073/14131/381308/98999/237886/70110/226691/231712/245240/71712/14130/16071/76681/243771/14129/58185/15900/672511/12703/17084/434219/15951/276950/209387/621823/109032/80285/20556/209086/12363/76117/19039/18768/246730/71586/327959/108670/327978/16362/100040462/19171/209200/219131/24110/56045/100038882/234311/80861/12362/15957/20128/231655/72535/15958/219132/20847/667370/327957/20684/15950/56791/21939/69550/236451/434484/17857/20307/67775/23962/54123/67138/230787/64380/15959/625360/16169/15039/246728/15040/547253/236312/22169/226695/12515/100033459/15953/99899/270152/623121/15944/16913/246256/22035/58203/54396/20846/16912/229900/102639543/246727/21354/246779/236573/55932/20715/60533/16145/60361/15945/14469/27007/545384/74481/229898/76074/215900/60440/17472/238393/17329/24108",NA
"CUI_T_CELL_CD4_IFNG_RESPONSE_UP","CUI_T_CELL_CD4_IFNG_RESPONSE_UP",123,-0.819326167668251,-2.4605017006809,1e-10,5.74736842105263e-10,5.10130723895588e-10,2551,"tags=76%, list=13%, signal=66%","19186/101187/59027/671535/230073/64685/76933/16391/70110/17069/75731/231712/76681/80287/19188/15900/319236/672511/667373/12703/276950/109032/80285/209086/628705/327959/17067/13040/108670/327978/16362/100040462/19171/209200/24110/21356/213233/56045/100038882/15957/20128/27356/20847/15950/69550/107526/236451/434484/14998/12010/67775/23962/54123/64380/15959/15039/15040/547253/100033459/15953/21355/14964/623121/15944/11872/16913/20555/14972/58203/110454/54396/20846/16912/229900/102639543/246727/21354/236573/55932/60533/15015/434341/16145/100039796/60361/14469/229898/76074/215900/100702/60440/21822/17472",NA
"CUI_TREG_IFNB_RESPONSE_UP","CUI_TREG_IFNB_RESPONSE_UP",242,-0.758182137807808,-2.44847874215778,1e-10,5.74736842105263e-10,5.10130723895588e-10,3609,"tags=68%, list=19%, signal=56%","243382/17119/19650/68267/16423/56336/16329/72075/73067/11980/245944/225845/227449/12799/66141/12444/75320/18854/66940/16859/69774/170743/93694/217069/57440/56417/19106/81018/69028/22375/17454/20970/19186/30935/101187/142688/59027/671535/230073/64685/229003/98999/76933/16391/70110/17069/94094/75731/231712/245240/76681/243771/80287/19188/58185/14744/319236/672511/667373/12703/434219/276950/209387/621823/109032/80285/20556/74153/209086/19039/628705/246730/71586/327959/13040/108670/327978/16362/100040462/19171/209200/219131/24110/21356/213233/56045/100038882/20821/234311/50778/80861/15957/20128/231655/15958/20343/13482/20847/12524/15042/667370/20684/15950/56791/69550/236451/434484/17857/12010/67775/23962/54123/67138/13058/64380/15959/625360/16161/54199/15039/246728/15040/320007/547253/236312/22169/100033459/15953/21355/14964/99899/270152/623121/15944/16913/20555/14972/58203/110454/54396/20846/16912/229900/102639543/246727/21354/236573/110557/15018/55932/15015/434341/209488/16145/100039796/60361/15945/14469/545384/229898/76074/215900/100702/60440/17472",NA
"CUI_MONOCYTE_IFNG_RESPONSE_UP","CUI_MONOCYTE_IFNG_RESPONSE_UP",112,-0.809711822715617,-2.44643549864861,1e-10,5.74736842105263e-10,5.10130723895588e-10,2391,"tags=59%, list=13%, signal=52%","59027/93692/21817/381308/16822/71982/26382/14129/67111/19188/16174/15900/12703/15951/12363/18768/16362/19171/21356/213233/246746/56045/100038882/15957/20343/56791/236451/12182/15040/231507/12515/15953/21355/15944/16913/246256/20555/58203/110454/54396/20846/16912/229900/21354/246779/236573/14190/74748/55932/20715/60533/434341/16145/16068/15945/14469/27007/74481/229898/100041546/215900/60440/16365/17472/238393/17329",NA
"CUI_T_CELL_CD4_IL18_RESPONSE_UP","CUI_T_CELL_CD4_IL18_RESPONSE_UP",110,-0.826632500674064,-2.44260999314115,1e-10,5.74736842105263e-10,5.10130723895588e-10,2391,"tags=73%, list=13%, signal=64%","59027/64685/76933/16391/70110/17069/75731/76681/80287/19188/15900/319236/672511/667373/12703/109032/80285/209086/327959/17067/13040/327978/16362/100040462/19171/209200/24110/21356/213233/56045/100038882/15957/20128/27356/20847/15950/69550/107526/236451/434484/15894/12010/67775/23962/54123/64380/15959/15039/15040/547253/15953/21355/623121/15944/16913/20555/14972/58203/110454/54396/20846/16912/229900/102639543/21354/236573/55932/60533/434341/16145/100039796/60361/14469/229898/76074/215900/100702/60440/21822/17472",NA
"CUI_MACROPHAGE_IFNA1_RESPONSE_UP","CUI_MACROPHAGE_IFNA1_RESPONSE_UP",258,-0.754705276611842,-2.44128191581818,1e-10,5.74736842105263e-10,5.10130723895588e-10,3302,"tags=59%, list=17%, signal=49%","66988/13178/12799/19229/384309/66141/20375/17312/75320/18854/74568/66940/16859/69774/217069/235442/19106/81018/73656/69028/18950/12260/22375/17454/70617/20296/16168/19186/22436/30935/101187/268567/14127/59027/671535/230073/64685/14131/381308/98999/70110/226691/231712/245240/15162/243771/14129/58185/15900/672511/667373/12703/17084/434219/15951/276950/209387/109032/80285/20556/209086/12363/71586/327959/108670/327978/16362/100040462/19171/209200/219131/24110/16154/21356/56045/100038882/80861/12362/15957/20128/231655/72535/15958/219132/20847/667370/327957/20684/15950/56791/21939/69550/236451/434484/17857/20307/67775/23962/54123/67138/230787/64380/15959/625360/16169/15039/246728/15040/547253/236312/22169/226695/12515/100033459/15953/99899/270152/623121/15944/16913/246256/20555/22035/58203/110454/54396/20846/16912/229900/102639543/246727/21354/246779/236573/55932/20715/60533/16145/15945/14469/27007/545384/229898/76074/215900/60440/16365/17472/238393/17329/14468",NA
