"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CUI_TREG_IFNA1_RESPONSE_UP","CUI_TREG_IFNA1_RESPONSE_UP","136/584","239/5981",0.569037656903766,5.82776408551613,25.0549881996039,8.61221446363094e-79,4.70226909714249e-76,4.70226909714249e-76,"56045/15944/64380/20970/229900/59027/76074/56791/98999/102639543/99899/217069/13482/58203/246730/80287/110557/21356/13058/243771/14972/21354/13040/327959/108116/16362/56417/12524/545384/236573/667370/54123/12010/20846/23962/15015/20821/14469/15040/19171/19188/15039/54396/20343/16913/230073/76681/15953/547253/109032/80285/434484/16912/12481/15951/623121/327978/21355/30935/672511/20556/70110/20555/245240/16768/60440/15950/20491/71586/19186/434341/209488/671535/20847/246727/16145/100702/12703/209086/209200/75731/22436/15957/667373/108670/16185/100039796/20128/15958/219131/209387/67775/24110/19106/14964/16161/229003/75345/234311/76933/58185/231712/22169/17857/81018/101187/54199/319236/94094/16391/625360/80861/67138/15018/60361/74153/236312/229898/15959/100033459/236451/17069/15945/100040462/60533/20715/17454/64685/55932/270152/110454/231655/69774/20684/19039/17472",136
"CUI_TREG_IFNB_RESPONSE_UP","CUI_TREG_IFNB_RESPONSE_UP","133/584","242/5981",0.549586776859504,5.62855909656968,24.1777671244173,2.60565650000663e-74,5.47566033237749e-72,5.47566033237749e-72,"56045/15944/64380/20970/229900/59027/76074/56791/98999/102639543/99899/217069/13482/58203/22375/246730/80287/110557/213233/21356/13058/243771/14972/21354/13040/327959/246728/16362/56417/12524/545384/236573/667370/54123/12010/20846/23962/15015/20821/14469/93694/15040/19171/19188/15039/54396/20343/16913/230073/76681/15953/547253/109032/80285/434484/16912/623121/327978/21355/30935/672511/20556/70110/20555/245240/60440/15950/71586/19186/434341/209488/671535/20847/246727/16145/100702/12703/209086/209200/75731/15957/667373/108670/100039796/20128/15958/219131/209387/67775/24110/19106/14964/16161/229003/234311/76933/58185/15042/231712/22169/17857/81018/101187/54199/319236/94094/16391/625360/80861/67138/15018/60361/74153/236312/229898/15959/100033459/236451/17069/15945/100040462/17454/64685/215900/55932/270152/110454/231655/14744/69774/20684/19039/17472",133
"CUI_T_CELL_CD4_IFNB_RESPONSE_UP","CUI_T_CELL_CD4_IFNB_RESPONSE_UP","147/584","297/5981",0.494949494949495,5.06899474193995,23.6602388871007,3.00860457822939e-74,5.47566033237749e-72,5.47566033237749e-72,"56045/15944/64380/20970/229900/59027/76074/56791/98999/102639543/99899/217069/13482/58203/246730/80287/12508/213233/21356/243771/14972/21354/13040/327959/108116/246728/16362/56417/12524/545384/236573/667370/54123/12010/20846/23962/15015/20821/14469/93694/15040/19171/19188/15039/54396/20343/108723/16913/230073/76681/15953/547253/109032/80285/434484/16912/12481/15951/623121/16994/327978/21355/17067/30935/672511/110168/20556/70110/20555/245240/60440/15950/12515/71586/19186/434341/209488/671535/20847/246727/16145/100702/12703/209086/209200/75731/15957/667373/21949/108670/100039796/20128/15958/219131/209387/14991/16186/241633/67775/24110/19106/14964/229003/234311/76933/58185/15042/231712/22169/17857/81018/101187/319236/67759/94094/16391/625360/80861/67138/15018/60361/74153/236312/21822/229898/15959/100033459/236451/17069/15945/100040462/60533/17454/64685/16363/22035/215900/66552/55932/270152/110454/231655/14744/69774/20684/19039/17472",147
"CUI_T_CELL_CD8_IFNB_RESPONSE_UP","CUI_T_CELL_CD8_IFNB_RESPONSE_UP","148/584","306/5981",0.483660130718954,4.95337541409258,23.3521377549215,5.33474077389e-73,7.28192115635984e-71,7.28192115635984e-71,"56045/15944/64380/20970/229900/59027/76074/56791/98999/102639543/99899/217069/13482/58203/246730/80287/12508/213233/21356/243771/14972/21354/13040/327959/108116/246728/16362/56417/12524/545384/236573/667370/54123/12010/20846/23962/15015/15894/20821/14469/93694/15040/19171/19188/15039/54396/20343/16913/230073/76681/15953/547253/109032/80285/434484/16912/12481/15951/623121/327978/21355/30935/672511/110168/20556/70110/20555/245240/60440/15950/12515/71586/19186/434341/209488/671535/20847/246727/16145/100702/12703/209086/209200/227929/15957/667373/21949/108670/15900/100039796/20128/15958/219131/209387/14991/16186/241633/67775/24110/19106/14964/229003/75345/234311/76933/58185/231712/22169/17857/81018/101187/54199/319236/67759/94094/16391/625360/80861/67138/15018/60361/74153/236312/21822/229898/15959/100033459/236451/17069/15945/100040462/60533/231507/17454/64685/16363/22035/215900/55932/270152/110454/231655/14744/69774/20684/100041546/19039/17472",148
"CUI_T_CELL_GD_IFNB_RESPONSE_UP","CUI_T_CELL_GD_IFNB_RESPONSE_UP","149/584","319/5981",0.467084639498433,4.78361854253446,22.8453891731046,7.49995930790047e-71,8.18995556422732e-69,8.18995556422732e-69,"56045/15944/64380/229900/59027/76074/54445/237886/56791/98999/102639543/99899/217069/13482/58203/22375/246730/80287/213233/21356/243771/14972/21354/13040/327959/12362/108116/246728/16362/56417/12524/545384/236573/667370/54123/12010/20846/23962/15894/20821/14469/93694/15040/19171/19188/15039/54396/108723/16913/230073/76681/15953/547253/109032/80285/434484/16912/12481/15951/623121/327978/21355/30935/17329/672511/20556/70110/20555/245240/60440/15950/12515/71586/19186/434341/209488/671535/20847/12363/246727/16145/100702/12703/209086/209200/75731/15957/667373/108670/15900/100039796/20128/15958/219131/209387/16186/241633/67775/217203/24110/219132/19106/14964/16161/229003/75345/234311/76933/58185/231712/22169/17857/81018/101187/54199/319236/94094/16391/625360/80861/67138/15018/60361/74153/236312/21822/229898/15959/100033459/236451/17069/19331/15945/100040462/60533/231507/17454/64685/22035/215900/66552/55932/270152/110454/231655/69774/20684/19039/17472",149
"CUI_T_CELL_CD4_IFNA1_RESPONSE_UP","CUI_T_CELL_CD4_IFNA1_RESPONSE_UP","151/584","330/5981",0.457575757575758,4.68623391448734,22.6599012678376,2.65465078727041e-70,2.41573221641607e-68,2.41573221641607e-68,"56045/15944/64380/20970/229900/59027/76074/56791/98999/102639543/99899/217069/13482/58203/246730/80287/12508/110557/213233/21356/18950/243771/14972/21354/13040/327959/108116/246728/16362/56417/12524/545384/236573/667370/54123/12010/20846/23962/15015/20821/14469/93694/15040/19171/19188/15039/54396/20343/16913/230073/76681/15953/547253/109032/80285/434484/16912/12481/15951/623121/16994/327978/21355/17067/30935/672511/20556/70110/20555/245240/60440/15950/80898/20491/12515/71586/19186/434341/209488/671535/20847/246727/16145/100702/12703/209086/209200/75731/15957/667373/21949/108670/100039796/20128/15958/219131/209387/14991/16186/241633/67775/24110/19106/14964/229003/234311/76933/58185/15042/231712/22169/17857/81018/101187/319236/67759/94094/16391/625360/80861/67138/15018/60361/74153/236312/21822/232201/229898/15959/100033459/236451/17069/15945/100040462/60533/231507/17454/64685/16363/22035/215900/55932/270152/110454/231655/14744/69774/20684/100041546/19039/17472",151
"CUI_T_CELL_GD_IFNA1_RESPONSE_UP","CUI_T_CELL_GD_IFNA1_RESPONSE_UP","140/584","288/5981",0.486111111111111,4.97847697869102,22.762675533815,3.80640980304136e-69,2.96899964637226e-67,2.96899964637226e-67,"56045/15944/64380/20970/229900/59027/76074/56791/98999/102639543/99899/217069/13482/58203/246730/80287/110557/21356/243771/14972/21354/13040/327959/108116/246728/16362/56417/12524/545384/236573/667370/54123/12010/20846/23962/15015/15894/14469/93694/15040/19171/19188/15039/54396/108723/16913/230073/76681/15953/547253/109032/80285/434484/16912/15951/623121/327978/21355/30935/672511/20556/70110/20555/245240/60440/15950/12515/71586/19186/434341/209488/671535/20847/12363/246727/16145/100702/12703/209086/209200/75731/22436/15957/667373/108670/15900/100039796/20128/15958/219131/209387/16186/67775/217203/24110/19106/14964/229003/75345/234311/76933/58185/231712/22169/17857/81018/101187/54199/319236/94094/16391/625360/80861/67138/15018/60361/74153/236312/21822/229898/15959/100033459/236451/17069/15945/100040462/60533/231507/17454/64685/22035/215900/55932/270152/110454/231655/69774/20684/19039/17472",140
"CUI_CDC2_IFNK_RESPONSE_UP","CUI_CDC2_IFNK_RESPONSE_UP","96/584","134/5981",0.716417910447761,7.33714986710284,24.4039786653445,8.17740787974803e-69,5.58108087792803e-67,5.58108087792803e-67,"226691/56045/15944/64380/20970/229900/59027/54445/17476/14190/56791/98999/102639543/58203/246730/21356/18950/16181/243771/327959/17084/246728/56417/236573/667370/54123/20846/23962/14469/93694/15040/19171/19188/15039/14127/16913/230073/15953/547253/109032/80285/15951/623121/327978/17329/672511/20556/70110/20555/231821/14129/60440/15950/71586/381308/20847/246727/16145/73656/22436/15957/108670/20128/15958/219131/209387/23833/67775/24110/219132/19106/14964/234311/76933/58185/50723/231712/319236/94094/80861/67138/74153/236312/15170/15959/236451/17069/15945/100040462/64685/15162/66552/110454/69774/20684/19039",96
"CUI_T_CELL_CD4_IFNG_RESPONSE_UP","CUI_T_CELL_CD4_IFNG_RESPONSE_UP","91/584","123/5981",0.739837398373984,7.57699910903219,24.2430055880625,2.94579354459885e-67,1.78711475038997e-65,1.78711475038997e-65,"56045/15944/64380/229900/59027/76074/102639543/14998/58203/22375/80287/213233/21356/14972/21354/13040/327959/16362/107526/236573/54123/12010/20846/23962/15015/14469/15040/19171/19188/15039/54396/16913/230073/76681/15953/547253/109032/80285/434484/16912/623121/327978/21355/17067/672511/70110/20555/60440/15950/19186/434341/671535/20847/246727/16145/100702/12703/209086/209200/75731/15957/667373/108670/15900/100039796/20128/67775/24110/14964/76933/231712/81018/101187/319236/16391/60361/21822/229898/15959/100033459/236451/17069/100040462/60533/64685/16363/215900/55932/110454/69774/17472",91
"CUI_MACROPHAGE_IFNA1_RESPONSE_UP","CUI_MACROPHAGE_IFNA1_RESPONSE_UP","129/584","259/5981",0.498069498069498,5.1009480615645,22.1942784709992,4.97801805100874e-65,2.71799785585077e-63,2.71799785585077e-63,"226691/56045/15944/64380/229900/59027/76074/56791/98999/102639543/99899/217069/58203/22375/20296/21356/18950/243771/21354/327959/12362/17084/246728/16362/16154/545384/236573/667370/54123/20846/268567/23962/72535/14469/27007/235442/15040/19171/246256/15039/54396/14127/16913/230073/15953/547253/109032/80285/434484/16912/15951/623121/226695/327978/238393/30935/17329/672511/20556/21939/70110/20555/14129/245240/327957/60440/15950/12515/71586/19186/671535/381308/20847/12363/14468/246727/16145/14131/12703/209086/73656/209200/12260/22436/15957/667373/108670/15900/20128/16365/15958/230787/219131/209387/67775/24110/219132/19106/16169/58185/231712/22169/17857/81018/101187/625360/80861/67138/236312/229898/15959/100033459/236451/15945/100040462/60533/20715/17454/64685/15162/22035/215900/55932/270152/110454/231655/69774/20684/17472",129
