"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0055002","striated muscle cell development",199,-0.811941370293704,-2.0872231987087,1e-10,3.77764705882353e-08,3.77764705882353e-08,2074,"tags=38%, list=11%, signal=34%","19736/11790/13405/12373/18091/93689/22003/74116/213435/11731/17888/234214/17260/16691/329828/68016/13009/16000/723910/17880/21955/11606/23828/17877/234072/242702/225638/14463/65256/231602/64082/59006/237611/21916/17927/19013/68760/78321/66797/93677/381339/72330/433766/109272/228003/18741/11472/22437/12335/116904/74376/17906/53311/12391/20190/18175/17929/22138/17878/12292/17996/59011/11464/50874/21393/11459/320502/17930/21957/24131/12372/11474/68802/233199/238564",NA
"GO:0055001","muscle cell development",233,-0.802203086094307,-2.08274944423731,1e-10,3.77764705882353e-08,3.77764705882353e-08,1880,"tags=32%, list=10%, signal=29%","18091/93689/22003/74116/213435/11731/17888/234214/17260/16691/329828/68016/13009/16000/723910/17880/12298/21955/12845/11606/23828/17877/234072/242702/225638/14463/65256/231602/64082/59006/237611/21916/17927/19013/68760/78321/66797/93677/381339/72330/433766/278507/109272/228003/18741/11472/22437/12335/116904/74376/17906/53311/12391/20190/18175/17929/22138/17878/12292/17996/59011/11464/50874/21393/11459/320502/17930/21957/24131/12372/11474/68802/233199/17306/238564",NA
"GO:0030239","myofibril assembly",78,-0.855809679761864,-2.06542334793021,1e-10,3.77764705882353e-08,3.77764705882353e-08,1880,"tags=55%, list=10%, signal=50%","18091/93689/22003/213435/17888/17260/16691/68016/13009/17880/21955/234072/242702/59006/21916/68760/78321/93677/109272/228003/11472/22437/12335/17906/53311/12391/18175/17929/22138/17996/59011/11464/50874/21393/11459/320502/17930/21957/24131/12372/68802/233199/238564",NA
"GO:0031032","actomyosin structure organization",217,-0.786677014051157,-2.04638049448785,1e-10,3.77764705882353e-08,3.77764705882353e-08,2006,"tags=26%, list=11%, signal=24%","218194/12373/13717/18091/93689/18816/22003/213435/17888/54357/17260/16691/68016/242506/13009/385354/77569/17880/21955/22417/234072/242702/21333/71960/18761/59006/21916/68760/78321/93677/109272/228003/11472/22437/12335/74376/17906/53311/12391/18175/17929/22138/17996/59011/17926/11464/50874/21393/11459/320502/17930/21957/24131/12372/68802/233199/238564",NA
"GO:0045214","sarcomere organization",55,-0.86185753748462,-2.01520029274455,1.23251303281184e-08,2.93155507285837e-06,2.93155507285837e-06,599,"tags=42%, list=3%, signal=41%","242702/59006/68760/78321/93677/109272/11472/22437/12335/53311/12391/17929/22138/17996/59011/21393/17930/21957/24131/12372/68802/233199/238564",0.747739663149885
"GO:0050881","musculoskeletal movement",66,-0.831351777302491,-1.99218327601341,5.22262621572154e-09,1.45824806771147e-06,1.45824806771147e-06,1699,"tags=44%, list=9%, signal=40%","381077/17885/68312/243277/11555/21955/12845/21925/50769/71960/74492/237611/233335/110893/17883/17189/11448/12391/228785/71912/12350/110880/140781/21393/21953/21957/12372/11474/11937",0.761460801445585
"GO:0010927","cellular component assembly involved in morphogenesis",144,-0.781422203794636,-1.98914676566654,1e-10,3.77764705882353e-08,3.77764705882353e-08,1880,"tags=36%, list=10%, signal=33%","18091/76426/93689/22003/213435/17888/17260/16691/68016/67652/13009/269116/17880/237465/21955/69376/79455/214105/234072/242702/72948/12805/59006/21916/68760/78321/93677/109272/228003/11472/22437/12335/17906/53311/12391/18175/17929/22138/17996/59011/11464/50874/21393/11459/320502/17930/21957/24131/12372/68802/233199/238564",NA
"GO:0032989","cellular anatomical entity morphogenesis",144,-0.781422203794636,-1.98914676566654,1e-10,3.77764705882353e-08,3.77764705882353e-08,1880,"tags=36%, list=10%, signal=33%","18091/76426/93689/22003/213435/17888/17260/16691/68016/67652/13009/269116/17880/237465/21955/69376/79455/214105/234072/242702/72948/12805/59006/21916/68760/78321/93677/109272/228003/11472/22437/12335/17906/53311/12391/18175/17929/22138/17996/59011/11464/50874/21393/11459/320502/17930/21957/24131/12372/68802/233199/238564",NA
"GO:0051146","striated muscle cell differentiation",381,-0.744558438754196,-1.98544566486769,1e-10,3.77764705882353e-08,3.77764705882353e-08,1902,"tags=24%, list=10%, signal=22%","20866/18091/93689/22003/74116/213435/11731/17888/12023/234214/17260/20307/16691/329828/18133/68016/13009/16000/723910/17880/21955/11606/210933/20661/22408/23828/244810/17877/234072/242702/225638/14463/330721/66139/65256/231602/64082/59006/237611/56642/21916/17927/19013/227721/68760/78321/66797/93677/381339/72330/433766/434246/109272/228003/18741/11472/22437/78977/12335/116904/74376/17906/53311/12391/20190/18175/17929/22138/228785/17878/23956/12292/17996/12180/59011/66211/11464/50874/666794/21393/11459/320502/17930/21957/24131/12372/11474/68802/20679/233199/226438/238564",NA
"GO:0050879","multicellular organismal movement",71,-0.828133506332437,-1.97649045091048,7.63112526105551e-09,1.88488793948071e-06,1.88488793948071e-06,1699,"tags=42%, list=9%, signal=39%","381077/18159/17885/68312/243277/11555/21955/12845/21925/50769/71960/74492/237611/233335/110893/17883/17189/11448/12391/228785/71912/12350/110880/140781/21393/21953/21957/12372/11474/11937",0.747739663149885
