"gene","p.value","p.adj"
"AR",1,1
"TMPRSS2",1,1
"AMACR",0.685714285714286,0.876190476190476
"ERG",0.2,0.575
"MKI67",0.114285714285714,0.575
"CDH1",0.2,0.575
"VIM",0.342857142857143,0.657142857142857
"AURKA",0.2,0.575
"BRCA1",0.342857142857143,0.657142857142857
"BRCA2",0.114285714285714,0.575
"MYC",0.342857142857143,0.657142857142857
"PTEN",0.885714285714286,1
"RB1",0.685714285714286,0.876190476190476
"TTF1",0.485714285714286,0.859340659340659
"INSM1",0.2,0.575
"ACP3",1,1
"CHGA",0.685714285714286,0.876190476190476
"CHGB",0.542857142857143,0.876190476190476
"TFRC",0.0571428571428571,0.575
"NCAM1",0.0285714285714286,0.575
"SCG2",0.342857142857143,0.657142857142857
"SYP",0.685714285714286,0.876190476190476
"FOLH1",1,1
