"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000069045",108.669018369935,-10.5092274312445,0.862413407339387,-12.1858349392623,3.69846010808953e-34,6.39759629497327e-30,"Ddx3y","26900","DEAD box helicase 3, Y-linked","Up_in_Male"
"ENSMUSG00000069049",98.3949740232144,-10.363880687787,0.873662760645214,-11.8625643150146,1.8521436883928e-32,1.60191907609093e-28,"Eif2s3y","26908","eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked","Up_in_Male"
"ENSMUSG00000068457",32.6624018600258,-8.77496379417803,0.881082838191496,-9.95929487423617,2.29685940913693e-23,1.32436913530835e-19,"Uty","22290","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked","Up_in_Male"
"ENSMUSG00000049691",57.0551835686415,-5.93070954620094,0.609490899138162,-9.73059573914416,2.2328142631744e-22,9.65580528109769e-19,"Nkx3-2","12020","NK3 homeobox 2","Up_in_Male"
"ENSMUSG00000056673",29.3793373621159,-8.6188224645373,0.89926586336424,-9.58428737892202,9.30980904230498e-22,3.22082153627583e-18,"Kdm5d","20592","lysine demethylase 5D","Up_in_Male"
"ENSMUSG00000022865",337.740919177321,1.93192142006563,0.20947983273486,9.22246974729483,2.9033444607852e-20,8.37034208044373e-17,"Cxadr","13052","coxsackie virus and adenovirus receptor","Up_in_Female"
"ENSMUSG00000006800",3561.55933225898,-1.42653747303498,0.166393945701203,-8.57325347399746,1.00601747741967e-17,2.48601290348649e-14,"Sulf2","72043","sulfatase 2","Up_in_Male"
"ENSMUSG00000021319",271.811892875929,-1.79560213780647,0.215288567560099,-8.34044351800156,7.40124084637423e-17,1.60033330200727e-13,"Sfrp4","20379","secreted frizzled-related protein 4","Up_in_Male"
"ENSMUSG00000025081",20.7907632521086,-8.12627961431588,1.00869704826938,-8.05621432942444,7.86936015520643e-16,1.36124191964761e-12,"Tdrd1","83561","tudor domain containing 1","Up_in_Male"
"ENSMUSG00000116031",22.7078451188616,-5.1620270904538,0.640146040818283,-8.06382725394242,7.39422257238597e-16,1.36124191964761e-12,"D030024E09Rik","432956","RIKEN cDNA D030024E09 gene","Up_in_Male"
"ENSMUSG00000027500",355.619029366885,-3.37092178810379,0.441457355119941,-7.63589449582946,2.24257914835814e-14,3.526557646209e-11,"Stmn2","20257","stathmin-like 2","Up_in_Male"
"ENSMUSG00000043773",23.8664651808424,-6.22982276952725,0.826123878487497,-7.54102735891508,4.66283269116159e-14,6.72147332430943e-11,"1700048O20Rik","69430","RIKEN cDNA 1700048O20 gene","Up_in_Male"
"ENSMUSG00000024027",2498.95066349472,1.36653277050609,0.182599796193732,7.48375846518609,7.22266456383255e-14,9.61058858655196e-11,"Glp1r","14652","glucagon-like peptide 1 receptor","Up_in_Female"
"ENSMUSG00000029810",1590.3754447943,-1.39837333644571,0.188182033837451,-7.43096090487368,1.07811576669344e-13,1.3320890380188e-10,"Tmem176b","65963","transmembrane protein 176B","Up_in_Male"
"ENSMUSG00000063632",52.8411990986332,-3.14946088804301,0.42729152397913,-7.3707544177657,1.69665139049107e-13,1.95657838351431e-10,"Sox11","20666","SRY (sex determining region Y)-box 11","Up_in_Male"
"ENSMUSG00000058589",240.364128446745,-1.59168396348263,0.216371760634807,-7.35624629948397,1.8915386388588e-13,2.04498971093622e-10,"Anks1b","77531","ankyrin repeat and sterile alpha motif domain containing 1B","Up_in_Male"
"ENSMUSG00000023367",887.512272023866,-1.30516325854287,0.18189984159342,-7.17517534435325,7.22145706756617e-13,7.34804496204468e-10,"Tmem176a","66058","transmembrane protein 176A","Up_in_Male"
"ENSMUSG00000043496",88.0509799815227,-1.53879464969236,0.214945610849492,-7.1589954482478,8.12703844044685e-13,7.81008394126943e-10,"Tril","66873","TLR4 interactor with leucine-rich repeats","Up_in_Male"
"ENSMUSG00000046387",120.303853533441,-2.13240822432827,0.298657042652502,-7.139989753429,9.3337876679134e-13,8.49767679366137e-10,"Pcdhb17","93888","protocadherin beta 17","Up_in_Male"
"ENSMUSG00000033585",45.1555047856333,-3.3737776108702,0.474668572654565,-7.10764901076657,1.18036270169988e-12,1.02089570070023e-09,"Ndn","17984","necdin, MAGE family member","Up_in_Male"
"ENSMUSG00000037944",64.651780049662,-2.39725414347269,0.337799619607382,-7.09667508287598,1.27794023066034e-12,1.05265762428393e-09,"Ccr7","12775","C-C motif chemokine receptor 7","Up_in_Male"
"ENSMUSG00000022237",8011.06990827746,1.62727712226509,0.23986981526699,6.7840012318925,1.16892330876682e-11,9.19092517956747e-09,"Ankrd33b","67434","ankyrin repeat domain 33B","Up_in_Female"
"ENSMUSG00000009216",8.89656857223724,-6.90215030060754,1.02203584857445,-6.75333483677185,1.44484965604088e-11,1.04137538959147e-08,"Fam163b","109349","family with sequence similarity 163, member B","Up_in_Male"
"ENSMUSG00000001507",1727.45721248398,1.22610773353849,0.181486811971992,6.7559054027998,1.4194601334041e-11,1.04137538959147e-08,"Itga3","16400","integrin alpha 3","Up_in_Female"
"ENSMUSG00000037362",387.035190659842,-0.982762499637134,0.147654339042722,-6.65583216862177,2.81701563737739e-11,1.94914945981416e-08,"Ccn3","18133","cellular communication network factor 3","Up_in_Male"
"ENSMUSG00000022120",286.166018959012,-1.17363933034342,0.184463177300795,-6.36245860836294,1.98549554683623e-10,1.32096546035281e-07,"Obi1","72486","ORC ubiquitin ligase 1","Up_in_Male"
"ENSMUSG00000031465",718.602522153458,1.32587503580686,0.209340277074495,6.33358785196908,2.39524819274079e-10,1.5345556754826e-07,"Angpt2","11601","angiopoietin 2","Up_in_Female"
"ENSMUSG00000045027",166.179052517264,1.6408492382591,0.259335517874116,6.32712885496691,2.49764782259912e-10,1.54301114411856e-07,"Prss22","70835","serine protease 22","Up_in_Female"
"ENSMUSG00000031530",1356.01545725487,2.07254777481801,0.329274074173005,6.29429383416644,3.08802393199784e-10,1.84195303364478e-07,"Dusp4","319520","dual specificity phosphatase 4","Up_in_Female"
"ENSMUSG00000004296",21.0817306390069,-2.80449823995195,0.446505348128446,-6.28099585303328,3.36411116493696e-10,1.93974649770265e-07,"Il12b","16160","interleukin 12b","Up_in_Male"
"ENSMUSG00000013415",629.273587054507,1.24351768023695,0.198232068218268,6.27303993452634,3.54066046372354e-10,1.97568853875774e-07,"Igf2bp1","140486","insulin-like growth factor 2 mRNA binding protein 1","Up_in_Female"
"ENSMUSG00000039410",80.912687932339,-2.31372565375669,0.372414972123424,-6.21276217914754,5.20612138241689e-10,2.80544421877367e-07,"Prdm16","70673","PR domain containing 16","Up_in_Male"
"ENSMUSG00000038253",442.874314053073,-1.54132658429471,0.248352401443696,-6.2062076925161,5.42784353198065e-10,2.80544421877367e-07,"Hoxa5","15402","homeobox A5","Up_in_Male"
"ENSMUSG00000033147",195.346927909721,-1.06230545216746,0.171236721883938,-6.20372453104703,5.51422727704386e-10,2.80544421877367e-07,"Slc22a15","242126","solute carrier family 22 (organic anion/cation transporter), member 15","Up_in_Male"
"ENSMUSG00000024376",300.184934207274,1.19804241456236,0.193352967443073,6.19614185603379,5.78639799474943e-10,2.85980321466216e-07,"Epb41l4a","13824","erythrocyte membrane protein band 4.1 like 4a","Up_in_Female"
"ENSMUSG00000036111",171.121235140512,1.39602210091296,0.226936255760219,6.15160453862428,7.67029417251486e-10,3.68557634989339e-07,"Lmo1","109594","LIM domain only 1","Up_in_Female"
"ENSMUSG00000031494",48.7559206719032,-2.02002782008172,0.329038087336082,-6.13919147304807,8.29425455468498e-10,3.87767608883624e-07,"Cd209a","170786","CD209a antigen","Up_in_Male"
"ENSMUSG00000025161",3433.98146114824,1.07641822625291,0.175689896659778,6.12680778301889,8.9659678377672e-10,4.08140293836045e-07,"Slc16a3","80879","solute carrier family 16 (monocarboxylic acid transporters), member 3","Up_in_Female"
"ENSMUSG00000056071",178.073830562783,4.29569205114026,0.713064630938856,6.0242674573332,1.69877252424138e-09,7.5347095190583e-07,"S100a9","20202","S100 calcium binding protein A9 (calgranulin B)","Up_in_Female"
"ENSMUSG00000031375",32616.3802303713,-1.31539287699348,0.218793334311477,-6.01203359843164,1.83210337479989e-09,7.92293104432214e-07,"Bgn","12111","biglycan","Up_in_Male"
