"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"CDH1","Females_KO","KO","Female","spearman",1,0,3,0
"AURKA","Females_KO","KO","Female","spearman",1,0,3,0
"BRCA1","Females_KO","KO","Female","spearman",1,0,3,0
"BRCA2","Females_KO","KO","Female","spearman",1,0,3,0
"PTEN","Females_KO","KO","Female","spearman",1,0,3,0
"INSM1","Females_KO","KO","Female","spearman",1,0,3,0
"SYP","Females_KO","KO","Female","spearman",1,0,3,0
"CHGB","Females_KO","KO","Female","spearman",0.866025403784439,0.333333333333333,3,0.538461538461538
"AR","Females_KO","KO","Female","spearman",0.5,0.666666666666667,3,0.666666666666667
"RB1","Females_KO","KO","Female","spearman",0.5,0.666666666666667,3,0.666666666666667
"TFRC","Females_KO","KO","Female","spearman",0.5,0.666666666666667,3,0.666666666666667
"ERG","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"MKI67","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"TTF1","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"CHGA","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"NCAM1","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"SCG2","Females_KO","KO","Female","spearman",-0.866025403784439,0.333333333333333,3,0.538461538461538
"AMACR","Females_KO","KO","Female","spearman",-1,0,3,0
"VIM","Females_KO","KO","Female","spearman",-1,0,3,0
"MYC","Females_KO","KO","Female","spearman",-1,0,3,0
"ACP3","Females_KO","KO","Female","spearman",-1,0,3,0
"NKX3-1","Females_KO","KO","Female","spearman",NA,NA,3,NA
"TMPRSS2","Females_KO","KO","Female","spearman",NA,NA,3,NA
