"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"AR","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"MKI67","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"CDH1","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"AURKA","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"BRCA2","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"TTF1","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"SYP","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"ERG","Males_KO","KO","Male","spearman",0.258198889747161,0.741801110252839,4,0.741801110252839
"PTEN","Males_KO","KO","Male","spearman",0.258198889747161,0.741801110252839,4,0.741801110252839
"NCAM1","Males_KO","KO","Male","spearman",0.258198889747161,0.741801110252839,4,0.741801110252839
"VIM","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"BRCA1","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"MYC","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"INSM1","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"CHGA","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"TFRC","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"SCG2","Males_KO","KO","Male","spearman",-0.333333333333333,0.666666666666667,4,0.741801110252839
"AMACR","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"RB1","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"ACP3","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"CHGB","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"NKX3-1","Males_KO","KO","Male","spearman",NA,NA,4,NA
"TMPRSS2","Males_KO","KO","Male","spearman",NA,NA,4,NA
