"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"VIM","Males_WT","WT","Male","spearman",1,0,4,0
"INSM1","Males_WT","WT","Male","spearman",1,0,4,0
"MKI67","Males_WT","WT","Male","spearman",0.8,0.2,4,0.42
"MYC","Males_WT","WT","Male","spearman",0.8,0.2,4,0.42
"RB1","Males_WT","WT","Male","spearman",0.8,0.2,4,0.42
"TMPRSS2","Males_WT","WT","Male","spearman",0.632455532033676,0.367544467966324,4,0.701675802481164
"AR","Males_WT","WT","Male","spearman",0.4,0.6,4,0.7875
"TFRC","Males_WT","WT","Male","spearman",0.4,0.6,4,0.7875
"NCAM1","Males_WT","WT","Male","spearman",0.4,0.6,4,0.7875
"CDH1","Males_WT","WT","Male","spearman",0.2,0.8,4,0.84
"TTF1","Males_WT","WT","Male","spearman",0.2,0.8,4,0.84
"SYP","Males_WT","WT","Male","spearman",0,1,4,1
"AMACR","Males_WT","WT","Male","spearman",-0.2,0.8,4,0.84
"CHGB","Males_WT","WT","Male","spearman",-0.258198889747161,0.741801110252839,4,0.84
"BRCA2","Males_WT","WT","Male","spearman",-0.4,0.6,4,0.7875
"CHGA","Males_WT","WT","Male","spearman",-0.4,0.6,4,0.7875
"AURKA","Males_WT","WT","Male","spearman",-0.8,0.2,4,0.42
"PTEN","Males_WT","WT","Male","spearman",-0.8,0.2,4,0.42
"ERG","Males_WT","WT","Male","spearman",-1,0,4,0
"BRCA1","Males_WT","WT","Male","spearman",-1,0,4,0
"ACP3","Males_WT","WT","Male","spearman",-1,0,4,0
"NKX3-1","Males_WT","WT","Male","spearman",NA,NA,4,NA
"SCG2","Males_WT","WT","Male","spearman",NA,NA,4,NA
