"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"AR","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"MKI67","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"CDH1","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"AURKA","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"BRCA2","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"TTF1","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"SYP","Males_KO","KO","Male","spearman",0.774596669241483,0.225403330758516,4,0.430315449629895
"ERG","Males_KO","KO","Male","spearman",0.258198889747161,0.741801110252839,4,0.741801110252839
"PTEN","Males_KO","KO","Male","spearman",0.258198889747161,0.741801110252839,4,0.741801110252839
"NCAM1","Males_KO","KO","Male","spearman",0.258198889747161,0.741801110252839,4,0.741801110252839
"VIM","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"BRCA1","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"MYC","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"INSM1","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"CHGA","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"TFRC","Males_KO","KO","Male","spearman",-0.258198889747161,0.741801110252839,4,0.741801110252839
"SCG2","Males_KO","KO","Male","spearman",-0.333333333333333,0.666666666666667,4,0.741801110252839
"AMACR","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"RB1","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"ACP3","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"CHGB","Males_KO","KO","Male","spearman",-0.774596669241483,0.225403330758516,4,0.430315449629895
"NKX3-1","Males_KO","KO","Male","spearman",NA,NA,4,NA
"TMPRSS2","Males_KO","KO","Male","spearman",NA,NA,4,NA
"VIM","Males_WT","WT","Male","spearman",1,0,4,0
"INSM1","Males_WT","WT","Male","spearman",1,0,4,0
"MKI67","Males_WT","WT","Male","spearman",0.8,0.2,4,0.42
"MYC","Males_WT","WT","Male","spearman",0.8,0.2,4,0.42
"RB1","Males_WT","WT","Male","spearman",0.8,0.2,4,0.42
"TMPRSS2","Males_WT","WT","Male","spearman",0.632455532033676,0.367544467966324,4,0.701675802481164
"AR","Males_WT","WT","Male","spearman",0.4,0.6,4,0.7875
"TFRC","Males_WT","WT","Male","spearman",0.4,0.6,4,0.7875
"NCAM1","Males_WT","WT","Male","spearman",0.4,0.6,4,0.7875
"CDH1","Males_WT","WT","Male","spearman",0.2,0.8,4,0.84
"TTF1","Males_WT","WT","Male","spearman",0.2,0.8,4,0.84
"SYP","Males_WT","WT","Male","spearman",0,1,4,1
"AMACR","Males_WT","WT","Male","spearman",-0.2,0.8,4,0.84
"CHGB","Males_WT","WT","Male","spearman",-0.258198889747161,0.741801110252839,4,0.84
"BRCA2","Males_WT","WT","Male","spearman",-0.4,0.6,4,0.7875
"CHGA","Males_WT","WT","Male","spearman",-0.4,0.6,4,0.7875
"AURKA","Males_WT","WT","Male","spearman",-0.8,0.2,4,0.42
"PTEN","Males_WT","WT","Male","spearman",-0.8,0.2,4,0.42
"ERG","Males_WT","WT","Male","spearman",-1,0,4,0
"BRCA1","Males_WT","WT","Male","spearman",-1,0,4,0
"ACP3","Males_WT","WT","Male","spearman",-1,0,4,0
"NKX3-1","Males_WT","WT","Male","spearman",NA,NA,4,NA
"SCG2","Males_WT","WT","Male","spearman",NA,NA,4,NA
"CDH1","Females_KO","KO","Female","spearman",1,0,3,0
"AURKA","Females_KO","KO","Female","spearman",1,0,3,0
"BRCA1","Females_KO","KO","Female","spearman",1,0,3,0
"BRCA2","Females_KO","KO","Female","spearman",1,0,3,0
"PTEN","Females_KO","KO","Female","spearman",1,0,3,0
"INSM1","Females_KO","KO","Female","spearman",1,0,3,0
"SYP","Females_KO","KO","Female","spearman",1,0,3,0
"CHGB","Females_KO","KO","Female","spearman",0.866025403784439,0.333333333333333,3,0.538461538461538
"AR","Females_KO","KO","Female","spearman",0.5,0.666666666666667,3,0.666666666666667
"RB1","Females_KO","KO","Female","spearman",0.5,0.666666666666667,3,0.666666666666667
"TFRC","Females_KO","KO","Female","spearman",0.5,0.666666666666667,3,0.666666666666667
"ERG","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"MKI67","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"TTF1","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"CHGA","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"NCAM1","Females_KO","KO","Female","spearman",-0.5,0.666666666666667,3,0.666666666666667
"SCG2","Females_KO","KO","Female","spearman",-0.866025403784439,0.333333333333333,3,0.538461538461538
"AMACR","Females_KO","KO","Female","spearman",-1,0,3,0
"VIM","Females_KO","KO","Female","spearman",-1,0,3,0
"MYC","Females_KO","KO","Female","spearman",-1,0,3,0
"ACP3","Females_KO","KO","Female","spearman",-1,0,3,0
"NKX3-1","Females_KO","KO","Female","spearman",NA,NA,3,NA
"TMPRSS2","Females_KO","KO","Female","spearman",NA,NA,3,NA
"SYP","Females_WT","WT","Female","spearman",0.880406274042429,0.0205987347749204,6,0.473770899823169
"AMACR","Females_WT","WT","Female","spearman",0.637535577754862,0.173260315298534,6,0.615947823057873
