"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"CDH1","Females_KO","KO","Female","pearson",0.998871364945089,0.0302491199099831,3,0.248422210012993
"SYP","Females_KO","KO","Female","pearson",0.998136400181179,0.038872182011581,3,0.248422210012993
"TFRC","Females_KO","KO","Female","pearson",0.99723896417348,0.047318516192951,3,0.248422210012993
"INSM1","Females_KO","KO","Female","pearson",0.965703575620578,0.16721246572886,3,0.70229235606121
"AURKA","Females_KO","KO","Female","pearson",0.899877616599032,0.287311276162484,3,0.719681730602026
"PTEN","Females_KO","KO","Female","pearson",0.84738941948386,0.35634607309159,3,0.748326753492338
"AR","Females_KO","KO","Female","pearson",0.738490012269729,0.471078376130598,3,0.754184469130575
"BRCA2","Females_KO","KO","Female","pearson",0.677557251302102,0.526077203485251,3,0.754184469130575
"BRCA1","Females_KO","KO","Female","pearson",0.598052755068157,0.591882628582232,3,0.754184469130575
"RB1","Females_KO","KO","Female","pearson",0.558224084010464,0.622965888005684,3,0.754184469130575
"CHGB","Females_KO","KO","Female","pearson",0.527253251100831,0.64644383068335,3,0.754184469130575
"NCAM1","Females_KO","KO","Female","pearson",-0.0471656553154069,0.969962267236572,3,0.969962267236572
"ERG","Females_KO","KO","Female","pearson",-0.0557124466967317,0.964513981324833,3,0.969962267236572
"TTF1","Females_KO","KO","Female","pearson",-0.282671847852852,0.817558512635764,3,0.903617303439529
"MKI67","Females_KO","KO","Female","pearson",-0.538393237061701,0.638063040259242,3,0.754184469130575
"ACP3","Females_KO","KO","Female","pearson",-0.740535941804795,0.469143448686012,3,0.754184469130575
"AMACR","Females_KO","KO","Female","pearson",-0.756971460923836,0.453356320909874,3,0.754184469130575
"VIM","Females_KO","KO","Female","pearson",-0.884913248597821,0.308435027400868,3,0.719681730602026
"CHGA","Females_KO","KO","Female","pearson",-0.898674303866168,0.289062734881247,3,0.719681730602026
"MYC","Females_KO","KO","Female","pearson",-0.910870959776769,0.270822327277043,3,0.719681730602026
"SCG2","Females_KO","KO","Female","pearson",-0.999495504429461,0.0202228359833219,3,0.248422210012993
"NKX3-1","Females_KO","KO","Female","pearson",NA,NA,3,NA
"TMPRSS2","Females_KO","KO","Female","pearson",NA,NA,3,NA
