"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"CDH1","Males_KO","KO","Male","pearson",0.88001395555941,0.11998604444059,4,0.633988860112413
"BRCA2","Males_KO","KO","Male","pearson",0.879240217121445,0.120759782878555,4,0.633988860112413
"SYP","Males_KO","KO","Male","pearson",0.754296081761389,0.245703918238611,4,0.72647665033948
"AR","Males_KO","KO","Male","pearson",0.69686305935692,0.30313694064308,4,0.72647665033948
"MKI67","Males_KO","KO","Male","pearson",0.692391404428487,0.307608595571513,4,0.72647665033948
"TTF1","Males_KO","KO","Male","pearson",0.654058737933581,0.345941262066419,4,0.72647665033948
"AURKA","Males_KO","KO","Male","pearson",0.468798967276276,0.531201032723724,4,0.858093975938323
"ERG","Males_KO","KO","Male","pearson",0.401759967156846,0.598240032843154,4,0.897360049264731
"NCAM1","Males_KO","KO","Male","pearson",0.264352787737303,0.735647212262697,4,0.908740673971566
"PTEN","Males_KO","KO","Male","pearson",0.144302800042316,0.855697199957684,4,0.945770589426914
"BRCA1","Males_KO","KO","Male","pearson",0.011716839456827,0.988283160543173,4,0.988283160543173
"CHGA","Males_KO","KO","Male","pearson",-0.0846747258855551,0.915325274114445,4,0.961091537820167
"INSM1","Males_KO","KO","Male","pearson",-0.194441183886558,0.805558816113442,4,0.939818618799016
"MYC","Males_KO","KO","Male","pearson",-0.302256283028144,0.697743716971856,4,0.908740673971566
"SCG2","Males_KO","KO","Male","pearson",-0.333333333333333,0.666666666666667,4,0.908740673971566
"TFRC","Males_KO","KO","Male","pearson",-0.478883043660345,0.521116956339655,4,0.858093975938323
"VIM","Males_KO","KO","Male","pearson",-0.493781338757901,0.506218661242099,4,0.858093975938323
"ACP3","Males_KO","KO","Male","pearson",-0.658786659815393,0.341213340184607,4,0.72647665033948
"AMACR","Males_KO","KO","Male","pearson",-0.661344092698151,0.338655907301849,4,0.72647665033948
"RB1","Males_KO","KO","Male","pearson",-0.919910498154534,0.0800895018454661,4,0.633988860112413
"CHGB","Males_KO","KO","Male","pearson",-0.935274743535839,0.064725256464161,4,0.633988860112413
"NKX3-1","Males_KO","KO","Male","pearson",NA,NA,4,NA
"TMPRSS2","Males_KO","KO","Male","pearson",NA,NA,4,NA
