"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"INSM1","Males_WT","WT","Male","pearson",0.852626574916875,0.147373425083124,4,0.604639755805681
"VIM","Males_WT","WT","Male","pearson",0.778297612536964,0.221702387463036,4,0.605376920680178
"MYC","Males_WT","WT","Male","pearson",0.672418602837116,0.327581397162884,4,0.751491220437127
"MKI67","Males_WT","WT","Male","pearson",0.564498459013967,0.435501540986033,4,0.751491220437127
"TMPRSS2","Males_WT","WT","Male","pearson",0.560234249638239,0.439765750361761,4,0.751491220437127
"TFRC","Males_WT","WT","Male","pearson",0.53999336853221,0.46000663146779,4,0.751491220437127
"RB1","Males_WT","WT","Male","pearson",0.505579927894086,0.494420072105914,4,0.751491220437127
"SYP","Males_WT","WT","Male","pearson",0.464441029394097,0.535558970605903,4,0.751491220437127
"CDH1","Males_WT","WT","Male","pearson",0.427428929254244,0.572571070745756,4,0.751491220437127
"AR","Males_WT","WT","Male","pearson",0.355922923116883,0.644077076883117,4,0.751491220437127
"AMACR","Males_WT","WT","Male","pearson",0.355864668196748,0.644135331803252,4,0.751491220437127
"NCAM1","Males_WT","WT","Male","pearson",0.194806081632435,0.805193918367565,4,0.845453614285943
"CHGB","Males_WT","WT","Male","pearson",0.108093575468456,0.891906424531544,4,0.891906424531544
"BRCA2","Males_WT","WT","Male","pearson",-0.313160145079493,0.686839854920507,4,0.759138787017403
"TTF1","Males_WT","WT","Male","pearson",-0.382429968149399,0.617570031850601,4,0.751491220437127
"AURKA","Males_WT","WT","Male","pearson",-0.769380220693265,0.230619779306735,4,0.605376920680178
"ACP3","Males_WT","WT","Male","pearson",-0.82724578405552,0.17275421594448,4,0.604639755805681
"ERG","Males_WT","WT","Male","pearson",-0.86031655026602,0.13968344973398,4,0.604639755805681
"CHGA","Males_WT","WT","Male","pearson",-0.871369935111913,0.128630064888087,4,0.604639755805681
"PTEN","Males_WT","WT","Male","pearson",-0.974001919054699,0.0259980809453008,4,0.272979849925658
"BRCA1","Males_WT","WT","Male","pearson",-0.999039204071444,0.000960795928556273,4,0.0201767144996817
"NKX3-1","Males_WT","WT","Male","pearson",NA,NA,4,NA
"SCG2","Males_WT","WT","Male","pearson",NA,NA,4,NA
