"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"CDH1","Males_KO","KO","Male","pearson",0.88001395555941,0.11998604444059,4,0.633988860112413
"BRCA2","Males_KO","KO","Male","pearson",0.879240217121445,0.120759782878555,4,0.633988860112413
"SYP","Males_KO","KO","Male","pearson",0.754296081761389,0.245703918238611,4,0.72647665033948
"AR","Males_KO","KO","Male","pearson",0.69686305935692,0.30313694064308,4,0.72647665033948
"MKI67","Males_KO","KO","Male","pearson",0.692391404428487,0.307608595571513,4,0.72647665033948
"TTF1","Males_KO","KO","Male","pearson",0.654058737933581,0.345941262066419,4,0.72647665033948
"AURKA","Males_KO","KO","Male","pearson",0.468798967276276,0.531201032723724,4,0.858093975938323
"ERG","Males_KO","KO","Male","pearson",0.401759967156846,0.598240032843154,4,0.897360049264731
"NCAM1","Males_KO","KO","Male","pearson",0.264352787737303,0.735647212262697,4,0.908740673971566
"PTEN","Males_KO","KO","Male","pearson",0.144302800042316,0.855697199957684,4,0.945770589426914
"BRCA1","Males_KO","KO","Male","pearson",0.011716839456827,0.988283160543173,4,0.988283160543173
"CHGA","Males_KO","KO","Male","pearson",-0.0846747258855551,0.915325274114445,4,0.961091537820167
"INSM1","Males_KO","KO","Male","pearson",-0.194441183886558,0.805558816113442,4,0.939818618799016
"MYC","Males_KO","KO","Male","pearson",-0.302256283028144,0.697743716971856,4,0.908740673971566
"SCG2","Males_KO","KO","Male","pearson",-0.333333333333333,0.666666666666667,4,0.908740673971566
"TFRC","Males_KO","KO","Male","pearson",-0.478883043660345,0.521116956339655,4,0.858093975938323
"VIM","Males_KO","KO","Male","pearson",-0.493781338757901,0.506218661242099,4,0.858093975938323
"ACP3","Males_KO","KO","Male","pearson",-0.658786659815393,0.341213340184607,4,0.72647665033948
"AMACR","Males_KO","KO","Male","pearson",-0.661344092698151,0.338655907301849,4,0.72647665033948
"RB1","Males_KO","KO","Male","pearson",-0.919910498154534,0.0800895018454661,4,0.633988860112413
"CHGB","Males_KO","KO","Male","pearson",-0.935274743535839,0.064725256464161,4,0.633988860112413
"NKX3-1","Males_KO","KO","Male","pearson",NA,NA,4,NA
"TMPRSS2","Males_KO","KO","Male","pearson",NA,NA,4,NA
"INSM1","Males_WT","WT","Male","pearson",0.852626574916875,0.147373425083124,4,0.604639755805681
"VIM","Males_WT","WT","Male","pearson",0.778297612536964,0.221702387463036,4,0.605376920680178
"MYC","Males_WT","WT","Male","pearson",0.672418602837116,0.327581397162884,4,0.751491220437127
"MKI67","Males_WT","WT","Male","pearson",0.564498459013967,0.435501540986033,4,0.751491220437127
"TMPRSS2","Males_WT","WT","Male","pearson",0.560234249638239,0.439765750361761,4,0.751491220437127
"TFRC","Males_WT","WT","Male","pearson",0.53999336853221,0.46000663146779,4,0.751491220437127
"RB1","Males_WT","WT","Male","pearson",0.505579927894086,0.494420072105914,4,0.751491220437127
"SYP","Males_WT","WT","Male","pearson",0.464441029394097,0.535558970605903,4,0.751491220437127
"CDH1","Males_WT","WT","Male","pearson",0.427428929254244,0.572571070745756,4,0.751491220437127
"AR","Males_WT","WT","Male","pearson",0.355922923116883,0.644077076883117,4,0.751491220437127
"AMACR","Males_WT","WT","Male","pearson",0.355864668196748,0.644135331803252,4,0.751491220437127
"NCAM1","Males_WT","WT","Male","pearson",0.194806081632435,0.805193918367565,4,0.845453614285943
"CHGB","Males_WT","WT","Male","pearson",0.108093575468456,0.891906424531544,4,0.891906424531544
"BRCA2","Males_WT","WT","Male","pearson",-0.313160145079493,0.686839854920507,4,0.759138787017403
"TTF1","Males_WT","WT","Male","pearson",-0.382429968149399,0.617570031850601,4,0.751491220437127
"AURKA","Males_WT","WT","Male","pearson",-0.769380220693265,0.230619779306735,4,0.605376920680178
"ACP3","Males_WT","WT","Male","pearson",-0.82724578405552,0.17275421594448,4,0.604639755805681
"ERG","Males_WT","WT","Male","pearson",-0.86031655026602,0.13968344973398,4,0.604639755805681
"CHGA","Males_WT","WT","Male","pearson",-0.871369935111913,0.128630064888087,4,0.604639755805681
"PTEN","Males_WT","WT","Male","pearson",-0.974001919054699,0.0259980809453008,4,0.272979849925658
