"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001822","kidney development","35/592","338/16572",0.103550295857988,2.89870861986247,6.78813898666379,1.69941439598974e-08,0.00010441202048961,0.00010441202048961,"Ace/Aqp1/Lrrk2/Npnt/Crlf1/Foxc2/Rdh10/Gli3/Epha7/Gfra1/Robo1/Itga3/Col4a3/Stra6/Kif26b/Eya1/Gcnt4/Cd24a/Nid1/Vcan/Spp1/Amer1/Tiparp/Hoxb7/Hmgcs2/Gli2/Wnt7b/Gata3/Wnt6/Robo2/Sox9/Sox11/Cc2d2a/Tfap2a/Lif",35
"GO:0072001","renal system development","35/592","350/16572",0.1,2.79932432432432,6.54844371779523,4.11124195866878e-08,0.000126297352970305,0.000126297352970305,"Ace/Aqp1/Lrrk2/Npnt/Crlf1/Foxc2/Rdh10/Gli3/Epha7/Gfra1/Robo1/Itga3/Col4a3/Stra6/Kif26b/Eya1/Gcnt4/Cd24a/Nid1/Vcan/Spp1/Amer1/Tiparp/Hoxb7/Hmgcs2/Gli2/Wnt7b/Gata3/Wnt6/Robo2/Sox9/Sox11/Cc2d2a/Tfap2a/Lif",35
"GO:0048706","embryonic skeletal system development","20/592","138/16572",0.144927536231884,4.05699177438308,6.94079146932039,9.86746437527532e-08,0.000202085670405639,0.000202085670405639,"Tbx15/Hoxc6/Foxc2/Rdh10/Wnt9a/Gli3/Med12/Hoxa9/Mycn/Eya1/Etl4/Mthfd1l/Scx/Hoxb7/Hoxa7/Hoxc4/Sox11/Hoxb9/Tfap2a/Dlx4",20
"GO:0048568","embryonic organ development","42/592","492/16572",0.0853658536585366,2.38966710613052,6.02278182910173,1.67093301670298e-07,0.000256655311365578,0.000256655311365578,"Vcam1/Tbx15/Rspo3/Foxc2/Rdh10/Wnt9a/Gli3/Nkx2-5/Med12/Hoxa9/Tbx3/Stra6/Mycn/Igf2/Eya1/E2f8/Fzd2/Mthfd1l/Esx1/Syna/Nrk/Hoxb7/Fbn2/Lrig1/Tead4/Hoxa7/Gli2/Epn2/Wnt7b/Gata3/Hoxc4/Lef1/Pcdh15/Slitrk6/Sox9/Sox11/Cc2d2a/Hoxb9/Tfap2a/Gdf3/Lif/En1",42
"GO:0048704","embryonic skeletal system morphogenesis","16/592","98/16572",0.163265306122449,4.57032542746829,6.82288630683398,3.59875251901897e-07,0.00044221470953705,0.000442214709537051,"Tbx15/Foxc2/Rdh10/Wnt9a/Gli3/Med12/Hoxa9/Mycn/Eya1/Mthfd1l/Hoxb7/Hoxa7/Hoxc4/Sox11/Hoxb9/Tfap2a",16
"GO:0042476","odontogenesis","18/592","125/16572",0.144,4.03102702702703,6.54708973918048,4.73639576822391e-07,0.000485006926666129,0.000485006926666129,"Aqp1/Lhx8/Gli3/Pax9/Zfp422/Dmp1/Serpine1/Phex/Apcdd1/Tnfrsf11b/Gli2/Inhba/Wnt7b/Lef1/Wnt6/Nf2/Tfap2a/Sostdc1",18
"GO:0030879","mammary gland development","19/592","142/16572",0.133802816901408,3.74557480015226,6.32419853268654,7.29513879570098e-07,0.000640304753725526,0.000640304753725526,"Hk2/Kalrn/Gli3/Hoxa9/Robo1/Tbx3/Tfap2c/Ddr1/Brca2/Gli2/Gata3/Lef1/Itga2/Ccnd1/Sox9/Uprt/Hoxb9/Sostdc1/Pax3",19
"GO:0060560","developmental growth involved in morphogenesis","27/592","269/16572",0.100371747211896,2.80973073445192,5.75974375156533,1.36878200706097e-06,0.00105122458142282,0.00105122458142282,"Rnf157/Tnn/Ndn/Rdh10/Sema5a/Epha7/Med12/Actr3/Robo1/Tfap2c/Jade2/Map2/Kif26b/Plxna1/Flrt3/Nkx6-1/Ddr1/Tiam1/Efna5/Alcam/Cdh2/Jup/Wnt7b/Sfrp5/Sox9/Cttn/Prkg1",27
"GO:0007409","axonogenesis","38/592","464/16572",0.0818965517241379,2.29255009319664,5.43541098374643,1.80392532671807e-06,0.0012314796897062,0.0012314796897062,"Kalrn/Tnn/Unc5b/Sema6a/Sema3d/Ndn/Unc5a/Cdh11/Tenm4/Cacna1a/Sema5a/Gli3/Epha7/Actr3/Robo1/Map2/Crppa/Flrt3/Nkx6-1/Tiam1/Efna5/Alcam/Cdh2/Ephb6/Gli2/Jup/Wnt7b/Gata3/Slitrk6/Nptx1/Tenm3/Robo2/Bhlhe22/Cttn/Reln/Ncam1/Prkg1/Xk",38
"GO:0007160","cell-matrix adhesion","24/592","234/16572",0.102564102564103,2.87110187110187,5.548208079371,3.61356002556741e-06,0.00215294708115978,0.00215294708115978,"Tnn/Vcam1/Cdh11/Npnt/Itgbl1/Apod/Tspan11/Coro1c/Itga3/Msln/Sned1/Serpine1/Nid1/Epdr1/Ddr1/Tiam1/Efna5/Gpm6b/Hoxa7/Jup/Itga2/Cttn/Trem1/Rasa1",24
"GO:0045165","cell fate commitment","25/592","251/16572",0.099601593625498,2.78817163777323,5.49439027926551,3.85456020389935e-06,0.00215294708115978,0.00215294708115978,"Tenm4/Tbx15/Rbbp7/Foxc2/Wnt9a/Gli3/Nkx2-5/Wnt10b/Tbx3/Tfap2c/Eya1/AW551984/Tead4/Gli2/Epop/Chrdl1/Wnt7b/Gata3/Chd3/Wnt6/Sox9/Ptch2/Sostdc1/Gdf3/Pax3",25
"GO:0097485","neuron projection guidance","23/592","227/16572",0.101321585903084,2.83631979997619,5.36186169686677,7.04241461804333e-06,0.00360571628443819,0.00360571628443819,"Kalrn/Unc5b/Sema6a/Sema3d/Unc5a/Tenm4/Sema5a/Gli3/Epha7/Robo1/Crppa/Plxna1/Flrt3/Efna5/Alcam/Ephb6/Gli2/Wnt7b/Gata3/Tenm3/Robo2/Reln/Ncam1",23
"GO:0048705","skeletal system morphogenesis","24/592","250/16572",0.096,2.68735135135135,5.17411009895506,1.12321783753217e-05,0.00527435864910122,0.00527435864910122,"Hhip/Tbx15/Foxc2/Rdh10/Wnt9a/Gli3/Med12/Hoxa9/Wnt10b/Mycn/Eya1/Mthfd1l/Tiparp/Scx/Hoxb7/Fbn2/Hoxa7/Hoxc4/Sox9/Rflnb/Sox11/Hoxb9/Tfap2a/Tmem107",24
"GO:0048562","embryonic organ morphogenesis","27/592","302/16572",0.0894039735099338,2.50270717737605,5.07260307078749,1.20183953592801e-05,0.00527435864910122,0.00527435864910122,"Tbx15/Foxc2/Rdh10/Wnt9a/Gli3/Nkx2-5/Med12/Hoxa9/Tbx3/Stra6/Mycn/Eya1/Fzd2/Mthfd1l/Hoxb7/Fbn2/Lrig1/Hoxa7/Gli2/Gata3/Hoxc4/Pcdh15/Slitrk6/Sox9/Sox11/Hoxb9/Tfap2a",27
"GO:0007389","pattern specification process","33/592","418/16572",0.0789473684210526,2.20999288762447,4.8225611552594,1.84217046264657e-05,0.00754553021500035,0.00754553021500035,"Mllt3/Hhip/Bhlhe40/Hoxc6/Foxc2/Gli3/Nkx2-5/Med12/Hoxa9/Robo1/Tbx3/Peg12/Eya1/Hoxa10/Hoxb7/Hoxa7/Gli2/Chrdl1/Wnt7b/Hoxc4/Lef1/Wnt6/Robo2/Bhlhe22/Cc2d2a/Hoxb9/Reln/Tfap2a/Tmem107/Sostdc1/Gdf3/Pax3/En1",33
"GO:0007411","axon guidance","22/592","226/16572",0.0973451327433628,2.72500597943076,5.02557665466778,2.085179854091e-05,0.00800709063970942,0.00800709063970942,"Kalrn/Unc5b/Sema6a/Sema3d/Unc5a/Tenm4/Sema5a/Gli3/Epha7/Robo1/Crppa/Flrt3/Efna5/Alcam/Ephb6/Gli2/Wnt7b/Gata3/Tenm3/Robo2/Reln/Ncam1",22
"GO:0042063","gliogenesis","30/592","369/16572",0.0813008130081301,2.27587343441002,4.77056575676729,2.53870870175411e-05,0.00917519191975132,0.00917519191975132,"Ndn/Tenm4/Gli3/Cx3cl1/Med12/Actr3/Raf1/Mycn/Gpc1/Vcan/Nkx6-1/S100a9/Apcdd1/Prx/Tiam1/Il6st/Cdh2/Gpm6b/Serpine2/Lef1/Nf2/Ano1/Sox9/Cspg4/Abca2/Sox11/S100a8/Reln/Hras/Lif",30
"GO:0031346","positive regulation of cell projection organization","34/592","446/16572",0.0762331838565022,2.13401405890195,4.67271577162249,2.83880522267296e-05,0.00968978849339037,0.00968978849339037,"Aqp1/Hap1/Kalrn/Tnn/Eps8l2/Zdhhc15/Sema5a/Cx3cl1/Coro1c/Actr3/Robo1/Itga3/Septin9/Plek2/Ddr1/Prkd1/S100a9/Tiam1/Efna5/Cdh2/Gprc5b/Scarb2/Serpine2/Jup/Fut9/Itga2/Cnr1/Tenm3/Robo2/Ppp1r9a/Reln/Hras/Acsl6/Lif",34
"GO:0072073","kidney epithelium development","17/592","152/16572",0.111842105263158,3.13082325746799,5.07959948485066,3.11290244378032e-05,0.0100661434813612,0.0100661434813612,"Aqp1/Npnt/Crlf1/Foxc2/Gli3/Epha7/Kif26b/Eya1/Cd24a/Vcan/Hoxb7/Wnt7b/Gata3/Wnt6/Robo2/Sox9/Lif",17
"GO:0072006","nephron development","17/592","158/16572",0.107594936708861,3.0119312350325,4.89081557459018,5.11605963622034e-05,0.0157165352024689,0.0157165352024689,"Aqp1/Npnt/Foxc2/Gli3/Itga3/Col4a3/Kif26b/Eya1/Cd24a/Nid1/Hoxb7/Wnt7b/Gata3/Wnt6/Sox9/Tfap2a/Lif",17
"GO:0010976","positive regulation of neuron projection development","21/592","225/16572",0.0933333333333333,2.6127027027027,4.68784632138629,5.93343564758314e-05,0.0165766203857989,0.0165766203857989,"Hap1/Kalrn/Tnn/Zdhhc15/Cx3cl1/Actr3/Itga3/Ddr1/Prkd1/S100a9/Tiam1/Gprc5b/Scarb2/Serpine2/Fut9/Cnr1/Tenm3/Ppp1r9a/Reln/Acsl6/Lif",21
"GO:0042475","odontogenesis of dentin-containing tooth","12/592","87/16572",0.137931034482759,3.86113699906803,5.14992173061689,5.93563881001913e-05,0.0165766203857989,0.0165766203857989,"Lhx8/Gli3/Dmp1/Serpine1/Apcdd1/Tnfrsf11b/Gli2/Wnt7b/Lef1/Wnt6/Nf2/Sostdc1",12
"GO:0001763","morphogenesis of a branching structure","21/592","228/16572",0.0921052631578947,2.57832503556188,4.61882509348223,7.1867378751751e-05,0.0185754210951759,0.0185754210951759,"Hhip/Lrrk2/Npnt/Rspo3/Foxc2/Rdh10/Sema5a/Gli3/Epha7/Tbx3/Tfap2c/Plxna1/Mgp/Mycn/Eya1/Ddr1/Hoxb7/Gli2/Lef1/Wnt6/Sox9",21
"GO:0060562","epithelial tube morphogenesis","29/592","372/16572",0.0779569892473118,2.1822689625109,4.4389175220396,7.35355841236574e-05,0.0185754210951759,0.0185754210951759,"Hhip/Npnt/Foxc2/Rdh10/Sema5a/Gli3/Nkx2-5/Epha7/Med12/Robo1/Tbx3/Tfap2c/Kif26b/Mgp/Mycn/Eya1/Ddr1/Mthfd1l/Hoxb7/Gli2/Gata3/Lef1/Wnt6/Sox9/Cc2d2a/Trim71/Tfap2a/Sostdc1/Pax3",29
