"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","25/237","305/17009",0.0819672131147541,5.88261741716815,10.2282361089596,1.10013337611951e-12,6.85053053309619e-09,6.85053053309619e-09,"Hk2/Egln3/Pdk1/Angptl4/Aqp3/Stc1/Pgf/Hmox1/Angpt2/Higd1a/Ak4/Cpt1a/Ndrg1/Egln1/Slc2a1/Lif/Ero1a/Bnip3l/Vegfa/Vldlr/Rgcc/Mt3/Ddit4/Pgk1/Bnip3",25
"GO:0036293","response to decreased oxygen levels","25/237","326/17009",0.0766871165644172,5.50367580440579,9.75994151636905,4.80989233408401e-12,1.49755997821706e-08,1.49755997821706e-08,"Hk2/Egln3/Pdk1/Angptl4/Aqp3/Stc1/Pgf/Hmox1/Angpt2/Higd1a/Ak4/Cpt1a/Ndrg1/Egln1/Slc2a1/Lif/Ero1a/Bnip3l/Vegfa/Vldlr/Rgcc/Mt3/Ddit4/Pgk1/Bnip3",25
"GO:0070482","response to oxygen levels","26/237","361/17009",0.07202216066482,5.16888156433723,9.51700931331703,7.28711393676698e-12,1.51256194947493e-08,1.51256194947493e-08,"Hk2/Egln3/Pdk1/Angptl4/Aqp3/Stc1/Pgf/Hmox1/Angpt2/Atp6v1a/Higd1a/Ak4/Cpt1a/Ndrg1/Egln1/Slc2a1/Lif/Ero1a/Bnip3l/Vegfa/Vldlr/Rgcc/Mt3/Ddit4/Pgk1/Bnip3",26
"GO:0045765","regulation of angiogenesis","23/237","305/17009",0.0754098360655738,5.4120080237947,9.24239110427157,5.05066190274985e-11,7.86261791710583e-08,7.86261791710583e-08,"Hk2/Plk2/Adm/Prkd1/Dll1/Pgf/Hmox1/Angpt2/Cxcr2/Chi3l1/Egln1/Adm2/Lif/Vegfa/Grem1/Gata4/Hgf/Adamts1/Serpine1/Rgcc/Mmp9/Pgk1/Sulf1",23
"GO:1901342","regulation of vasculature development","23/237","312/17009",0.0737179487179487,5.29058476685059,9.09249204319492,7.96600296707546e-11,9.92086009519578e-08,9.92086009519578e-08,"Hk2/Plk2/Adm/Prkd1/Dll1/Pgf/Hmox1/Angpt2/Cxcr2/Chi3l1/Egln1/Adm2/Lif/Vegfa/Grem1/Gata4/Hgf/Adamts1/Serpine1/Rgcc/Mmp9/Pgk1/Sulf1",23
"GO:0071456","cellular response to hypoxia","16/237","153/17009",0.104575163398693,7.50514326687074,9.60801537979711,4.28318958646486e-10,4.44523692581945e-07,4.44523692581945e-07,"Egln3/Pdk1/Aqp3/Stc1/Higd1a/Ak4/Ndrg1/Egln1/Ero1a/Bnip3l/Vegfa/Vldlr/Rgcc/Mt3/Pgk1/Bnip3",16
"GO:0071453","cellular response to oxygen levels","17/237","185/17009",0.0918918918918919,6.59489109362527,9.09538823035282,9.12729223508828e-10,8.11937839255638e-07,8.11937839255638e-07,"Egln3/Pdk1/Aqp3/Stc1/Atp6v1a/Higd1a/Ak4/Ndrg1/Egln1/Ero1a/Bnip3l/Vegfa/Vldlr/Rgcc/Mt3/Pgk1/Bnip3",17
"GO:0036294","cellular response to decreased oxygen levels","16/237","167/17009",0.0958083832335329,6.87596957982768,9.07087772167108,1.5694609382484e-09,1.2216291578091e-06,1.2216291578091e-06,"Egln3/Pdk1/Aqp3/Stc1/Higd1a/Ak4/Ndrg1/Egln1/Ero1a/Bnip3l/Vegfa/Vldlr/Rgcc/Mt3/Pgk1/Bnip3",16
"GO:0045766","positive regulation of angiogenesis","16/237","181/17009",0.0883977900552486,6.34412662890179,8.59227455062788,5.07987389661255e-09,3.51470830602293e-06,3.51470830602293e-06,"Hk2/Adm/Prkd1/Dll1/Pgf/Hmox1/Angpt2/Cxcr2/Chi3l1/Adm2/Vegfa/Grem1/Gata4/Hgf/Serpine1/Mmp9",16
"GO:1904018","positive regulation of vasculature development","16/237","184/17009",0.0869565217391304,6.24068978169143,8.49626789294512,6.44161242924795e-09,4.0111920596927e-06,4.01119205969269e-06,"Hk2/Adm/Prkd1/Dll1/Pgf/Hmox1/Angpt2/Cxcr2/Chi3l1/Adm2/Vegfa/Grem1/Gata4/Hgf/Serpine1/Mmp9",16
