"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","leukocyte migration","60/918","383/16572",0.156657963446475,2.82803460809911,8.76509895401118,2.1882875816689e-13,1.2038283688591e-09,1.2038283688591e-09,"Coro1a/Icam1/Aif1/Mdk/Ada/Ecm1/Pde4b/Pf4/Ch25h/Chga/Il16/Thbs1/Ggt5/Thy1/Rac2/Kit/Cd74/Fpr2/Cxcl14/Cd200r1/C3/Cxcl9/Stap1/Bdkrb1/Cxcl2/Icam2/Ccr2/Myo1g/Gas6/Ripk3/Ptpro/Cd209a/Pycard/Cd34/Cd300a/Dusp1/Itgam/Plvap/Ptn/Il1b/Ccn3/Rarres2/Itga4/Ccl7/Spi1/Cxcl1/Gpr183/Dapk2/Ccl22/Jam2/Ccl8/Aoc3/Fcer1g/Ccr7/S1pr1/Itga7/Tnf/Mrgprb2/Gpsm3/Tnfaip6",60
"GO:1901342","regulation of vasculature development","52/918","309/16572",0.168284789644013,3.0379254182795,8.75689675534495,5.35540288162012e-13,1.2038283688591e-09,1.2038283688591e-09,"Adam12/Adrb2/Ppp1r16b/Fbln5/Sema4a/Hpse/Emilin2/Mdk/Ecm1/Sulf1/Cldn5/Adm/Pf4/Hhex/Thbs1/Acvrl1/Thbs2/Fyn/Prkcb/Angptl7/Cd36/Tgfbr2/Id1/Gpr4/C3/Hoxa5/Ccr2/Ramp2/Ptgis/Tie1/Cd34/S100a1/Klf2/Nos3/Sfrp2/Cma1/Ism1/Tbxa2r/Ptn/Stab1/Il1b/Creb3l1/Optc/Cxcr4/Rgcc/Tek/Tspan12/Cd40/Agtr1a/Ddah1/Tnf/Epha1",52
"GO:0050727","regulation of inflammatory response","60/918","393/16572",0.152671755725191,2.7560744399541,8.53191252060196,6.88396685365688e-13,1.2038283688591e-09,1.2038283688591e-09,"Tac1/Tlr6/Hpse/Osm/Clec12a/Mdk/Ada/Btk/Lpl/Pf4/Tnc/Il16/Ighg2b/Aoah/Foxp3/Fpr2/Nlrx1/Slc39a8/Cd200r1/Nr4a3/Gpr4/C3/Fcer1a/Stap1/Tafa3/Ccr2/Nr1h3/Ptgis/Ier3/Adipoq/Pycard/Dnase1l3/Siglece/Cma1/Il12b/Nlrp1b/Mefv/Nfatc1/Il1b/Ddt/Ccn3/Mapk13/Ccl7/C1qtnf3/Igf1/Aoc3/Casp1/Syt11/Fcer1g/Mgll/Zfp36/Fbxl2/Ccr7/Bcl6b/Tnf/Adora2a/Gpsm3/Tnfaip6/Pde5a/Acp5",60
"GO:0045765","regulation of angiogenesis","51/918","302/16572",0.16887417218543,3.0485651214128,8.70046579016512,7.83742427642646e-13,1.2038283688591e-09,1.2038283688591e-09,"Adam12/Adrb2/Ppp1r16b/Fbln5/Sema4a/Hpse/Emilin2/Mdk/Ecm1/Sulf1/Cldn5/Adm/Pf4/Hhex/Thbs1/Acvrl1/Thbs2/Fyn/Prkcb/Cd36/Tgfbr2/Id1/Gpr4/C3/Hoxa5/Ccr2/Ramp2/Ptgis/Tie1/Cd34/S100a1/Klf2/Nos3/Sfrp2/Cma1/Ism1/Tbxa2r/Ptn/Stab1/Il1b/Creb3l1/Optc/Cxcr4/Rgcc/Tek/Tspan12/Cd40/Agtr1a/Ddah1/Tnf/Epha1",51
"GO:0019882","antigen processing and presentation","28/918","118/16572",0.23728813559322,4.28359366345408,8.66837519271725,3.78050110812952e-11,4.64547976166955e-08,4.64547976166955e-08,"Kdm5d/Clec4a1/H2-Eb1/Icam1/H2-DMa/Was/Thbs1/Nod1/Clec4a2/H2-DMb2/Cd74/Psmb9/Ighm/Flt3/H2-Aa/Pycard/Psmb8/H2-DMb1/H2-Q6/Cd68/Fcer1g/H2-Q7/Ccr7/Ifi30/H2-Ab1/H2-Q4/Tap2/H2-Ob",28
"GO:0030595","leukocyte chemotaxis","39/918","219/16572",0.178082191780822,3.21479093920673,7.98985893495043,7.84874868281845e-11,7.97006746522968e-08,7.97006746522968e-08,"Coro1a/Aif1/Mdk/Pde4b/Pf4/Ch25h/Chga/Il16/Thbs1/Rac2/Kit/Cd74/Fpr2/Cxcl14/C3/Cxcl9/Stap1/Cxcl2/Ccr2/Gas6/Ptpro/Dusp1/Itgam/Ptn/Il1b/Ccn3/Rarres2/Ccl7/Spi1/Cxcl1/Gpr183/Dapk2/Ccl22/Ccl8/Fcer1g/Ccr7/S1pr1/Gpsm3/Tnfaip6",39
"GO:0002274","myeloid leukocyte activation","44/918","270/16572",0.162962962962963,2.94185427257323,7.79042421534565,1.00195531999436e-10,7.97006746522968e-08,7.97006746522968e-08,"Fes/Tac1/Lcp2/Batf/Tlr6/Aif1/Clec12a/Btk/Chga/Thbs1/Rac2/Kit/Fpr2/Lilrb4a/Nectin2/Mrgprb1/Ms4a2/Myo1f/Ighm/Tgfbr2/Nr4a3/Fcer1a/Stap1/Tafa3/Mrgprx2/Ccr2/Nr1h3/Pycard/Jund/Cd300a/Dnase1l3/Itgam/Rasgrp1/Cd48/Spi1/Kcnj8/Casp1/Syt11/Fcer1g/Epsti1/Dcstamp/Tnf/Fgr/Mrgprb2",44
"GO:0002366","leukocyte activation involved in immune response","47/918","301/16572",0.156146179401993,2.8187957353484,7.71157500450208,1.03776920120178e-10,7.97006746522968e-08,7.97006746522968e-08,"Fes/Tac1/Coro1a/Icam1/Batf/Sema4a/Mdk/Ada/Btk/Pf4/Chga/H2-DMb2/Rac2/Kit/Foxp3/Cd74/Lilrb4a/Mrgprb1/Ms4a2/Stat4/Myo1f/Ighm/Nr4a3/Fcer1a/Mrgprx2/Ccr2/Pycard/Cd300a/Dnase1l3/Cmtm7/Il12b/Itgam/Pck1/H2-DMb1/Rasgrp1/Spi1/Sema6d/Gpr183/Cd40/Fcer1g/Ccr7/Tnf/Fgr/Mrgprb2/Nfkbid/Lcp1/Pagr1a",47
"GO:0002263","cell activation involved in immune response","47/918","305/16572",0.154098360655738,2.7818279224258,7.60580140193025,1.64325635538073e-10,1.12179633860658e-07,1.12179633860658e-07,"Fes/Tac1/Coro1a/Icam1/Batf/Sema4a/Mdk/Ada/Btk/Pf4/Chga/H2-DMb2/Rac2/Kit/Foxp3/Cd74/Lilrb4a/Mrgprb1/Ms4a2/Stat4/Myo1f/Ighm/Nr4a3/Fcer1a/Mrgprx2/Ccr2/Pycard/Cd300a/Dnase1l3/Cmtm7/Il12b/Itgam/Pck1/H2-DMb1/Rasgrp1/Spi1/Sema6d/Gpr183/Cd40/Fcer1g/Ccr7/Tnf/Fgr/Mrgprb2/Nfkbid/Lcp1/Pagr1a",47
"GO:0008217","regulation of blood pressure","35/918","188/16572",0.186170212765957,3.36079821999722,7.88335090791786,2.09558607923087e-10,1.28752808707945e-07,1.28752808707945e-07,"Tac1/Adrb2/Abat/Enpep/Acta2/Adm/Col1a2/Acvrl1/Nedd4l/Cd36/Postn/Bdkrb1/Ephx2/Ramp2/Ier3/Adipoq/Mcpt4/Nos3/Adrb3/Tbxa2r/Ece1/Lvrn/Bdkrb2/Ncf2/Rarres2/Id2/Cpa3/Kcnj8/Aoc3/Agtr1a/Ddah1/Gch1/Gucy1a1/Tnf/Anpep",35
