"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002399","MHC class II protein complex assembly","5/209","10/17009",0.5,40.6913875598086,14.0032783114132,6.40110051556888e-08,0.000121910256118388,0.000121910256118388,"H2-Ab1/H2-DMa/H2-Aa/H2-Eb1/H2-DMb2",5
"GO:0002503","peptide antigen assembly with MHC class II protein complex","5/209","10/17009",0.5,40.6913875598086,14.0032783114132,6.40110051556888e-08,0.000121910256118388,0.000121910256118388,"H2-Ab1/H2-DMa/H2-Aa/H2-Eb1/H2-DMb2",5
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","6/209","19/17009",0.315789473684211,25.6998237219844,12.0148704007344,7.60689197779371e-08,0.000121910256118388,0.000121910256118388,"H2-Ab1/H2-DMa/H2-Aa/H2-Eb1/Cd74/H2-DMb2",6
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","7/209","31/17009",0.225806451612903,18.3767556721716,10.8006875527735,7.83107474664445e-08,0.000121910256118388,0.000121910256118388,"H2-Ab1/Clec4a1/H2-DMa/H2-Aa/H2-Eb1/Cd74/H2-DMb2",7
"GO:0019884","antigen processing and presentation of exogenous antigen","7/209","38/17009",0.184210526315789,14.9915638378242,9.6305139726099,3.4941154893965e-07,0.000372053457423807,0.000372053457423807,"H2-Ab1/Clec4a1/H2-DMa/H2-Aa/H2-Eb1/Cd74/H2-DMb2",7
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","6/209","24/17009",0.25,20.3456937799043,10.577968761578,3.58490564403861e-07,0.000372053457423807,0.000372053457423807,"H2-Ab1/H2-DMa/H2-Aa/H2-Eb1/Cd74/H2-DMb2",6
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","6/209","26/17009",0.230769230769231,18.7806404122194,10.1198015031939,6.00759900837167e-07,0.000534418843216148,0.000534418843216148,"H2-Ab1/H2-DMa/H2-Aa/H2-Eb1/Cd74/H2-DMb2",6
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","15/209","269/17009",0.0557620817843866,4.53807296206044,6.52394548911262,1.23113025178078e-06,0.000912422474457742,0.000912422474457742,"H2-Ab1/Pawr/Efnb1/H2-DMa/Cd80/Ptpn22/Gpr65/H2-Aa/H2-Eb1/Cd74/Il12b/Ccl5/H2-DMb2/Ccr7/Cd209a",15
"GO:0002396","MHC protein complex assembly","5/209","17/17009",0.294117647058824,23.9361103292992,10.5527853834647,1.46526814590933e-06,0.000912422474457742,0.000912422474457742,"H2-Ab1/H2-DMa/H2-Aa/H2-Eb1/H2-DMb2",5
"GO:0002501","peptide antigen assembly with MHC protein complex","5/209","17/17009",0.294117647058824,23.9361103292992,10.5527853834647,1.46526814590933e-06,0.000912422474457742,0.000912422474457742,"H2-Ab1/H2-DMa/H2-Aa/H2-Eb1/H2-DMb2",5
"GO:0019882","antigen processing and presentation","10/209","116/17009",0.0862068965517241,7.01575647582907,7.25121824527074,1.66317844166466e-06,0.00094151019602235,0.000941510196022351,"H2-Ab1/Kdm5d/Clec4a1/H2-DMa/H2-Aa/H2-Eb1/Cd74/H2-DMb2/Ccr7/Raet1a",10
"GO:0050870","positive regulation of T cell activation","14/209","243/17009",0.0576131687242798,4.68871955421663,6.45965270946181,1.91852870116735e-06,0.000957231147727625,0.000957231147727625,"H2-Ab1/Efnb1/H2-DMa/Cd80/Ptpn22/Gpr65/H2-Aa/H2-Eb1/Cd74/Il12b/Ccl5/H2-DMb2/Ccr7/Cd209a",14
