"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",195,-0.484928299334129,-1.66775580923758,1.40260466681557e-05,0.000701302333407783,0.000701302333407783,4264,"tags=39%, list=22%, signal=31%","12479/80719/21354/16414/16408/21803/93765/24088/20296/21897/12518/13874/14130/15170/12010/20303/20292/14744/21939/16170/20452/18751/12504/15163/16818/20306/192187/21355/20375/14191/21899/16176/50931/14998/12766/16822/18126/15001/14999/22376/12519/12487/16186/12772/15894/16324/15002/54390/16994/56744/16193/16153/15018/21926/12526/12503/18636/12516/12502/12525/16149/14960/20849/100504404/12500/12501/12481/16160/21838/20299/16163/21947/15007/55985/17329/15978/77647",0.593325476396405
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",85,-0.514720590665365,-1.58469832098786,0.00175091937588103,0.0218864921985129,0.0218864921985129,5215,"tags=42%, list=26%, signal=31%","320207/94185/57914/12977/16416/16190/12475/18712/17874/21803/24088/16476/16401/26410/16178/11482/16155/20306/50498/16176/12982/16182/16186/16994/12491/56744/16193/21926/19692/14825/20310/330122/21673/16199/55985/17329",0.45505986738723
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",191,-0.450484734071534,-1.55498143320332,0.00060436900469792,0.015109225117448,0.015109225117448,5057,"tags=41%, list=26%, signal=31%","20530/54598/12977/14726/216799/16416/16154/20266/257632/14747/20288/20343/16190/12475/14066/13614/16402/23845/12227/19204/11541/24088/12273/20296/19219/23796/21897/13874/21939/14528/20311/321019/16818/20306/192187/24115/18578/11535/64008/50498/12506/16176/16822/17986/16182/380713/233079/19419/16197/15894/19222/54483/20295/12985/17167/50778/56696/269346/16193/16153/16518/218215/21948/15451/12061/18413/16992/16491/12775/20297/27218/21930/16160/381417/326623/20299/17329/20511",0.477270815362862
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",184,-0.437476656041538,-1.5024364842977,0.0015869531505567,0.0218864921985129,0.0218864921985129,5072,"tags=38%, list=26%, signal=28%","12846/56720/74114/22235/13849/26874/15926/67880/56351/233016/12368/67103/14085/105349/18145/209027/71706/109672/12359/76884/67489/14528/68801/14114/14121/259301/30924/16816/12499/64008/14865/22361/59083/72082/15902/14538/14261/12408/13202/16000/18563/104086/12491/23972/19662/20733/13809/11522/11670/14411/11847/14058/14872/11529/14711/19692/14859/50500/50997/71093/14262/16424/64385/12583/13195/104158/103149/18815/13106",0.45505986738723
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",112,-0.438746714959172,-1.41575358394082,0.0111881941865882,0.0799156727613439,0.0799156727613439,3488,"tags=29%, list=18%, signal=24%","21954/72350/17761/18285/13404/11861/214547/12672/74438/71854/109979/24084/53814/14866/20744/20394/56522/17349/12686/30959/83553/12326/21959/12427/14581/12638/53604/69310/18976/30052/20616/56485/20255",0.380730400722792
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",200,-0.406385534102662,-1.40446123663448,0.00708193938909439,0.0708193938909439,0.0708193938909439,4917,"tags=24%, list=25%, signal=18%","15926/67171/20850/22117/27362/14085/11933/13830/12580/66447/12359/28080/20280/209378/19016/17001/29864/26457/20618/21881/110826/107589/17436/12819/11861/23945/16922/66205/16890/13202/13171/12491/16404/11770/18606/12266/57875/103172/14778/12683/18405/16956/16846/77037/13850/57264/11450/246747",0.407017918923954
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",186,-0.404799323135325,-1.38530081138623,0.0104542059719335,0.0799156727613439,0.0799156727613439,4453,"tags=28%, list=23%, signal=22%","18132/14066/11905/17388/18712/14710/12262/18791/110197/13032/18591/30955/12369/50908/12554/17394/12258/17436/16818/14127/16409/17381/14067/16822/22376/12362/16912/19419/14360/13482/16612/12491/17002/16193/20196/12279/21789/14058/12266/193740/14825/17751/11812/12902/20310/330122/14945/21947/16424/16621/20255/18815/333883",0.380730400722792
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",198,-0.38479378911152,-1.33168143787895,0.0222189260655104,0.13886828790944,0.13886828790944,4098,"tags=35%, list=21%, signal=28%","21803/12406/16476/19736/13179/329941/21859/14370/19227/13132/20692/14314/14264/13601/14114/18822/107589/11803/20311/11489/74488/14219/24052/12814/20583/24053/15902/17181/12825/54725/50706/23876/16009/16949/53867/76477/18074/21825/16790/16773/16008/16193/94352/83554/12843/12845/22004/17294/21789/16007/20254/14579/67305/235106/14825/20649/17022/21826/21923/16948/21838/17182/11475/20310/330122/21345/68588/98932/20379/333883",0.352487857583619
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",198,-0.374560081838796,-1.2962649670278,0.034980443571286,0.194335797618255,0.194335797618255,4098,"tags=29%, list=21%, signal=23%","21803/56642/216459/23796/17929/83679/14081/20692/11474/29817/12955/12554/12062/59011/107589/11489/12709/100732/12819/24052/13143/17868/24053/12825/18767/19223/16009/21955/16000/18563/13867/12372/20249/53412/12491/16773/19293/20657/13644/17907/15464/22004/16404/17885/17901/12373/110196/76722/13009/21987/17898/14778/11464/17884/17906/14199/21345/11537",0.321775918075361
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",149,-0.382058161502368,-1.29259199471287,0.0411184210526316,0.205592105263158,0.205592105263158,5736,"tags=35%, list=29%, signal=25%","15519/15490/12894/11674/17319/68738/15356/67397/17252/21743/74754/170789/56720/109778/22235/13849/15926/66357/22275/20216/15446/12479/171210/17001/18194/113868/14081/68801/12040/17436/23945/22361/14261/12408/13180/12491/14373/11754/11522/11670/74147/12167/109857/11529/12351/14555/12683/19013/12353/26358/12613/11832",0.287857117255149
