"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_POSITIVE","LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_POSITIVE",30,-0.715271713010901,-1.87588049816927,0.000270664927247557,0.201670901008589,0.201670901008589,3469,"tags=63%, list=18%, signal=52%","26410/12504/16178/11931/18578/50498/16176/14998/12519/15894/15018/21926/16149/14969/14825/100504404/20297/15007/15978",0.49849310876659
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP",35,-0.676536086953758,-1.81956698432741,0.00077128594813357,0.244160207956033,0.244160207956033,4805,"tags=71%, list=24%, signal=54%","12540/257632/12524/12479/21354/17874/24088/21897/14130/12010/14127/107607/21899/14998/14999/12519/12772/15894/15896/20295/16149/14969/20297/20299/69165",0.477270815362862
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_DN","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_DN",20,-0.73558899617495,-1.78598463997406,0.00196402931074257,0.261784433129239,0.261784433129239,3849,"tags=65%, list=20%, signal=52%","22027/14130/12010/14127/21355/12519/15894/20295/16149/12775/20297/54167/69165",0.431707695803346
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP",34,-0.664500995430652,-1.78435801989585,0.0010201940376732,0.245883343980073,0.245883343980073,4805,"tags=68%, list=24%, signal=51%","12540/257632/14129/12524/12479/21354/17874/24088/21897/22027/14130/14127/21899/14998/14999/12519/12772/15896/20295/16149/14969/20299/69165",0.45505986738723
"GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP","GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP",52,-0.615620116642456,-1.78281688723158,0.000445505041389449,0.201670901008589,0.201670901008589,2713,"tags=31%, list=14%, signal=27%","14261/20193/233079/18563/12398/242248/15901/230163/14555/18616/16956/12583/18976/104158/11537/246747",0.49849310876659
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_DN","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_DN",17,-0.764133134763398,-1.775163716225,0.00141403214560102,0.245883343980073,0.245883343980073,3849,"tags=71%, list=20%, signal=57%","22027/14130/12010/21355/12519/15894/16149/12775/20297/54167/20299/69165",0.45505986738723
"GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN","GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN",26,-0.697655114432274,-1.76627186780888,0.00133476282999613,0.245883343980073,0.245883343980073,3933,"tags=42%, list=20%, signal=34%","97122/57278/13874/319155/16949/16193/21926/18440/20297/69310/16846",0.45505986738723
"GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP","GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP",108,-0.550084048714369,-1.76580866897396,4.96655399992392e-05,0.201670901008589,0.201670901008589,4152,"tags=35%, list=21%, signal=28%","13537/18791/331026/13874/14081/20303/72599/12554/15937/58801/12709/75345/64008/22361/50498/16176/53626/53314/11717/14373/16193/16153/19663/21926/21789/70355/20849/14825/20297/231507/21930/16160/19746/17393/20310/330122/103149/11657",0.557332238758646
"GSE4748_CTRL_VS_LPS_STIM_DC_3H_DN","GSE4748_CTRL_VS_LPS_STIM_DC_3H_DN",74,-0.570610125011052,-1.76476465662563,0.000317759994798121,0.201670901008589,0.201670901008589,3504,"tags=30%, list=18%, signal=25%","18822/17436/11910/24052/14538/53314/18563/12491/107869/19662/94332/14872/110196/20849/19252/14262/19013/21673/98932/20342/11450/11537",0.49849310876659
"GSE29615_DAY3_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN","GSE29615_DAY3_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN",46,-0.627894174935164,-1.76458470669341,0.000434135097893865,0.201670901008589,0.201670901008589,3464,"tags=35%, list=18%, signal=29%","12258/13371/21664/18563/21824/64706/21926/14825/20297/21930/20310/330122/102954/15978/58242/76257",0.49849310876659
