"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_DN","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_DN",20,-0.778392139985035,-2.03626223725166,0.000324041816833869,0.490905829592142,0.490905829592142,4070,"tags=80%, list=20%, signal=64%","14127/22027/12010/12768/21355/14102/239739/54167/20297/15894/14130/12519/20295/69165/16149/12775",0.49849310876659
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_DN","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_DN",17,-0.766330042608763,-1.8811641568167,0.000846642383364892,0.63826277785564,0.63826277785564,3994,"tags=76%, list=20%, signal=62%","22027/12010/21355/239739/54167/20297/15894/14130/12519/69165/16149/20299/12775",0.477270815362862
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP",35,-0.620009178343229,-1.81507933977514,0.00192373088153207,0.782225375000934,0.782225375000934,4483,"tags=60%, list=22%, signal=47%","12520/12524/14127/12010/12768/15896/14102/20297/12774/15894/14130/21897/12772/14999/12519/14998/20295/69165/16149/14969/20299",0.45505986738723
"GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP","GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP",59,0.631630096479282,1.78398167142453,0.000387684761770694,0.490905829592142,0.490905829592142,727,"tags=17%, list=4%, signal=16%","14317/13828/19824/20533/14934/20617/77015/11656/101488143/13206",0.49849310876659
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_DN","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_DN",11,-0.79373257138901,-1.75262843059779,0.00516692363875966,1,1,3845,"tags=73%, list=19%, signal=59%","12010/21355/239739/54167/20297/15894/12773/12775",0.407017918923954
"HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP",44,-0.581250059484725,-1.74367522305851,0.00262100655276145,0.782225375000934,0.782225375000934,6004,"tags=64%, list=29%, signal=45%","17217/76464/68988/73804/21877/72119/20877/12428/52276/12447/68612/70218/67196/215387/12534/105988/108000/71819/229841/209737/68743/66570/12530/108907/108961/66929/17345/78733",0.431707695803346
"FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP","FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP",34,-0.60528260019612,-1.71311877622147,0.00277987300099049,0.782225375000934,0.782225375000934,4483,"tags=59%, list=22%, signal=46%","12520/12524/14127/22027/14129/12768/15896/14102/12774/14130/21897/12772/14999/12519/14998/20295/69165/16149/14969/20299",0.431707695803346
"GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN","GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN",105,0.561993637888867,1.7042921315501,0.000245358983325131,0.490905829592142,0.490905829592142,713,"tags=12%, list=3%, signal=12%","20202/13828/20533/18405/14934/20617/11656/101488143/11535/17394/57264/16678/20568",0.49849310876659
"GSE45365_NK_CELL_VS_CD11B_DC_DN","GSE45365_NK_CELL_VS_CD11B_DC_DN",111,0.561790858965402,1.69578457435988,8.73969165229517e-05,0.442665382188751,0.442665382188751,4929,"tags=41%, list=24%, signal=31%","12985/20202/330122/20310/18787/16193/15937/17395/108078/20303/16878/14825/57266/20527/16324/19252/14313/18578/19288/12608/17133/21929/20971/99929/18030/21946/12125/240672/18035/16477/216850/16176/14284/75234/20354/18712/13340/12227/14528/16658/14538/20339/59069/64292/11501",0.538434096309916
"GSE37532_WT_VS_PPARG_KO_LN_TREG_DN","GSE37532_WT_VS_PPARG_KO_LN_TREG_DN",24,0.692918773330409,1.65565671288684,0.00562107623436246,1,1,792,"tags=33%, list=4%, signal=32%","54368/17384/73647/20617/170761/16678/14919/97243",0.407017918923954
"GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_DN","GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_DN",80,-0.488919475078125,-1.65471134903913,0.00100811495021621,0.63826277785564,0.63826277785564,5330,"tags=50%, list=26%, signal=37%","12442/72119/56696/12428/20343/14629/17260/53618/52276/233406/667823/319236/20382/67196/106795/14747/12267/14293/73341/12534/216799/23834/20133/140742/17215/71819/68428/192187/16647/19076/19075/18710/12530/12544/18817/19219/66929/17345/16997/14744",0.45505986738723
"GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_DN","GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_DN",81,-0.491949569383768,-1.64748155982559,0.00183101323932328,0.782225375000934,0.782225375000934,4144,"tags=37%, list=20%, signal=30%","381269/21809/52668/140742/21953/14102/15901/12043/21939/16909/15170/15460/12774/227753/242248/50723/12506/14999/16643/50498/15002/14998/217845/16994/69169/12481/15001/16149/14969/14960",0.45505986738723
"GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN","GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN",76,0.568609988166663,1.64183967111481,0.000927109749185455,0.63826277785564,0.63826277785564,4742,"tags=42%, list=23%, signal=32%","13828/54368/59020/73647/11656/18787/14786/74747/170768/12575/19699/80879/15370/14825/12349/20887/19252/18641/50528/11520/11937/14066/17873/21815/14284/14362/16774/667034/13836/13844/66416/19671",0.477270815362862
"GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN","GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN",30,0.649376389369069,1.62912223445715,0.00835039215747347,1,1,1783,"tags=27%, list=9%, signal=24%","20717/18405/22139/239857/54420/18091/67747/16625",0.380730400722792
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP",97,0.545246908178596,1.62786614919052,0.000724558164213593,0.63826277785564,0.63826277785564,4017,"tags=35%, list=20%, signal=28%","12985/83996/17384/11535/16193/112407/15937/22113/20893/74747/13614/12575/15370/14825/20527/60533/16175/54199/19252/74155/50778/19225/12702/20393/69065/240672/58801/17873/230738/223775/13197/22042/16153/218952",0.477270815362862
"FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP","FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP",62,0.579616712503429,1.62474121687979,0.00260839614742119,0.782225375000934,0.782225375000934,4204,"tags=44%, list=21%, signal=35%","12985/83996/17384/330122/20310/20701/18788/16193/15937/22113/74747/20303/14373/13614/17750/14825/16175/21825/19288/19225/228775/59027/69065/240672/16176/218215/18712",0.431707695803346
"GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP",69,0.569404884732101,1.62050016088765,0.00220421153976186,0.782225375000934,0.782225375000934,4269,"tags=51%, list=21%, signal=40%","330122/20310/319520/18787/16193/15937/12609/193740/16878/13614/11910/67182/15370/14825/54199/11839/12608/20620/17133/21929/20971/11504/18030/18546/18263/19225/13654/17872/384783/240672/58801/216850/14284/16506/12227",0.431707695803346
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP","GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP",94,0.541436169631658,1.6203991173752,0.0011876970625925,0.668409513558999,0.668409513558999,4647,"tags=36%, list=23%, signal=28%","17384/11535/319520/112407/74747/17748/13614/12575/11910/15370/14825/52187/20527/20750/19252/50778/12608/14066/19225/16956/13654/20393/69065/240672/58801/17873/21815/22042/218952/108143/21824/22217/667034/13039",0.45505986738723
